month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202006,24017,"charles, md",390050,0.0512,0.0542,332,-0.1616,-0.5008,47,-0.2034,0.175,236,0.2553,-0.314,28,0.1667,0,68,-0.15,-0.7018,185,0.25,0.142,156.1124845,-0.0039,0.0488,2208,0.0265,-0.0499,411804,0.0352,0.0683,517,-0.0496,-0.3748,0.5572,0.1835,0.3136
202006,6087,"santa cruz, ca",1017550,0.0511,0.0185,405,0,-0.2676,44.5,-0.2583,-0.0111,244,0.1961,-0.0896,8,,0,92,0.2105,-0.5577,327,0.6108,0.2022,599.058194,0.039,0.0284,1774,0.0172,-0.0062,1489993,0.0721,0.0714,732,0.2039,-0.1127,0.8074,0.3062,0.3155
202006,42041,"cumberland, pa",294900,0.0378,0.1341,478,0.0694,-0.3425,34.5,-0.4851,-0.2813,364,0.625,0.0341,12,-0.25,-0.25,124,2.1,-0.5303,25,0.1364,0.3889,135.088971,0.0175,0.0653,2121,-0.0056,0.0052,348417,0.0153,0.1151,503,0.0725,-0.3248,0.0523,0.0031,0.0275
202006,18059,"hancock, in",317500,0.0145,-0.066,203,0.0305,-0.3886,48,-0.1579,0,144,0.5,-0.0526,24,5,5,76,0.2667,-0.5581,259,0.2103,0.131,116.8664141,0.0517,0.0891,2735,-0.0437,-0.1488,405969,-0.004,-0.0013,462,0.1241,-0.1765,1.2759,0.1896,0.5861
202006,17179,"tazewell, il",139950,0.0371,-0.0071,508,-0.0896,-0.1872,61,-0.1408,0.1296,224,0.4737,-0.0968,0,,,220,0.0784,-0.1791,356,0.1634,0.3383,80.88661156,0.0472,-0.0148,1798,0.0124,0.0357,173993,0.0303,-0.0009,864,0,-0.0303,0.7008,0.1524,0.2752
202006,48199,"hardin, tx",241300,-0.0346,0.0494,262,0.0356,-0.1603,62.5,-0.1776,-0.1071,76,0,-0.1364,0,,,52,0,-0.3158,25,-0.0385,0.5625,114.396953,0.0028,0.099,2049.5,-0.0217,-0.0213,290822,-0.0049,0.1472,287,0.0287,-0.125,0.0954,-0.0073,0.0441
202006,36035,"fulton, ny",185000,0.0911,0.0697,172,-0.0947,-0.3922,104.5,-0.1218,0.4929,88,0.8333,0.1,0,,,44,0.5714,-0.45,177,0.6239,0.3937,109.1822386,-0.0149,0.0512,1536,-0.0141,-0.04,227235,0.0109,0.0657,349,0.1672,-0.1488,1.0291,0.4554,0.5803
202006,25009,"essex, ma",620050,0.0248,0.0354,1080,0.0609,-0.3695,31.5,-0.3824,-0.1486,996,0.245,-0.1414,16,1,-0.2,264,0.1379,-0.551,352,0.3283,-0.0435,299.66531,0.0074,0.0634,2212,0.0133,0.0414,904276,0.0217,0.083,1432,0.1161,-0.3119,0.3259,0.0656,0.1111
202006,50027,"windsor, vt",405050,0.08,0.1604,488,-0.045,-0.3545,165.5,-0.1425,0.2351,144,0.3846,-0.1818,8,1,,40,-0.0909,-0.6296,215,0.7339,0.4052,184.8972793,0.057,0.1867,2187.5,0.0314,0.0184,595010,0.0526,0.1585,703,0.1071,-0.2266,0.4406,0.1979,0.2382
202006,39139,"richland, oh",162450,0.2491,0.2501,147,-0.1552,-0.4258,43.5,-0.1635,0.1154,104,0.0833,-0.2778,0,,-1,44,-0.2667,-0.4211,214,0.1444,2.2923,95.00803275,0.0595,0.1815,1692,0.1023,0.0812,242315,-0.4629,0.2601,361,0,0.1246,1.4558,0.3811,1.2019
