month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202006,95811,"sacramento, ca",,687500.0,-0.0517,0.2522,16,-0.0588,-0.1579,56.0,0.3333,0.4737,0,-1.0,-1.0,0,,,8,0.0,0.0,4,-0.2,-0.5,409.6385542168675,-0.0096,-0.0439,1485.0,0.0,0.1182,675990.0,-0.0236,0.0837,20,-0.0909,-0.2593,0.25,-0.0441,-0.1711
202006,58601,"dickinson, nd",,259950.0,0.0273,-0.1035,154,-0.0191,-0.0375,69.5,0.1983,0.3113,56,0.4,0.0,0,,,36,1.25,0.125,91,0.2297,0.1098,119.15922619047619,0.0009,0.0306,2224.0,0.0,-0.1075,294133.0,0.0344,-0.0398,245,0.0606,0.0124,0.5909,0.1196,0.0784
202006,30559,"mineral bluff, ga",*,440050.0,0.0235,0.0476,92,-0.1481,,95.0,0.1585,0.1875,16,0.0,-0.6,0,,,20,0.6667,-0.4444,39,0.5,3.3333,157.7607973421927,0.0247,0.1575,2436.0,-0.0057,0.0904,529059.0,0.0466,0.095,131,-0.0224,-0.1709,0.4239,0.1832,0.3635
202006,44012,"avon lake, oh",*,486800.0,0.0172,,46,-0.1321,,48.5,-0.0849,,32,0.0,0.0,0,-1.0,,12,2.0,-0.7,74,0.1045,0.0423,148.45950244575818,-0.0253,0.0275,2862.0,0.012,0.1434,585285.0,0.0584,0.2207,120,0.0,-0.2357,1.6087,0.3445,0.7831
202006,06457,"middletown, ct",,247050.0,0.0555,0.0049,148,0.1212,-0.2637,45.5,-0.125,-0.1875,56,0.2727,0.0,4,,,32,0.6,-0.3846,0,,,146.2645437844458,0.0571,0.0576,1544.0,-0.0153,-0.108,255498.99999999997,0.0265,-0.0275,148,0.1212,-0.2637,0.0,0.0,0.0
202006,02814,"chepachet, ri",*,357000.0,0.0817,0.1158,16,0.1429,,75.5,0.0203,0.6413,4,-0.6667,-0.8,0,,,0,,-1.0,27,0.0385,0.125,222.64131202097622,0.1817,0.2497,1445.5,-0.018,-0.018,403901.0,0.0794,0.1807,43,0.075,-0.3485,1.6875,-0.1696,1.1161
202006,22625,"cross junction, va",*,310050.0,0.0693,-0.0282,18,-0.1429,,63.5,0.041,0.0763,4,0.0,,0,,,4,0.0,-0.5,10,1.0,2.3333,147.7156905674147,0.0029,0.0393,2373.5,0.1351,0.0512,464127.00000000006,0.1687,0.3552,28,0.0769,-0.125,0.5556,0.3175,0.4521
202006,98407,"tacoma, wa",*,797549.0,-0.0448,,66,-0.0149,,113.5,0.0509,,36,0.8,0.2857,0,,,8,0.0,-0.5,37,0.1935,0.3214,451.7039772727273,-0.104,0.5074,1694.0,-0.0342,-0.1317,833264.0,-0.0494,0.2133,103,0.051,0.6613,0.5606,0.0979,-0.2629
202006,98273,"mount vernon, wa",,419050.0,-0.0321,0.0478,33,-0.1538,-0.2826,40.0,0.0811,0.1429,28,-0.125,-0.125,0,-1.0,,12,0.5,-0.4,56,0.1429,0.3023,233.563429872399,0.0383,0.1355,1878.0,-0.0399,-0.0244,571251.0,0.0153,0.1027,89,0.0114,0.0,1.697,0.4406,0.7622
202006,87507,"santa fe, nm",*,409000.0,0.0224,,53,-0.1167,-0.4752,55.0,-0.0179,0.1957,28,-0.2222,-0.2222,0,,-1.0,20,0.6667,-0.5455,80,0.2308,-0.0588,213.3370260079477,0.0068,0.0913,1745.0,-0.0158,0.1072,477379.0,0.0042,0.1995,133,0.064,-0.2849,1.5094,0.4261,0.6678
202006,62930,"eldorado, il",*,44550.0,0.1124,,48,0.0,,220.5,0.1667,,4,0.0,0.0,0,,,0,-1.0,,8,0.0,0.1429,37.938688295831156,0.0741,-0.1148,1200.0,0.0239,-0.0559,72399.0,-0.0025,0.0458,56,0.0,0.8065,0.1667,0.0,-0.125
202006,15537,"everett, pa",,134000.0,-0.2516,-0.2553,23,-0.3784,-0.425,102.5,-0.2931,0.1141,8,1.0,-0.3333,0,,,4,,-0.5,0,,,65.47202797202797,-0.157,-0.0553,1492.5,0.0934,0.054,205846.0,-0.1012,-0.1034,23,-0.3784,-0.425,0.0,0.0,0.0
202006,34203,"bradenton, fl",,298500.0,0.012,0.0295,148,-0.1445,-0.075,91.0,0.0706,0.3382,48,0.0,0.0909,4,-0.5,0.0,40,-0.2308,-0.3333,102,0.275,-0.0192,153.77995639359875,0.0191,0.0041,1791.0,-0.0039,-0.0256,301763.0,0.0183,-0.0021,250,-0.0119,-0.053,0.6892,0.2268,0.0392
