month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202006,27260,"jacksonville, fl",40,317500,-0.0017,-0.0079,7206,-0.1132,-0.2176,69.5,0.0373,0.0692,2924,0.0703,-0.0081,556,-0.028,0.5109,2084,-0.1094,-0.3849,6835,0.2511,0.1495,157.6105544,0.0111,0.0405,1927,-0.0041,-0.0659,441787,0.0048,-0.0246
202006,36420,"oklahoma city, ok",41,293345,0.0968,0.1412,3625,-0.1025,-0.2608,48.5,-0.0102,0.0778,1804,-0.0604,-0.1859,108,-0.0357,0.8,1184,0.0496,-0.3859,28,0.8667,8.3333,131.9439406,0.028,0.0978,2244.5,0.0632,0.044,382259,0.0823,0.1283
202006,31140,"louisville/jefferson county, ky-in",42,289950,0.0002,0.0172,2302,-0.1297,-0.3904,46,-0.193,0,1392,-0.0085,-0.3109,72,0.5,0.8,736,0.0222,-0.4817,2923,0.2124,0.1139,133.7962963,0.0088,0.0984,2006,0.0091,-0.0722,379239,0.0372,0.021
202006,32820,"memphis, tn-ms-ar",43,258750,0.0348,0.1013,1994,-0.1034,-0.3648,57,-0.05,0.0364,1096,0.0301,-0.2751,100,0.1364,0.4706,548,-0.0072,-0.4244,2957,0.1391,0.3948,0,,,0,,,330441,0.0383,0.125
202006,35380,"new orleans-metairie, la",44,300200,0.0038,0.0055,3652,-0.0773,-0.2085,79,0.0822,0.2154,1252,0.0503,-0.1763,28,-0.3,-0.125,1032,0.1266,-0.2853,2625,0.2548,0.13,153.8924456,0.0186,0.0659,1939,0.0057,-0.0056,423078,0.0338,0.0224
202006,40060,"richmond, va",45,353522.5,0.0128,0.0583,2940,-0.1139,-0.2864,57,0.0364,0.1633,1592,0.0419,-0.2302,204,-0.2273,0.9615,684,-0.0656,-0.4926,4280,0.0927,0.0404,155.3632921,0.0135,0.085,2268,0.0125,-0.0061,416846,0.0319,0.0722
202006,39580,"raleigh, nc",46,385000,0.0268,0.0133,3582,-0.1453,-0.2837,62.5,0.0593,0.2255,1904,0.0968,-0.1649,296,-0.0513,0.2982,1000,-0.1007,-0.4635,2346,0.1648,0.1129,154.4326733,0.025,0.0535,2546.5,0.0113,-0.0351,485911,0.0408,0.065
202006,15380,"buffalo-cheektowaga-niagara falls, ny",47,239950,0.034,0.071,1295,0.0546,-0.3255,49,-0.3,0.4,1168,0.7076,-0.0988,24,0.2,1,332,0.6275,-0.5174,2105,0.2582,27.8356,134.1248496,0.0101,0.0736,1736,0.0035,-0.0181,300570,0.0173,0.0368
202006,25540,"hartford-west hartford-east hartford, ct",48,295050,0.0034,0.0354,4590,0.0994,-0.2887,46,-0.2459,-0.0612,1924,0.2658,-0.0456,56,0.4,0.5556,800,0.1976,-0.5485,4,0,-0.4286,150.2602476,0.0046,0.0266,1939.5,-0.0023,0.0144,362528,0.019,0.0472
202006,13820,"birmingham-hoover, al",49,274950,0.0238,0.0655,3059,-0.0614,-0.2701,61,-0.0469,0.0702,1500,0.0534,-0.0695,144,-0.122,-0.0769,708,-0.0432,-0.404,3076,0.138,0.9407,122.3403621,0.0047,-0.0165,2129,0.0014,0.0824,356806,0.0288,0.0687
202006,40380,"rochester, ny",50,247600,-0.028,0.0768,1489,0.072,-0.3119,28.5,-0.4911,-0.1094,1328,0.4249,-0.1147,16,-0.4286,-0.2,376,0.7091,-0.4233,237,0.2344,0.254,130.4853643,-0.0102,0.0869,1800,-0.0126,-0.0099,299029,-0.0247,0.0753
202006,46060,"tucson, az",51,323300,0.0728,0.0958,1748,-0.2443,-0.3912,58.5,0.0636,0.0833,916,-0.1089,-0.2866,124,0.55,0.55,456,-0.2875,-0.5385,2741,0.1734,0.0616,167.419574,0.038,0.1225,2012,0.0141,-0.0185,458243,0.0641,0.0886
202006,41620,"salt lake city, ut",52,492525,0.045,0.092,1721,-0.1273,-0.353,37.5,0.0417,0.0417,1396,-0.0386,-0.2495,92,-0.1481,-0.3611,624,-0.2081,-0.5032,3080,0.154,0.0788,184.1400798,0.0352,0.1309,2659,-0.0004,-0.0931,679369,0.0641,0.1333
202006,24340,"grand rapids-wyoming, mi",53,315450,-0.0016,0.0695,1866,-0.0693,-0.2512,43,-0.2712,0.2286,1288,-0.0445,-0.2512,20,-0.1667,-0.2857,552,0.2321,-0.4567,2586,0.6274,128.3,151.456465,0.0076,0.1091,2063.5,-0.0075,-0.0234,407439,0.0294,0.0738
202006,46140,"tulsa, ok",54,282500,0.05,0.1793,2266,-0.0925,-0.3441,53,-0.0536,0.0192,1132,0.0071,-0.196,36,-0.1,-0.3571,684,0.0962,-0.4203,2420,0.1776,0.1513,113.0388188,0.006,0.0965,2277.5,0.0218,0.0291,361232,0.0283,0.0957
202006,10580,"albany-schenectady-troy, ny",55,336950,0.0369,0.1267,2612,-0.0217,-0.3397,96.5,0.0266,0.4403,1176,0.4483,-0.1064,52,1.1667,-0.0714,528,0.6296,-0.5302,2652,0.2744,-0.0423,167.5878642,0.007,0.0852,1901,0.022,0.0128,369712,0.0329,0.0717
202006,10740,"albuquerque, nm",56,324402.5,0.062,0.1794,1455,-0.1245,-0.4503,50.5,-0.0288,0.0306,868,-0.0225,-0.3692,68,0.4167,0.2143,544,0.0074,-0.4887,2441,0.2667,-0.0491,152.4856666,0.0319,0.1312,2154,0.0257,0.0175,402062,0.0546,0.1301
202006,36540,"omaha-council bluffs, ne-ia",57,319947,0.0155,0.0862,1725,-0.0987,-0.2484,48.5,-0.0102,0.6167,1132,-0.0598,-0.2889,176,0.76,0.913,412,0.0619,-0.4492,3347,0.1311,20.4551,133.4195031,0.0177,0.0712,2303,-0.0107,0.0066,366714,0.01,0.0578
202006,49340,"worcester, ma-ct",58,382500,0.0339,0.0776,1536,-0.0786,-0.4195,48,-0.1579,0.1429,1084,0.1681,-0.2656,28,-0.2222,-0.2222,380,-0.0206,-0.6008,414,0.4325,0.0866,195.1164197,0.0213,0.0885,1966,-0.0111,-0.017,450240,0.0366,0.0673
202006,28940,"knoxville, tn",59,324950,0.0318,0.083,2002,-0.0962,-0.3655,62.5,-0.0234,0.0776,884,-0.0753,-0.2848,72,0,0,672,0.1053,-0.4146,2845,0.1486,0.1504,137.2617134,0.0131,0.0839,2304.5,0.0046,-0.0398,450837,0.0428,0.1079
202006,14860,"bridgeport-stamford-norwalk, ct",60,740050,-0.012,0.0014,6633,0.1294,-0.2547,63.5,-0.1859,-0.0231,2352,0.2564,0.2672,88,0.375,1.75,1004,0.201,-0.5343,127,0.1869,0.4767,274.981545,-0.0034,0.0277,2869,-0.0028,-0.0171,1413397,-0.0063,0.0376
202006,24860,"greenville-anderson-mauldin, sc",61,289950,0.019,0.0297,2943,-0.1125,-0.2434,77,0.1,0.3509,1192,-0.0033,-0.2714,172,-0.1224,0.6538,896,0.1371,-0.2407,2879,0.0938,0.1618,0,,,0,,,429668,0.0377,0.1015
202006,35840,"north port-sarasota-bradenton, fl",62,363215,0.0187,-0.0048,5730,-0.1176,-0.2276,100,0.1111,0.087,1608,0.1074,-0.0629,328,0.3443,1.8276,1508,-0.0714,-0.2579,3587,0.3178,0.1298,193.5204606,0.014,0.0414,1812.5,-0.0014,-0.0112,634275,0.0366,0.0501
202006,35300,"new haven-milford, ct",63,289950,0.0357,0.0391,3004,0.0725,-0.3097,51,-0.2031,-0.0377,1208,0.2689,0.0237,44,0.8333,0.2222,432,0.125,-0.5862,0,,-1,156.5854665,0.0186,0.0224,1789,0.0194,-0.0006,376571,0.0221,0.0381
202006,19380,"dayton, oh",64,201950,0.0359,0.2243,1168,-0.0903,-0.4252,50,-0.1935,0.2821,764,0.117,-0.3481,24,0.2,0.2,448,0.0667,-0.4537,2196,0.0887,0.0624,92.38031883,0.0118,0.0709,1569,0.0405,0.0058,251623,0.0144,0.1407
202006,46520,"urban honolulu, hi",65,619550,0.0156,-0.1137,4095,0.0415,0.36,75,0.0714,0.3393,932,0.1592,-0.1938,24,-0.1429,0,408,0.02,-0.4171,2,-0.5,-0.7143,521.9461406,0.0034,-0.0377,1123,0.0036,-0.0944,980713,0.0021,-0.1483
202006,10900,"allentown-bethlehem-easton, pa-nj",66,269500,0.0172,0.1975,2003,-0.0133,-0.5168,41,-0.4533,-0.3167,1364,0.9942,-0.1559,60,0.875,0,548,1.6346,-0.5072,247,0.9297,0.0123,130.008505,0.0469,0.2583,1801,0.005,0.0988,333707,0.0254,0.1582
202006,17900,"columbia, sc",67,249750,0.0076,0.0448,1898,-0.1369,-0.3797,51,-0.0727,-0.0192,876,-0.031,-0.322,160,0.25,0.2903,612,0.1591,-0.2884,29,0.2083,0.2609,108.6368003,0.0138,0.0646,2249,-0.0035,-0.0009,301899,0.0094,0.0573
202006,12940,"baton rouge, la",68,263300,0.0323,0.053,3389,-0.0773,-0.1998,93.5,0.0163,0.2635,1092,0.2026,-0.096,96,1,0.4118,888,0.1684,-0.3621,2091,0.2566,23.8929,133.5281307,0.0182,0.039,1989.5,0.0203,0.0089,338279,0.0382,0.0623
202006,24660,"greensboro-high point, nc",69,292330,0.0273,0.0869,1335,-0.069,-0.3136,60,-0.0625,0.0714,700,0.0234,-0.1505,28,-0.2222,-0.6111,352,0.1,-0.3714,780,0.1033,0.1048,0,,,0,,,374210,0.0578,0.141
202006,23420,"fresno, ca",70,345050,0.0207,0.0177,1011,-0.1603,-0.4682,43,-0.14,-0.0444,676,0.0629,-0.2747,40,0.25,-0.0909,252,-0.1818,-0.6063,636,0.0443,0.0565,180.931638,0.0076,0.0532,1879,0.0037,-0.0369,439712,0.039,0.0663
202006,16700,"charleston-north charleston, sc",71,451050,0.0022,0.037,3587,-0.0788,-0.2645,82.5,0.0577,0.162,1316,0.0092,-0.1084,180,0.2857,-0.1176,1208,0.0942,-0.3629,2723,0.2173,0.2054,220.896895,0.0192,0.0589,2225.5,-0.0002,0.0066,760704,0.0343,0.0625
202006,30780,"little rock-north little rock-conway, ar",72,235050,0.0222,0.1755,1743,-0.0807,-0.3992,54,-0.129,-0.0847,812,0.0357,-0.1944,8,-0.6667,-0.5,456,0.1287,-0.4698,1134,0.1727,0.2685,109.5342988,0.0202,0.0733,2109.5,-0.0012,0.0548,301884,0.0319,0.1094
202006,15980,"cape coral-fort myers, fl",73,337500,0.0226,0.1252,6827,-0.0996,-0.2617,100.5,0.0924,0.0469,1908,0.1836,0.0553,160,0.1429,-0.1111,1564,0.0568,-0.2993,3455,0.3486,0.1017,181.2747595,0.0202,0.0808,1787,-0.0039,0.0182,589649,0.0444,0.1563
202006,10420,"akron, oh",74,192450,0.0718,0.0695,1044,-0.072,-0.3778,48.5,-0.1917,0.1279,760,0.1875,-0.249,4,-0.5,-0.6667,316,-0.0814,-0.5183,1486,0.2081,-0.0338,98.49403504,0.0278,-0.0537,1771.5,0.0276,0.0545,270001,0.0544,0.0475
202006,21340,"el paso, tx",75,211050,0.0448,0.0989,1592,-0.1751,-0.3851,76.5,-0.1,0.1418,668,0.219,-0.3099,172,1.15,1.5294,184,-0.1786,-0.6406,546,0.2026,1.3038,114.5079547,0.0284,0.1054,1902,0.0074,-0.0026,242480,0.041,0.0931
202006,37100,"oxnard-thousand oaks-ventura, ca",76,839500,0.0364,0.1359,1343,-0.1047,-0.3407,58,-0.0938,0.3182,712,0.0723,-0.2764,28,0,0.1667,340,-0.0761,-0.5526,1245,0.3895,0.013,393.0310294,-0.0001,0.0576,2155.5,0.0255,0.0618,1330104,0.0005,0.095
202006,17820,"colorado springs, co",77,475050,0.0002,0.1072,1708,0.0191,-0.2571,32,-0.0857,0.1034,1444,0.0374,-0.227,108,0.0385,0.2273,756,0.0559,-0.2286,1529,0.2077,-0.0142,164.2150337,0.0026,0.067,3134.5,0.0021,0.0274,599600,0.0155,0.0834
202006,31540,"madison, wi",78,387500,0.009,0.0615,1129,-0.0326,-0.2791,57,-0.05,0.2667,816,0.2515,-0.113,28,0.75,0.4,296,0.1212,-0.4436,1494,0.137,-0.0862,169.0840024,-0.0012,0.029,2155.5,-0.0035,-0.0035,457200,0.007,0.0676
202006,12540,"bakersfield, ca",79,279275,0.0154,0.0621,1545,-0.1171,-0.397,49.5,-0.1161,0.1,896,0.0323,-0.2866,56,0.4,0.0769,372,-0.0106,-0.5181,678,0.0796,0.4581,152.8145209,0.0054,0.0663,1638,0.0155,-0.0127,344156,0.0277,0.0936
202006,49180,"winston-salem, nc",80,307550,0.025,0.1021,1241,-0.1033,-0.3423,73.5,0.097,0.1484,552,0.0534,-0.2069,12,-0.6667,-0.5,284,-0.0658,-0.4779,679,0.0495,0.0074,0,,,0,,,402803,0.0233,0.1407
202006,45060,"syracuse, ny",81,207500,0.0378,0.0131,1107,0.0453,-0.3387,88,-0.1111,0.6923,680,0.7347,-0.1667,8,-0.3333,1,232,0.3488,-0.5606,1591,0.2607,2.2804,114.4651219,0.0363,0.0574,1803,0.0056,0.0017,306637,0.0566,0.1189
202006,19660,"deltona-daytona beach-ormond beach, fl",82,290000,0.0033,-0.0002,4984,-0.1505,-0.2305,87,0.1154,0.1757,1488,-0.0905,-0.1948,204,0.5938,0.7586,1332,-0.0235,-0.3162,2158,0.3305,0.5219,166.9670946,0.0147,0.0453,1759,0.0051,-0.0419,402548,0.022,-0.0136
202006,14260,"boise city, id",83,397000,0.0178,0.0626,1881,-0.1732,-0.2746,44.5,0.0349,0.3906,1200,-0.1071,-0.2806,256,1.9091,2.5556,512,-0.2335,-0.5571,3221,0.201,37.3452,192.2492438,0.0109,0.1008,2186.5,0.0007,-0.0204,500253,0.0186,0.0858
202006,48620,"wichita, ks",84,248027.5,0.0781,0.1533,1059,-0.1086,-0.3811,55,-0.1129,0.1224,588,-0.02,-0.3066,32,0.1429,0,264,-0.1951,-0.4923,1602,0.0943,113.4286,100.9241815,0.0268,0.1011,2253.5,0.0065,0.0056,298552,0.0478,0.0869
