Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
77070,Houston,TX,29.978801,-95.57655,-6,1,"29.978801,-95.57655"
77071,Houston,TX,29.647637,-95.51718,-6,1,"29.647637,-95.51718"
77072,Houston,TX,29.700898,-95.59002,-6,1,"29.700898,-95.59002"
77073,Houston,TX,30.008745,-95.41273,-6,1,"30.008745,-95.41273"
77074,Houston,TX,29.689781,-95.51161,-6,1,"29.689781,-95.51161"
77075,Houston,TX,29.620881,-95.26018,-6,1,"29.620881,-95.26018"
77076,Houston,TX,29.858525,-95.38178,-6,1,"29.858525,-95.38178"
77077,Houston,TX,29.750897,-95.61255,-6,1,"29.750897,-95.61255"
77078,Houston,TX,29.849424,-95.25951,-6,1,"29.849424,-95.25951"
77079,Houston,TX,29.773018,-95.60125,-6,1,"29.773018,-95.60125"
77080,Houston,TX,29.816866,-95.52309,-6,1,"29.816866,-95.52309"
77081,Houston,TX,29.70828,-95.48361,-6,1,"29.70828,-95.48361"
77082,Houston,TX,29.722704,-95.6314,-6,1,"29.722704,-95.6314"
77083,Houston,TX,29.691714,-95.64978,-6,1,"29.691714,-95.64978"
77084,Houston,TX,29.839155,-95.66391,-6,1,"29.839155,-95.66391"
77085,Houston,TX,29.621746,-95.48695,-6,1,"29.621746,-95.48695"
77086,Houston,TX,29.920981,-95.49556,-6,1,"29.920981,-95.49556"
77087,Houston,TX,29.686579,-95.30386,-6,1,"29.686579,-95.30386"
77088,Houston,TX,29.879213,-95.45028,-6,1,"29.879213,-95.45028"
77089,Houston,TX,29.589831,-95.22251,-6,1,"29.589831,-95.22251"
77090,Houston,TX,30.012711,-95.45132,-6,1,"30.012711,-95.45132"
77091,Houston,TX,29.852975,-95.43586,-6,1,"29.852975,-95.43586"
77092,Houston,TX,29.833326,-95.47644,-6,1,"29.833326,-95.47644"
77093,Houston,TX,29.862024,-95.33967,-6,1,"29.862024,-95.33967"
77094,Houston,TX,29.770722,-95.6988,-6,1,"29.770722,-95.6988"
77095,Houston,TX,29.896656,-95.64842,-6,1,"29.896656,-95.64842"
77096,Houston,TX,29.674336,-95.48123,-6,1,"29.674336,-95.48123"
77097,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77098,Houston,TX,29.735529,-95.41405,-6,1,"29.735529,-95.41405"
77099,Houston,TX,29.668489,-95.5869,-6,1,"29.668489,-95.5869"
77201,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77202,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77203,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77204,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77205,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77206,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77207,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77208,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77209,Houston,TX,29.612816,-95.158517,-6,1,"29.612816,-95.158517"
77210,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77212,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77213,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
