month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio
202006,77521,"baytown, tx",235050,194,59.5,76,12,68,182,113.5370987,2054,252966,376,0.9381
202006,77713,"beaumont, tx",296050,103,54,36,0,20,16,124.0966172,2357.5,309460,119,0.1553
202006,77433,"cypress, tx",371545,384,50,200,28,140,442,130.4616823,2870,423753,826,1.151
202006,77389,"spring, tx",457050,233,55.5,108,4,68,135,136.3921281,3478,659433,368,0.5794
202006,77056,"houston, tx",699050,294,90.5,76,0,52,38,279.4706164,2650.5,1218303,332,0.1293
202006,77461,"needville, tx",299550,22,56,4,0,8,11,144.2979764,1979,559279,33,0.5
202006,77625,"kountze, tx",160050,22,108,8,0,8,0,93.79310345,1866,240076,22,0
202006,77515,"angleton, tx",237500,96,70.5,28,0,24,65,130.0165666,1942.5,289178,161,0.6771
202006,77340,"huntsville, tx",258950,100,66.5,40,4,40,44,123.6356009,2189.5,306122,144,0.44
202006,77802,"bryan, tx",279500,128,97.5,36,0,32,70,130.0618048,1940,294125,198,0.5469
202006,77356,"montgomery, tx",319975,363,75,132,12,104,207,135.5052825,2463.5,456995,570,0.5702
202006,77015,"houston, tx",175049.5,48,56.5,20,0,12,41,97.37135036,1660.5,184875,89,0.8542
202006,77407,"richmond, tx",329500,246,64.5,92,16,60,215,125.383828,2756,357173,461,0.874
202006,77012,"houston, tx",192550,13,89.5,0,0,0,4,150.0290549,1385,197229,17,0.3077
202006,77651,"port neches, tx",253750,49,30.5,28,0,16,15,117.7579556,2024,256352,64,0.3061
202006,77856,"franklin, tx",359950,29,202,4,0,0,12,215.0974026,1653.5,402576,41,0.4138
202006,77090,"houston, tx",219865,47,45,24,4,12,46,82.09671252,2727.5,233563,93,0.9787
202006,77091,"houston, tx",252500,84,75,16,4,16,40,136.5606556,1629,237441,124,0.4762
202006,77360,"onalaska, tx",269950,63,126,12,0,8,16,157.5,1608,317864,79,0.254
202006,77554,"galveston, tx",483050,280,90.5,76,0,48,221,262.9642506,1759.5,562131,501,0.7893
202006,77879,"somerville, tx",137550,26,110.5,8,0,0,18,136.6590335,1391.5,861676,44,0.6923
202006,77331,"coldspring, tx",290050,60,87.5,12,0,12,25,135.9503401,1920,380526,85,0.4167
202006,77381,"spring, tx",519950,136,38.5,76,0,52,87,160.1315802,3316.5,745250,223,0.6397
202006,77586,"seabrook, tx",339950,94,72,32,0,28,68,133.8414191,2657,472518,162,0.7234
202006,77382,"spring, tx",620050,223,60,104,0,72,136,163.1592552,3834.5,1070318,359,0.6099
202006,77054,"houston, tx",177550,107,69,40,0,16,63,155.3899236,1140,205250,170,0.5888
202006,77657,"lumberton, tx",334500,109,54.5,36,0,16,7,131.8231761,2409,339382,116,0.0642
202006,77868,"navasota, tx",247825,88,89.5,12,0,8,39,118.3588933,2000,320329,127,0.4432
202006,77546,"friendswood, tx",394950,138,53.5,68,0,44,122,134.4579009,3074,463587,260,0.8841
202006,77478,"sugar land, tx",375049.5,99,58,28,0,32,31,132.0901909,2929.5,543080,130,0.3131
202006,77904,"victoria, tx",299950,106,79.5,32,0,36,52,138.9223789,2243,356166,158,0.4906
202006,77534,"danbury, tx",230300,15,61.5,4,0,4,10,131.2440478,1841.5,287147,25,0.6667
202006,77871,"normangee, tx",189050,38,72.5,16,0,4,9,103.4751974,1911,219605,47,0.2368
