date,77002,77003,77004,77005,77006,77007,77008,77009,77010,77011,77012,77013,77014,77015,77016,77017,77018,77019,77020,77021,77022,77023,77024,77025,77026,77027,77028,77029,77030,77031,77032,77033,77034,77035,77036,77037,77038,77039,77040,77041,77042,77043,77044,77045,77046,77047,77048,77049,77050,77051,77053,77054,77055,77056,77057,77059,77060,77061,77062,77063,77064,77065,77066,77067,77068,77069,77070,77071,77072,77073,77074,77075,77076,77077,77078,77079,77080,77081,77082,77083,77084,77085,77086,77087,77088,77089,77090,77091,77092,77093,77094,77095,77096,77098,77099,77327,77336,77338,77339,77346,77354,77357,77365,77373,77375,77377,77379,77380,77381,77382,77384,77386,77388,77389,77396,77406,77407,77429,77433,77447,77449,77450,77479,77484,77489,77493,77494,77498,77530,77532,77545,77546,77598
2017-01,1,0,3,0,3,4,7,0,0,0,0,0,2,0,0,0,3,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,4,0,1,2,2,2,1,2,0,0,0,0,4,0,0,0,3,2,3,9,1,1,0,0,1,0,7,0,2,0,0,2,0,0
2017-01,1,0,8,0,1,8,3,1,0,0,2,0,4,0,0,0,2,0,0,3,1,5,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,3,1,4,0,0,0,0,2,1,0,0,1,6,5,10,0,3,0,0,0,0,8,1,2,0,0,1,1,0
2017-02,1,0,6,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,2,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,2,0,0,1,0,1,2,0,3,3,2,0,0,0,0,3,1,2,0,5,3,5,2,1,1,0,0,0,0,4,1,1,2,5,1,1,1
2017-02,0,2,3,0,0,3,2,1,0,0,1,1,1,0,1,1,2,3,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,5,0,0,0,0,0,0,4,1,1,1,3,2,0,4,1,1,0,0,1,0,3,0,1,0,0,0,0,0
2017-03,1,2,3,0,1,3,5,2,0,2,0,1,1,0,2,1,3,0,2,0,2,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,4,0,3,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,2,1,6,1,4,0,0,1,0,2,1,1,1,0,1,0,0
2017-03,0,1,2,1,1,2,9,6,0,0,0,0,1,1,0,1,3,1,1,0,1,0,0,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,2,2,0,0,0,0,1,1,0,0,0,3,2,6,2,1,0,0,2,0,6,1,0,0,2,1,0,0
2017-04,0,0,0,1,1,3,8,4,0,0,1,0,0,1,1,2,0,0,2,1,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,2,0,0,7,0,2,0,2,0,0,0,0,0,1,1,2,1,4,2,3,3,2,0,0,0,0,5,2,1,0,0,1,1,0
2017-04,0,1,1,1,1,6,4,4,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,1,1,0,0,1,0,1,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,2,3,0,0,1,3,0,0,0,0,2,0,0,3,0,1,1,3,2,6,0,0,0,0,5,1,2,0,1,1,2,0
2017-05,0,2,3,0,3,6,4,3,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,9,0,1,3,1,0,0,3,0,0,0,0,1,1,0,1,3,1,5,5,1,4,0,1,1,0,1,3,0,0,0,0,0,0
