date,zip_code,permit_type,count,land_use
2017-01-19,77004,Residential,1,Single Family Residential (Public Street)
2017-01-19,77004,Residential,1,Single Family Residential (Public Street)
2017-01-19,77004,Unrestricted,1,Unrestricted
2017-01-19,77004,Residential,1,Single Family Residential (Public Street)
2017-01-19,77004,Unrestricted,1,Unrestricted
2017-01-19,77004,Residential,1,Single Family Residential (Shared Driveways)
2017-01-19,77004,Residential,1,Single Family Residential (Shared Driveways)
2017-01-19,77004,Unrestricted,1,Unrestricted
2017-01-19,77006,Residential,1,Single Family Residential (Public Street)
2017-01-19,77007,Residential,1,Single Family Residential (Public Street)
2017-01-19,77007,Residential,1,Single Family Residential (Public Street)
2017-01-19,77007,Unrestricted,1,Unrestricted
2017-01-19,77007,Residential,1,Single Family Residential (Shared Driveways)
2017-01-19,77007,Residential,1,Single Family Residential (Public Street)
2017-01-19,77007,Residential,1,Single Family Residential (Public Street)
2017-01-19,77007,Residential,1,Single Family Residential (Public Street)
2017-01-19,77007,Unrestricted,1,Unrestricted
2017-01-19,77008,Commercial,1,Commercial
2017-01-19,77008,Residential,1,Single Family Residential (Public Street)
2017-01-19,77008,Residential,1,Single Family Residential (Public Street)
2017-01-19,77009,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-01-19,77012,Unrestricted,1,Unrestricted
2017-01-19,77012,Unrestricted,1,Unrestricted
2017-01-19,77014,Residential,1,Single Family Residential (Public Street)
2017-01-19,77014,Other,1,General Plan
2017-01-19,77014,Other,1,General Plan
2017-01-19,77014,Residential,1,Single Family Residential (Public Street)
2017-01-19,77018,Residential,1,Residential Guest Parking; Single Family Residential (Public Street); Single Family Residential (Shared Driveways)
2017-01-19,77018,Residential,1,Residential Guest Parking; Single Family Residential (Public Street); Single Family Residential (Shared Driveways)
2017-01-19,77021,Residential,1,Landscape or Open Space; Single Family Residential (Shared Driveways); Other
2017-01-19,77021,Residential,1,Landscape or Open Space; Single Family Residential (Shared Driveways); Other
2017-01-19,77021,Residential,1,Single Family Residential (Public Street)
2017-01-19,77022,Unrestricted,1,Unrestricted
2017-01-19,77023,Residential,1,Single Family Residential (Public Street)
