date,zip_code,permit_type,count,land_use
2017-10-26,77084,Unrestricted,1,Unrestricted Intended for Multifamily
2017-10-26,77088,Residential,1,Single Family Residential (Public Street)
2017-10-26,77088,Residential,1,Single Family Residential (Public Street)
2017-10-26,77088,Residential,1,Single Family Residential (Public Street)
2017-10-26,77091,Residential,1,Single Family Residential (Shared Driveways)
2017-10-26,77091,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-10-26,77093,Commercial,1,Commercial
2017-10-26,77095,Unrestricted,1,Unrestricted
2017-10-26,77098,Residential,1,Single Family Residential (Public Street)
2017-10-26,77336,Residential,1,Single Family Residential (Public Street)
2017-10-26,77338,Unrestricted,1,Unrestricted
2017-10-26,77346,Residential,1,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2017-10-26,77357,Unrestricted,1,Unrestricted
2017-10-26,77365,Residential,1,Single Family Residential (Public Street)
2017-10-26,77365,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77375,Commercial,1,Commercial
2017-10-26,77375,Other,1,General Plan
2017-10-26,77375,Other,1,"Water Treatment, Production or Repressurization"
2017-10-26,77377,Residential,1,Single Family Residential (Public Street)
2017-10-26,77377,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2)
2017-10-26,77377,Commercial,1,Commercial
2017-10-26,77379,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-10-26,77386,Unrestricted,1,Unrestricted
2017-10-26,77386,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77388,Commercial,1,Commercial
2017-10-26,77388,Unrestricted,1,Unrestricted
2017-10-26,77396,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77396,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77396,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77396,Unrestricted,1,Unrestricted
2017-10-26,77407,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77407,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77407,Other,1,Street Dedication
2017-10-26,77429,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77429,Unrestricted,1,Unrestricted
2017-10-26,77429,Commercial,1,Commercial
2017-10-26,77433,Residential,1,Landscape or Open Space; Recreation; Single Family Residential (Public Street)
2017-10-26,77433,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77433,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-10-26,77447,Other,1,Landscape or Open Space; Street Dedication
2017-10-26,77447,Residential,1,Single Family Residential (Public Street)
2017-10-26,77447,Other,1,Landscape or Open Space; Street Dedication
2017-10-26,77449,Unrestricted,1,Unrestricted
2017-10-26,77489,Residential,1,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2017-10-26,77493,Residential,1,Single Family Residential (Public Street)
2017-10-26,77493,Other,1,Landscape or Open Space
2017-10-26,77493,Other,1,Street Dedication
2017-10-26,77493,Other,1,Street Dedication
2017-10-26,77493,Residential,1,Single Family Residential (Public Street)
2017-10-26,77493,Residential,1,Single Family Residential (Public Street)
2017-10-26,77493,Residential,1,Single Family Residential (Public Street)
2017-10-26,77494,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-10-26,77494,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-10-26,77494,Residential,1,Single Family Residential (Public Street)
2017-10-26,77498,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-10-26,77532,Commercial,1,Commercial
2017-11-09,77003,Other,1,Street Dedication
2017-11-09,77003,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77003,Unrestricted,1,Unrestricted
2017-11-09,77004,Commercial,1,Commercial
2017-11-09,77004,Residential,1,Single Family Residential (Public Street)
2017-11-09,77006,Residential,1,Single Family Residential (Public Street)
2017-11-09,77006,Residential,1,Compensating Open Space; Single Family Residential (Public Street)
2017-11-09,77007,Unrestricted,1,Unrestricted
2017-11-09,77007,Residential,1,Single Family Residential (Public Street)
2017-11-09,77007,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77008,Commercial,1,Commercial
2017-11-09,77008,Residential,1,Single Family Residential (Public Street)
2017-11-09,77008,Residential,1,Single Family Residential (Public Street)
2017-11-09,77009,Residential,1,Single Family Residential (Public Street)
2017-11-09,77009,Residential,1,Single Family Residential (Public Street)
2017-11-09,77009,Residential,1,Single Family Residential (Public Street)
2017-11-09,77009,Residential,1,Single Family Residential (Public Street)
2017-11-09,77009,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77009,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77011,Unrestricted,1,Unrestricted Intended for Multifamily
2017-11-09,77011,Unrestricted,1,Unrestricted Intended for Multifamily
2017-11-09,77014,Other,1,Landscape or Open Space
2017-11-09,77015,Commercial,1,Commercial
2017-11-09,77016,Residential,1,Single Family Residential (Public Street)
2017-11-09,77018,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-11-09,77018,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77018,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77019,Residential,1,Single Family Residential (Public Street)
2017-11-09,77019,Residential,1,Single Family Residential (Public Street)
2017-11-09,77019,Residential,1,Single Family Residential (Public Street)
2017-11-09,77021,Residential,1,Single Family Residential (Public Street)
2017-11-09,77021,Residential,1,Single Family Residential (Public Street)
2017-11-09,77022,Residential,1,Single Family Residential (Public Street)
2017-11-09,77022,Other,1,"Church, School and Institutional"
2017-11-09,77025,Unrestricted,1,Unrestricted
2017-11-09,77025,Unrestricted,1,Unrestricted
2017-11-09,77027,Unrestricted,1,Unrestricted
2017-11-09,77027,Residential,1,Single Family Residential (Public Street)
2017-11-09,77038,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-11-09,77038,Unrestricted,1,Unrestricted
2017-11-09,77039,Commercial,1,Commercial
2017-11-09,77040,Unrestricted,1,Unrestricted
2017-11-09,77040,Commercial,1,Commercial
2017-11-09,77040,Unrestricted,1,Unrestricted
2017-11-09,77041,Commercial,1,Commercial
2017-11-09,77043,Unrestricted,1,Unrestricted
2017-11-09,77044,Unrestricted,1,Unrestricted
2017-11-09,77044,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-09,77048,Unrestricted,1,Unrestricted
2017-11-09,77049,Residential,1,Single Family Residential (Public Street)
2017-11-09,77049,Residential,1,Single Family Residential (Public Street)
2017-11-09,77049,Commercial,1,Commercial
2017-11-09,77054,Unrestricted,1,Unrestricted
2017-11-09,77055,Residential,1,Compensating Open Space; Single Family Residential (Public Street)
2017-11-09,77055,Residential,1,Single Family Residential (Public Street)
2017-11-09,77055,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77055,Residential,1,Single Family Residential (Public Street)
2017-11-09,77057,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77057,Unrestricted,1,Unrestricted
2017-11-09,77057,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77061,Commercial,1,Commercial
2017-11-09,77063,Commercial,1,Commercial
2017-11-09,77066,Unrestricted,1,Unrestricted
2017-11-09,77067,Unrestricted,1,Unrestricted
2017-11-09,77073,Unrestricted,1,Unrestricted
2017-11-09,77074,Residential,1,Single Family Residential (Public Street)
2017-11-09,77077,Unrestricted,1,Unrestricted
2017-11-09,77080,Residential,1,Compensating Open Space; Single Family Residential (Shared Driveways)
2017-11-09,77080,Residential,1,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2)
2017-11-09,77080,Residential,1,Single Family Residential (Public Street)
2017-11-09,77082,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-09,77089,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-09,77090,Commercial,1,Commercial
2017-11-09,77090,Unrestricted,1,Unrestricted
2017-11-09,77091,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-09,77091,Commercial,1,Commercial
2017-11-09,77092,Unrestricted,1,Unrestricted
2017-11-09,77092,Residential,1,Single Family Residential (Shared Driveways)
2017-11-09,77093,Residential,1,Single Family Residential (Public Street)
2017-11-09,77095,Unrestricted,1,Unrestricted
2017-11-09,77098,Residential,1,Single Family Residential (Public Street)
2017-11-09,77098,Residential,1,Single Family Residential (Public Street)
2017-11-09,77099,Unrestricted,1,Unrestricted
2017-11-09,77336,Unrestricted,1,Unrestricted
2017-11-09,77346,Residential,1,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2017-11-09,77365,Residential,1,Single Family Residential (Public Street)
2017-11-09,77365,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-09,77365,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-09,77373,Commercial,1,Commercial
2017-11-09,77375,Other,1,"Church, School and Institutional"
2017-11-09,77375,Other,1,General Plan
2017-11-09,77379,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-09,77389,Unrestricted,1,Unrestricted
2017-11-09,77389,Other,1,Street Dedication
2017-11-09,77389,Other,1,General Plan
2017-11-09,77396,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-09,77396,Residential,1,Single Family Residential (Public Street)
2017-11-09,77407,Residential,1,Unrestricted; Single Family Residential (Shared Driveways)
2017-11-09,77429,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2017-11-09,77429,Other,1,General Plan
2017-11-09,77429,Unrestricted,1,Unrestricted
2017-11-09,77429,Residential,1,Single Family Residential (Public Street)
2017-11-09,77433,Other,1,Street Dedication
2017-11-09,77433,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-09,77447,Residential,1,Single Family Residential (Public Street)
2017-11-09,77447,Other,1,Landscape or Open Space; Street Dedication
2017-11-09,77449,Other,1,Landscape or Open Space; Recreation
2017-11-09,77449,Unrestricted,1,Unrestricted
2017-11-09,77449,Other,1,Recreation
2017-11-09,77450,Unrestricted,1,Unrestricted
2017-11-09,77489,Residential,1,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2017-11-09,77493,Other,1,Street Dedication
2017-11-09,77493,Other,1,Other
2017-11-09,77493,Other,1,General Plan
2017-11-09,77493,Other,1,Landscape or Open Space
2017-11-09,77493,Residential,1,Single Family Residential (Public Street)
2017-11-09,77494,Other,1,General Plan
2017-11-09,77494,Residential,1,Single Family Residential (Public Street)
2017-11-09,77494,Unrestricted,1,Unrestricted
2017-11-09,77498,Unrestricted,1,Unrestricted
2017-11-09,77530,Unrestricted,1,Unrestricted
2017-11-30,77002,Unrestricted,1,Unrestricted
2017-11-30,77003,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-11-30,77003,Residential,1,Single Family Residential (Public Street)
2017-11-30,77004,Residential,1,Single Family Residential (Public Street)
2017-11-30,77004,Residential,1,Single Family Residential (Public Street)
2017-11-30,77004,Unrestricted,1,Unrestricted Intended for Multifamily
2017-11-30,77007,Residential,1,Single Family Residential (Public Street)
2017-11-30,77007,Residential,1,Commercial; Single Family Residential (Public Street)
2017-11-30,77007,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77007,Residential,1,Single Family Residential (Public Street)
2017-11-30,77007,Residential,1,Single Family Residential (Public Street)
2017-11-30,77007,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77007,Unrestricted,1,Unrestricted
2017-11-30,77008,Residential,1,Single Family Residential (Public Street)
2017-11-30,77008,Residential,1,Single Family Residential (Public Street)
2017-11-30,77008,Unrestricted,1,Unrestricted
2017-11-30,77009,Residential,1,Single Family Residential (Public Street)
2017-11-30,77009,Residential,1,Single Family Residential (Public Street)
2017-11-30,77009,Unrestricted,1,Unrestricted
2017-11-30,77009,Residential,1,Single Family Residential (Public Street)
2017-11-30,77009,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77011,Residential,1,Single Family Residential (Public Street)
2017-11-30,77013,Commercial,1,Commercial
2017-11-30,77014,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77018,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77019,Unrestricted,1,Unrestricted
2017-11-30,77022,Residential,1,Single Family Residential (Public Street)
2017-11-30,77023,Residential,1,Single Family Residential (Public Street)
2017-11-30,77024,Unrestricted,1,Unrestricted
2017-11-30,77026,Residential,1,Single Family Residential (Public Street)
2017-11-30,77026,Unrestricted,1,Unrestricted
2017-11-30,77027,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77030,Residential,1,Single Family Residential (Public Street)
2017-11-30,77038,Unrestricted,1,Unrestricted
2017-11-30,77040,Commercial,1,Commercial
2017-11-30,77044,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77044,Unrestricted,1,Unrestricted
2017-11-30,77045,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2017-11-30,77051,Unrestricted,1,Unrestricted
2017-11-30,77054,Unrestricted,1,Unrestricted
2017-11-30,77056,Residential,1,Single Family Residential (Public Street)
2017-11-30,77057,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77057,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77060,Residential,1,Single Family Residential (Public Street)
2017-11-30,77061,Commercial,1,Commercial
2017-11-30,77064,Unrestricted,1,Unrestricted
2017-11-30,77064,Other,1,General Plan
2017-11-30,77064,Unrestricted,1,Unrestricted
2017-11-30,77073,Unrestricted,1,Unrestricted
2017-11-30,77074,Residential,1,Single Family Residential (Public Street)
2017-11-30,77077,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-30,77080,Residential,1,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2)
2017-11-30,77080,Unrestricted,1,Unrestricted
2017-11-30,77080,Residential,1,Compensating Open Space; Single Family Residential (Shared Driveways)
2017-11-30,77080,Residential,1,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2)
2017-11-30,77084,Unrestricted,1,Unrestricted
2017-11-30,77085,Unrestricted,1,Unrestricted
2017-11-30,77085,Other,1,General Plan
2017-11-30,77086,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77088,Other,1,Other
2017-11-30,77089,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-11-30,77090,Unrestricted,1,Unrestricted
2017-11-30,77092,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-11-30,77093,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77098,Residential,1,Single Family Residential (Shared Driveways)
2017-11-30,77098,Residential,1,Single Family Residential (Public Street)
2017-11-30,77336,Residential,1,Single Family Residential (Public Street)
2017-11-30,77339,Unrestricted,1,Unrestricted
2017-11-30,77365,Residential,1,Single Family Residential (Public Street)
2017-11-30,77373,Unrestricted,1,Unrestricted
2017-11-30,77373,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77373,Commercial,1,Commercial
2017-11-30,77377,Unrestricted,1,Unrestricted
2017-11-30,77377,Other,1,General Plan
2017-11-30,77379,Unrestricted,1,Unrestricted Intended for Multifamily
2017-11-30,77386,Residential,1,Drainage or Detention; Single Family Residential (Public Street)
2017-11-30,77389,Other,1,Street Dedication
2017-11-30,77406,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77406,Residential,1,Single Family Residential (Public Street)
2017-11-30,77406,Unrestricted,1,Unrestricted
2017-11-30,77406,Unrestricted,1,Unrestricted
2017-11-30,77406,Residential,1,Landscape or Open Space; Single Family Residential (Public Street); Other
2017-11-30,77406,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77433,Residential,1,Single Family Residential (Public Street)
2017-11-30,77447,Residential,1,Single Family Residential (Public Street)
2017-11-30,77447,Residential,1,Single Family Residential (Public Street)
2017-11-30,77449,Other,1,Landscape or Open Space; Recreation
2017-11-30,77449,Residential,1,Landscape or Open Space; Recreation; Single Family Residential (Public Street)
2017-11-30,77449,Unrestricted,1,Unrestricted
2017-11-30,77450,Commercial,1,Commercial
2017-11-30,77450,Unrestricted,1,Unrestricted
2017-11-30,77493,Residential,1,Unrestricted; Landscape or Open Space; Single Family Residential (Public Street)
2017-11-30,77493,Other,1,General Plan
2017-11-30,77493,Residential,1,Single Family Residential (Public Street)
2017-11-30,77493,Unrestricted,1,Unrestricted
2017-11-30,77493,Other,1,Other
2017-11-30,77494,Residential,1,Single Family Residential (Public Street)
2017-11-30,77498,Unrestricted,1,Unrestricted
2017-11-30,77530,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other
2017-11-30,77530,Residential,1,Single Family Residential (Public Street)
2017-11-30,77530,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77002,Unrestricted,1,Unrestricted
2017-12-14,77003,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-12-14,77003,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77004,Unrestricted,1,Unrestricted Intended for Multifamily
2017-12-14,77004,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77007,Unrestricted,1,Unrestricted
2017-12-14,77007,Residential,1,Single Family Residential (Public Street)
2017-12-14,77007,Residential,1,Single Family Residential (Public Street)
2017-12-14,77007,Residential,1,Commercial; Single Family Residential (Public Street)
2017-12-14,77007,Residential,1,Single Family Residential (Public Street)
2017-12-14,77008,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77008,Unrestricted,1,Unrestricted
2017-12-14,77008,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77008,Unrestricted,1,Unrestricted
2017-12-14,77009,Unrestricted,1,Unrestricted
2017-12-14,77009,Residential,1,Single Family Residential (Public Street)
2017-12-14,77009,Residential,1,Single Family Residential (Public Street)
2017-12-14,77012,Residential,1,Single Family Residential (Public Street)
2017-12-14,77013,Unrestricted,1,Unrestricted
2017-12-14,77013,Unrestricted,1,Unrestricted
2017-12-14,77016,Residential,1,Landscape or Open Space; Single Family Residential (Public Street); Other
2017-12-14,77019,Unrestricted,1,Unrestricted
2017-12-14,77021,Residential,1,Single Family Residential (Public Street)
2017-12-14,77025,Commercial,1,Commercial
2017-12-14,77026,Unrestricted,1,Unrestricted
2017-12-14,77027,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77027,Residential,1,Single Family Residential (Public Street)
2017-12-14,77044,Unrestricted,1,Unrestricted
2017-12-14,77055,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77055,Unrestricted,1,Unrestricted
2017-12-14,77056,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-12-14,77057,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77060,Residential,1,Single Family Residential (Public Street)
2017-12-14,77064,Unrestricted,1,Unrestricted
2017-12-14,77064,Other,1,General Plan
2017-12-14,77070,Residential,1,Compensating Open Space; Single Family Residential (Public Street)
2017-12-14,77073,Unrestricted,1,Unrestricted
2017-12-14,77075,Residential,1,Single Family Residential (Public Street)
2017-12-14,77075,Unrestricted,1,Unrestricted
2017-12-14,77077,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-12-14,77080,Residential,1,Single Family Residential (Public Street)
2017-12-14,77082,Residential,1,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways)
2017-12-14,77083,Unrestricted,1,Unrestricted
2017-12-14,77085,Unrestricted,1,Unrestricted
2017-12-14,77088,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77090,Commercial,1,Commercial
2017-12-14,77091,Residential,1,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-12-14,77092,Residential,1,Single Family Residential (Shared Driveways)
2017-12-14,77093,Unrestricted,1,Unrestricted
2017-12-14,77094,Unrestricted,1,Unrestricted
2017-12-14,77094,Unrestricted,1,Unrestricted
2017-12-14,77095,Unrestricted,1,Unrestricted
2017-12-14,77098,Unrestricted,1,Unrestricted
2017-12-14,77336,Residential,1,Compensating Open Space; Drainage or Detention; Single Family Residential (PAE 1/PAE 2)
2017-12-14,77338,Unrestricted,1,Unrestricted
2017-12-14,77339,Other,1,Other
2017-12-14,77346,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77346,Unrestricted,1,Unrestricted; Other
2017-12-14,77346,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-12-14,77346,Other,1,Street Dedication
2017-12-14,77357,Unrestricted,1,Unrestricted
2017-12-14,77357,Other,1,Street Dedication
2017-12-14,77365,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77375,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-12-14,77377,Other,1,General Plan
2017-12-14,77379,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-12-14,77386,Commercial,1,Commercial
2017-12-14,77388,Unrestricted,1,Unrestricted
2017-12-14,77388,Unrestricted,1,Unrestricted
2017-12-14,77389,Unrestricted,1,Unrestricted
2017-12-14,77389,Commercial,1,Commercial
2017-12-14,77389,Unrestricted,1,Unrestricted
2017-12-14,77389,Other,1,Street Dedication
2017-12-14,77396,Commercial,1,Commercial
2017-12-14,77396,Unrestricted,1,Unrestricted
2017-12-14,77396,Commercial,1,Commercial
2017-12-14,77406,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77406,Other,1,Street Dedication
2017-12-14,77407,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77407,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77407,Unrestricted,1,Unrestricted
2017-12-14,77407,Unrestricted,1,Unrestricted
2017-12-14,77407,Commercial,1,Commercial
2017-12-14,77429,Unrestricted,1,Unrestricted
2017-12-14,77433,Unrestricted,1,Unrestricted
2017-12-14,77433,Other,1,Lift Station
2017-12-14,77433,Other,1,Lift Station
2017-12-14,77433,Residential,1,Single Family Residential (Public Street)
2017-12-14,77447,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77447,Other,1,Street Dedication
2017-12-14,77447,Residential,1,Single Family Residential (Public Street)
2017-12-14,77447,Residential,1,Single Family Residential (Public Street)
2017-12-14,77449,Other,1,Recreation
2017-12-14,77449,Other,1,Landscape or Open Space; Recreation
2017-12-14,77493,Other,1,Drainage or Detention
2017-12-14,77493,Residential,1,Single Family Residential (Public Street)
2017-12-14,77493,Other,1,General Plan
2017-12-14,77493,Residential,1,Unrestricted; Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77494,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-12-14,77498,Unrestricted,1,Unrestricted
2018-01-04,77002,Unrestricted,1,Unrestricted
2018-01-04,77003,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77003,Residential,1,Landscape or Open Space; Single Family Residential (Shared Driveways)
2018-01-04,77003,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77003,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77004,Unrestricted,1,Unrestricted
2018-01-04,77004,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77004,Unrestricted,1,Unrestricted
2018-01-04,77004,Commercial,1,Commercial
2018-01-04,77005,Residential,1,Single Family Residential (Public Street)
2018-01-04,77007,Residential,1,Single Family Residential (Public Street)
2018-01-04,77007,Residential,1,Single Family Residential (Public Street)
2018-01-04,77007,Unrestricted,1,Unrestricted
2018-01-04,77007,Residential,1,Single Family Residential (Public Street)
2018-01-04,77007,Residential,1,Single Family Residential (Public Street)
2018-01-04,77007,Residential,1,Single Family Residential (Public Street)
2018-01-04,77007,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77008,Unrestricted,1,Unrestricted
2018-01-04,77008,Unrestricted,1,Unrestricted
2018-01-04,77008,Unrestricted,1,Unrestricted
2018-01-04,77008,Unrestricted,1,Unrestricted
2018-01-04,77008,Unrestricted,1,Unrestricted
2018-01-04,77015,Unrestricted,1,Unrestricted
2018-01-04,77018,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77018,Residential,1,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways)
2018-01-04,77019,Residential,1,Single Family Residential (Public Street)
2018-01-04,77020,Unrestricted,1,Unrestricted
2018-01-04,77020,Residential,1,Single Family Residential (PAE 1/PAE 2)
2018-01-04,77020,Unrestricted,1,Unrestricted
2018-01-04,77022,Unrestricted,1,Unrestricted
2018-01-04,77022,Residential,1,Single Family Residential (Public Street)
2018-01-04,77025,Commercial,1,Commercial
2018-01-04,77026,Residential,1,Single Family Residential (Public Street)
2018-01-04,77026,Unrestricted,1,Unrestricted
2018-01-04,77027,Residential,1,Single Family Residential (Public Street)
2018-01-04,77027,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2018-01-04,77029,Unrestricted,1,Unrestricted
2018-01-04,77032,Unrestricted,1,Unrestricted
2018-01-04,77034,Unrestricted,1,Unrestricted
2018-01-04,77035,Unrestricted,1,Unrestricted
2018-01-04,77041,Unrestricted,1,Unrestricted
2018-01-04,77048,Other,1,General Plan
2018-01-04,77053,Residential,1,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2018-01-04,77055,Residential,1,Single Family Residential (PAE 1/PAE 2)
2018-01-04,77055,Residential,1,Single Family Residential (PAE 1/PAE 2)
2018-01-04,77055,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77057,Residential,1,Single Family Residential (Shared Driveways)
2018-01-04,77059,Residential,1,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2)
2018-01-04,77062,Unrestricted,1,Unrestricted
2018-01-04,77069,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2018-01-04,77073,Unrestricted,1,Unrestricted
2018-01-04,77074,Residential,1,Single Family Residential (Public Street)
2018-01-04,77075,Residential,1,Single Family Residential (Public Street)
2018-01-04,77076,Residential,1,Single Family Residential (Public Street)
2018-01-04,77077,Residential,1,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways)
2018-01-04,77080,Residential,1,Single Family Residential (PAE 1/PAE 2)
2018-01-04,77080,Residential,1,Single Family Residential (PAE 1/PAE 2)
2018-01-04,77084,Unrestricted,1,Unrestricted
2018-01-04,77084,Other,1,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Other
2018-01-04,77088,Residential,1,Single Family Residential (Public Street)
2018-01-04,77088,Residential,1,Single Family Residential (Public Street)
2018-01-04,77090,Commercial,1,Commercial
2018-01-04,77091,Residential,1,Single Family Residential (Public Street)
2018-01-04,77091,Residential,1,Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2)
2018-01-04,77093,Other,1,Lift Station
2018-01-04,77336,Residential,1,Compensating Open Space; Drainage or Detention; Single Family Residential (PAE 1/PAE 2)
2018-01-04,77336,Residential,1,Single Family Residential (Public Street)
2018-01-04,77338,Commercial,1,Commercial
2018-01-04,77338,Unrestricted,1,Unrestricted
2018-01-04,77339,Unrestricted,1,Unrestricted
2018-01-04,77346,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2018-01-04,77346,Residential,1,Single Family Residential (PAE 1/PAE 2)
2018-01-04,77365,Other,1,Street Dedication
2018-01-04,77365,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2018-01-04,77377,Other,1,General Plan
