Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Home mortgage interest paid ,Total charitable contributions,Taxable income,Income tax
,,,,,,,
,,-1,-69,-75,-85,-91,-133
75025,"$1 under $25,000",6170,1469,1292,638,14632,1340
75025,"$25,000 under $50,000",3550,2728,2490,1814,69349,7412
75025,"$50,000 under $75,000",2660,4496,4378,2613,109349,14211
75025,"$75,000 under $100,000",2220,5748,5576,3222,137957,19244
75025,"$100,000 under $200,000",5960,25947,24565,16106,660704,114377
75025,"$200,000 or more",3000,19727,16195,27833,923691,229247
,,,,,,,
75028,,20610,63191,68514,50654,1705719,345557
75028,"$1 under $25,000",5160,1194,1271,516,12580,1189
75028,"$25,000 under $50,000",2740,2623,2668,1675,54265,5904
75028,"$50,000 under $75,000",2210,4234,4752,2582,88961,11356
75028,"$75,000 under $100,000",2160,6253,7234,3981,132158,18227
75028,"$100,000 under $200,000",5780,27917,31535,19254,628978,107825
75028,"$200,000 or more",2560,20970,21054,22646,788777,201056
,,,,,,,
75032,,14170,43902,49348,43498,1333090,307040
75032,"$1 under $25,000",4050,1044,913,509,9416,869
75032,"$25,000 under $50,000",2300,1910,1997,1470,41328,4401
75032,"$50,000 under $75,000",1690,3277,3783,2113,65351,8117
75032,"$75,000 under $100,000",1270,3616,4338,2645,75136,10213
75032,"$100,000 under $200,000",2950,14641,17793,10760,311690,52987
75032,"$200,000 or more",1910,19414,20524,26001,830169,230453
,,,,,,,
75034,,30830,129527,131150,113413,4055988,986577
75034,"$1 under $25,000",6780,2544,2436,946,17685,1609
75034,"$25,000 under $50,000",4920,4125,4068,2721,97440,10621
75034,"$50,000 under $75,000",3630,6305,6330,3883,150336,20367
75034,"$75,000 under $100,000",2880,8909,9549,5319,177276,25953
75034,"$100,000 under $200,000",7100,41369,46203,22901,763300,132920
75034,"$200,000 or more",5520,66275,62564,77643,2849951,795107
,,,,,,,
75035,,28350,101873,118467,60144,2417340,478502
75035,"$1 under $25,000",6350,1883,1813,751,15718,1456
75035,"$25,000 under $50,000",3480,3663,4183,1907,66672,7079
75035,"$50,000 under $75,000",3030,6670,7672,3768,117922,14692
75035,"$75,000 under $100,000",2830,9802,11539,5230,170092,23461
75035,"$100,000 under $200,000",8690,47087,55639,22799,935371,159788
75035,"$200,000 or more",3970,32768,37621,25689,1111565,272026
,,,,,,,
75038,,15100,14470,11967,17892,850520,189085
75038,"$1 under $25,000",5610,334,376,524,15605,1267
75038,"$25,000 under $50,000",4360,501,608,1913,80197,8193
75038,"$50,000 under $75,000",2090,922,1100,1722,86447,11595
75038,"$75,000 under $100,000",1190,1076,1169,1171,75376,11053
75038,"$100,000 under $200,000",1210,3051,3208,2793,127345,22500
75038,"$200,000 or more",640,8586,5506,9769,465550,134477
,,,,,,,
75039,,10910,20452,19589,16286,967992,206707
75039,"$1 under $25,000",1700,173,188,161,6210,535
75039,"$25,000 under $50,000",2190,445,590,838,53387,6410
75039,"$50,000 under $75,000",2270,895,1067,1511,103005,15383
75039,"$75,000 under $100,000",1520,1341,1487,1238,102007,16544
75039,"$100,000 under $200,000",2140,6632,7043,3993,234586,43424
75039,"$200,000 or more",1090,10966,9214,8545,468797,124411
,,,,,,,
75040,,28720,14895,18578,18716,704898,99104
75040,"$1 under $25,000",12060,1126,1598,906,27749,2455
75040,"$25,000 under $50,000",8520,2685,3827,3287,142392,13997
75040,"$50,000 under $75,000",3820,3160,4330,3462,145889,17618
75040,"$75,000 under $100,000",2020,2646,3276,3455,123067,16854
75040,"$100,000 under $200,000",2080,4449,4810,6172,210253,35218
75040,"$200,000 or more",220,829,737,1434,55548,12962
,,,,,,,
75041,,13460,4333,5723,6732,262569,35862
75041,"$1 under $25,000",6180,321,481,345,13836,1207
75041,"$25,000 under $50,000",4360,928,1457,1322,67060,6262
75041,"$50,000 under $75,000",1580,1016,1395,1364,58813,6984
75041,"$75,000 under $100,000",680,751,987,1115,41239,5543
75041,"$100,000 under $200,000",580,1021,1157,1704,57702,9612
75041,"$200,000 or more",80,296,246,882,23919,6254
,,,,,,,
75042,,17180,4364,5627,5976,303138,38388
75042,"$1 under $25,000",8400,388,688,407,19436,1690
75042,"$25,000 under $50,000",5450,1284,1843,1570,83217,8094
75042,"$50,000 under $75,000",1940,1017,1364,1653,70934,8257
75042,"$75,000 under $100,000",750,570,768,833,45122,6125
75042,"$100,000 under $200,000",580,806,782,1256,58313,9719
75042,"$200,000 or more",60,299,182,257,26116,4503
,,,,,,,
75043,,28400,20134,24079,27830,827203,124674
75043,"$1 under $25,000",11110,1067,1529,1114,27331,2368
75043,"$25,000 under $50,000",8170,2797,3862,3914,143047,14182
75043,"$50,000 under $75,000",4000,3714,4950,4938,154506,19182
75043,"$75,000 under $100,000",2200,3516,4424,4260,132723,17971
75043,"$100,000 under $200,000",2510,6942,7543,9531,252932,42249
75043,"$200,000 or more",410,2098,1771,4073,116664,28722
,,,,,,,
75044,,20600,27537,25718,29392,936363,171956
75044,"$1 under $25,000",7050,1057,1171,571,17329,1560
75044,"$25,000 under $50,000",5300,2520,2703,2131,98132,10428
75044,"$50,000 under $75,000",2890,3404,3770,2779,116337,15132
75044,"$75,000 under $100,000",1790,3444,3602,2870,112032,15934
75044,"$100,000 under $200,000",2590,9895,8870,9152,276817,47868
75044,"$200,000 or more",980,7217,5602,11889,315716,81034
,,,,,,,
75048,,11490,28617,30972,20875,644767,112473
75048,"$1 under $25,000",3060,761,740,360,7896,730
75048,"$25,000 under $50,000",2140,2154,2357,1227,38781,4029
75048,"$50,000 under $75,000",1600,3345,3728,1936,62659,7880
75048,"$75,000 under $100,000",1330,4190,4667,2498,79362,10438
75048,"$100,000 under $200,000",2710,13561,14791,9437,283960,47802
75048,"$200,000 or more",650,4606,4689,5417,172109,41594
,,,,,,,
75050,,19110,7316,8115,16863,481402,73594
75050,"$1 under $25,000",7730,304,368,867,18084,1535
75050,"$25,000 under $50,000",6370,990,1383,4224,106997,10418
75050,"$50,000 under $75,000",2570,1362,1696,3122,99028,12548
75050,"$75,000 under $100,000",1120,1176,1411,2008,69110,9786
75050,"$100,000 under $200,000",1120,2522,2692,4172,115851,19900
75050,"$200,000 or more",200,962,565,2470,72332,19407
,,,,,,,
75051,,16820,4310,6160,9987,276274,34604
75051,"$1 under $25,000",8020,269,446,986,16898,1433
75051,"$25,000 under $50,000",5570,1160,1765,3642,85952,7809
75051,"$50,000 under $75,000",2000,1170,1872,2629,70232,7896
75051,"$75,000 under $100,000",740,735,1132,1153,43950,5754
75051,"$100,000 under $200,000",450,601,945,1378,43658,7158
75051,"$200,000 or more",40,375,0,199,15584,4554
,,,,,,,
75052,,42780,43465,51441,56874,1358386,201254
75052,"$1 under $25,000",15120,2033,2539,1915,37657,3218
75052,"$25,000 under $50,000",11650,6015,8099,9759,201361,19513
75052,"$50,000 under $75,000",6560,8971,11140,11182,245723,29529
75052,"$75,000 under $100,000",4060,8730,10125,9498,241996,32658
75052,"$100,000 under $200,000",4810,14806,16661,19809,480324,79573
75052,"$200,000 or more",580,2910,2877,4711,151325,36763
,,,,,,,
75054,,5970,22584,26044,18607,411708,76249
75054,"$1 under $25,000",1290,472,710,159,3052,275
75054,"$25,000 under $50,000",800,1106,1269,913,14246,1422
75054,"$50,000 under $75,000",740,2205,2422,1808,27680,3440
75054,"$75,000 under $100,000",740,3303,3866,2355,42359,5795
75054,"$100,000 under $200,000",1920,11735,13693,8859,196519,33305
75054,"$200,000 or more",480,3763,4084,4513,127852,32012
,,,,,,,
75056,,30080,67905,71146,49415,1989946,404444
75056,"$1 under $25,000",7940,1734,1564,770,22679,2024
75056,"$25,000 under $50,000",6850,3425,4081,2884,140237,15517
75056,"$50,000 under $75,000",4530,5436,6704,3842,187967,25418
75056,"$75,000 under $100,000",2940,6447,7213,4487,184607,26871
75056,"$100,000 under $200,000",5350,25901,27362,15777,572565,99929
75056,"$200,000 or more",2470,24962,24222,21655,881891,234685
,,,,,,,
75057,,6940,1976,2420,3855,186771,29426
75057,"$1 under $25,000",2700,102,171,177,7153,601
75057,"$25,000 under $50,000",2350,283,378,780,42760,4527
75057,"$50,000 under $75,000",1030,355,495,718,41489,5423
75057,"$75,000 under $100,000",440,327,410,545,28259,4309
75057,"$100,000 under $200,000",350,505,600,839,36536,6377
75057,"$200,000 or more",70,404,366,796,30574,8189
,,,,,,,
75058,,1450,3378,4016,3645,85637,15595
75058,"$1 under $25,000",450,0,0,0,1139,103
75058,"$25,000 under $50,000",280,228,207,130,4265,404
75058,"$50,000 under $75,000",160,325,350,199,5790,666
75058,"$75,000 under $100,000",130,432,560,190,7746,955
75058,"$100,000 under $200,000",320,1568,1955,1047,32091,5088
75058,"$200,000 or more",110,825,944,2079,34606,8379
,,,,,,,
75060,,21180,7616,9780,12479,467026,63559
75060,"$1 under $25,000",8890,491,677,666,21213,1828
75060,"$25,000 under $50,000",6810,1408,2079,2302,108651,10387
75060,"$50,000 under $75,000",2930,1736,2505,2926,108752,12793
75060,"$75,000 under $100,000",1280,1418,1728,1925,76794,10190
75060,"$100,000 under $200,000",1140,2212,2437,3573,114175,19029
75060,"$200,000 or more",130,351,354,1087,37441,9332
,,,,,,,
75061,,23590,7141,8673,14599,499051,71022
75061,"$1 under $25,000",10660,402,537,709,25487,2170
75061,"$25,000 under $50,000",7730,1140,1537,3340,121956,11480
75061,"$50,000 under $75,000",2760,1642,2230,2782,102604,12281
75061,"$75,000 under $100,000",1120,1133,1437,1946,67296,9212
75061,"$100,000 under $200,000",1130,2056,2345,3870,117338,19950
75061,"$200,000 or more",190,768,587,1952,64370,15929
,,,,,,,
75062,,22700,13688,13649,20639,701742,126086
75062,"$1 under $25,000",9510,610,736,783,24610,2093
75062,"$25,000 under $50,000",6960,1790,2304,2937,120069,12072
75062,"$50,000 under $75,000",2840,1512,2068,2592,110486,14012
75062,"$75,000 under $100,000",1410,1542,1818,2409,87000,12193
75062,"$100,000 under $200,000",1510,4019,3983,4580,158280,27274
75062,"$200,000 or more",470,4215,2740,7338,201297,58442
,,,,,,,
75063,,18770,41083,38462,28975,1491424,301670
75063,"$1 under $25,000",3730,932,752,363,9770,822
75063,"$25,000 under $50,000",3370,1536,1490,1489,71817,8076
75063,"$50,000 under $75,000",3060,2590,2569,2069,131416,18023
75063,"$75,000 under $100,000",2340,3385,3385,2050,149659,21774
75063,"$100,000 under $200,000",4340,17560,17390,9797,475240,83387
75063,"$200,000 or more",1930,15080,12876,13207,653522,169588
,,,,,,,
75065,,5740,9123,10712,7162,268000,45823
75065,"$1 under $25,000",1750,417,372,142,5028,446
75065,"$25,000 under $50,000",1300,822,963,540,24630,2614
