Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Home mortgage interest paid ,Total charitable contributions,Taxable income,Income tax
,,,,,,,
,,-1,-69,-75,-85,-91,-133
75752,"$75,000 under $100,000",250,354,382,443,14743,1906
75752,"$100,000 under $200,000",300,811,843,839,30959,5114
75752,"$200,000 or more",90,670,574,1067,28055,6769
,,,,,,,
75754,,2460,1153,1832,2064,80965,13619
75754,"$1 under $25,000",980,76,151,102,2213,214
75754,"$25,000 under $50,000",640,131,211,246,10131,1006
75754,"$50,000 under $75,000",370,181,289,303,14261,1727
75754,"$75,000 under $100,000",210,221,362,384,12663,1616
75754,"$100,000 under $200,000",220,339,621,600,22951,3790
75754,"$200,000 or more",40,205,198,429,18746,5266
,,,,,,,
75755,,2070,719,1154,1565,57911,8537
75755,"$1 under $25,000",860,55,0,0,1707,162
75755,"$25,000 under $50,000",520,107,228,282,8785,856
75755,"$50,000 under $75,000",310,102,231,172,12004,1409
75755,"$75,000 under $100,000",210,139,272,355,12566,1568
75755,"$100,000 under $200,000",170,316,423,756,22849,4542
75755,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75756,,1710,855,1272,1413,51096,8246
75756,"$1 under $25,000",680,59,0,79,1568,149
75756,"$25,000 under $50,000",480,91,191,126,7859,798
75756,"$50,000 under $75,000",250,122,243,162,9039,1024
75756,"$75,000 under $100,000",130,144,230,301,7742,975
75756,"$100,000 under $200,000",140,294,608,434,13481,2124
75756,"$200,000 or more",30,145,0,311,11407,3176
,,,,,,,
75757,,5250,9646,10649,11836,297910,58508
75757,"$1 under $25,000",1700,363,406,217,3919,365
75757,"$25,000 under $50,000",1070,694,680,575,17736,1803
75757,"$50,000 under $75,000",700,949,1075,920,26930,3209
75757,"$75,000 under $100,000",550,1289,1611,1195,32194,4020
75757,"$100,000 under $200,000",920,3840,4551,3569,93609,15245
75757,"$200,000 or more",310,2511,2326,5360,123522,33866
,,,,,,,
75758,,4170,2695,3561,4398,142868,20625
75758,"$1 under $25,000",1590,164,209,166,3190,308
75758,"$25,000 under $50,000",1040,308,401,471,17648,1811
75758,"$50,000 under $75,000",610,430,663,681,23854,2900
75758,"$75,000 under $100,000",410,495,634,787,24552,3165
75758,"$100,000 under $200,000",440,871,1253,1501,44244,7235
75758,"$200,000 or more",80,427,401,792,29380,5206
,,,,,,,
75760,,980,162,306,538,26040,3448
75760,"$1 under $25,000",390,28,0,0,847,78
75760,"$25,000 under $50,000",280,0,164,0,4902,529
75760,"$50,000 under $75,000",150,72,0,276,5431,644
75760,"$75,000 under $100,000",70,0,0,0,4402,551
75760,"$100,000 under $200,000",90,62,142,262,10458,1646
75760,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75762,,6080,7575,9899,11077,296535,51207
75762,"$1 under $25,000",1810,362,423,280,4713,435
75762,"$25,000 under $50,000",1390,769,1038,845,24824,2504
75762,"$50,000 under $75,000",930,839,1393,1089,35961,4289
75762,"$75,000 under $100,000",690,1101,1620,1311,40784,5143
75762,"$100,000 under $200,000",1000,2703,3565,3661,102248,16708
75762,"$200,000 or more",260,1801,1860,3891,88005,22128
,,,,,,,
75763,,2500,1700,1835,2110,85846,13491
75763,"$1 under $25,000",980,57,0,59,2195,199
75763,"$25,000 under $50,000",650,185,310,262,11257,1166
75763,"$50,000 under $75,000",350,258,293,276,13319,1599
75763,"$75,000 under $100,000",210,228,315,323,12999,1640
75763,"$100,000 under $200,000",250,633,688,702,25367,4155
75763,"$200,000 or more",60,339,229,488,20709,4732
,,,,,,,
75765,,3120,2041,2891,3729,112526,17645
75765,"$1 under $25,000",1140,168,288,153,2166,208
75765,"$25,000 under $50,000",730,244,385,490,12052,1244
75765,"$50,000 under $75,000",510,293,441,459,19655,2438
75765,"$75,000 under $100,000",320,371,480,756,19945,2686
75765,"$100,000 under $200,000",340,654,955,1259,34887,5736
75765,"$200,000 or more",80,311,342,612,23821,5333
,,,,,,,
75766,,10660,4073,4976,7534,266665,41982
75766,"$1 under $25,000",5030,281,336,346,10763,965
75766,"$25,000 under $50,000",2910,483,584,934,44920,4314
75766,"$50,000 under $75,000",1280,560,881,976,47091,5252
75766,"$75,000 under $100,000",660,645,831,1058,39518,5076
75766,"$100,000 under $200,000",630,1266,1578,2063,64340,10591
75766,"$200,000 or more",150,838,766,2157,60033,15784
,,,,,,,
75770,,1140,902,1177,1386,46481,8462
75770,"$1 under $25,000",450,0,0,0,955,83
75770,"$25,000 under $50,000",280,145,230,221,4745,471
75770,"$50,000 under $75,000",140,69,0,122,5281,595
75770,"$75,000 under $100,000",90,93,155,136,5205,672
75770,"$100,000 under $200,000",140,380,578,503,14701,2459
75770,"$200,000 or more",40,215,214,404,15594,4182
,,,,,,,
75771,,8820,9009,11238,13414,381291,64992
75771,"$1 under $25,000",3020,392,412,404,6295,585
75771,"$25,000 under $50,000",1990,926,1149,1286,33692,3393
75771,"$50,000 under $75,000",1290,1154,1597,1713,48645,5565
75771,"$75,000 under $100,000",980,1482,1927,1914,57860,7214
75771,"$100,000 under $200,000",1230,3271,4495,4494,124362,20161
75771,"$200,000 or more",310,1784,1658,3603,110437,28074
,,,,,,,
75773,,5170,2427,3599,4608,163340,23251
75773,"$1 under $25,000",2180,192,239,249,4629,430
75773,"$25,000 under $50,000",1290,284,492,484,20759,2045
75773,"$50,000 under $75,000",710,338,521,703,26785,3156
75773,"$75,000 under $100,000",410,345,592,671,24236,3090
75773,"$100,000 under $200,000",490,823,1291,1406,48436,7792
75773,"$200,000 or more",90,445,464,1095,38495,6738
,,,,,,,
75778,,1300,464,796,1017,38135,6082
75778,"$1 under $25,000",550,0,0,0,1105,106
75778,"$25,000 under $50,000",330,90,171,221,5259,539
75778,"$50,000 under $75,000",180,80,100,69,7073,829
75778,"$75,000 under $100,000",110,56,126,157,6431,809
75778,"$100,000 under $200,000",100,238,399,570,10290,1774
75778,"$200,000 or more",30,0,0,0,7977,2025
,,,,,,,
75783,,3060,1424,2203,2623,99012,15690
75783,"$1 under $25,000",1230,106,154,128,2562,252
75783,"$25,000 under $50,000",750,181,323,338,12757,1334
75783,"$50,000 under $75,000",460,187,294,356,17702,2113
75783,"$75,000 under $100,000",270,223,334,361,16693,2124
75783,"$100,000 under $200,000",290,526,802,1065,29307,4797
75783,"$200,000 or more",60,201,296,375,19991,5070
,,,,,,,
75784,,320,0,0,0,7163,1027
75784,"$1 under $25,000",160,0,0,0,330,30
75784,"$25,000 under $50,000",80,0,0,0,1261,118
75784,"$50,000 under $75,000",40,0,0,0,1636,202
75784,"$75,000 under $100,000",40,0,0,0,3936,677
75784,"$100,000 under $200,000",0,0,0,0,0,0
75784,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75785,,3710,1079,1812,2747,111900,17470
75785,"$1 under $25,000",1550,64,88,123,3286,298
75785,"$25,000 under $50,000",1020,162,356,370,16981,1719
75785,"$50,000 under $75,000",530,120,295,435,19874,2261
75785,"$75,000 under $100,000",280,187,280,346,17017,2145
75785,"$100,000 under $200,000",300,422,793,1473,29766,4742
75785,"$200,000 or more",30,124,0,0,24976,6305
,,,,,,,
75789,,3250,1934,3043,3835,118241,20119
75789,"$1 under $25,000",1220,136,161,92,2571,247
75789,"$25,000 under $50,000",810,252,377,379,12573,1245
75789,"$50,000 under $75,000",480,310,511,566,18027,2041
75789,"$75,000 under $100,000",310,271,499,554,18194,2303
75789,"$100,000 under $200,000",350,668,1140,1238,36651,6062
75789,"$200,000 or more",80,297,355,1006,30225,8221
,,,,,,,
75790,,2050,1247,1621,1833,59039,8399
75790,"$1 under $25,000",830,73,0,112,1539,155
75790,"$25,000 under $50,000",480,123,256,182,7755,757
75790,"$50,000 under $75,000",320,247,317,236,11949,1302
75790,"$75,000 under $100,000",200,258,411,501,11570,1433
75790,"$100,000 under $200,000",190,390,637,596,18918,3071
75790,"$200,000 or more",30,156,0,206,7308,1681
,,,,,,,
75791,,5800,5473,7128,9346,250215,42332
75791,"$1 under $25,000",1960,239,249,215,4630,436
75791,"$25,000 under $50,000",1300,509,746,649,21967,2124
75791,"$50,000 under $75,000",880,752,1022,1024,33281,3677
75791,"$75,000 under $100,000",620,717,1095,996,36929,4634
75791,"$100,000 under $200,000",860,1970,2781,3170,85396,13669
75791,"$200,000 or more",180,1286,1235,3292,68012,17792
,,,,,,,
75792,,1450,442,716,1040,37892,5340
75792,"$1 under $25,000",600,0,0,0,1260,116
75792,"$25,000 under $50,000",400,77,219,230,6830,670
75792,"$50,000 under $75,000",210,89,165,218,8068,984
75792,"$75,000 under $100,000",130,101,129,190,7888,1025
75792,"$100,000 under $200,000",110,175,203,402,13846,2545
75792,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75801,,6800,2574,3197,4900,172004,25842
75801,"$1 under $25,000",2900,149,245,215,5752,510
75801,"$25,000 under $50,000",2050,362,465,684,32399,3131
75801,"$50,000 under $75,000",870,464,572,878,32242,3743
75801,"$75,000 under $100,000",460,365,533,863,27478,3631
75801,"$100,000 under $200,000",420,748,873,1291,42369,6979
75801,"$200,000 or more",100,486,509,969,31764,7848
,,,,,,,
75803,,6120,2496,3480,4402,164528,23703
75803,"$1 under $25,000",2480,185,224,160,5000,453
75803,"$25,000 under $50,000",1750,326,489,659,28349,2749
75803,"$50,000 under $75,000",860,457,718,891,31928,3637
75803,"$75,000 under $100,000",500,327,507,656,29933,3820
75803,"$100,000 under $200,000",450,716,1184,1309,43798,7062
75803,"$200,000 or more",80,485,358,727,25520,5982
,,,,,,,
75831,,2000,656,1037,1438,64258,9096
75831,"$1 under $25,000",790,0,0,0,1523,139
75831,"$25,000 under $50,000",480,125,173,299,7156,685
75831,"$50,000 under $75,000",300,116,193,222,10976,1281
75831,"$75,000 under $100,000",190,111,185,317,11622,1528
75831,"$100,000 under $200,000",210,304,486,600,21178,3443
75831,"$200,000 or more",30,0,0,0,11803,2020
,,,,,,,
75833,,1420,677,1261,1467,49931,7643
75833,"$1 under $25,000",540,0,0,0,1233,116
75833,"$25,000 under $50,000",330,117,201,204,5298,533
75833,"$50,000 under $75,000",210,79,166,230,8151,977
75833,"$75,000 under $100,000",130,91,188,219,7982,1031
75833,"$100,000 under $200,000",170,277,706,511,17025,2734
75833,"$200,000 or more",40,113,0,303,10242,2252
,,,,,,,
75835,,4450,1577,1709,3010,101801,14531
75835,"$1 under $25,000",2150,165,217,176,3786,338
75835,"$25,000 under $50,000",1180,219,274,417,19371,1882
75835,"$50,000 under $75,000",550,251,243,466,21437,2587
75835,"$75,000 under $100,000",250,191,208,434,15190,2008
75835,"$100,000 under $200,000",260,436,513,692,26505,4206
75835,"$200,000 or more",60,315,254,825,15512,3510
,,,,,,,
75838,,270,97,137,123,8653,1184
75838,"$1 under $25,000",90,0,0,0,227,23
75838,"$25,000 under $50,000",50,0,137,0,766,81
75838,"$50,000 under $75,000",50,97,0,0,1975,228
75838,"$75,000 under $100,000",40,0,0,123,2177,300
75838,"$100,000 under $200,000",40,0,0,0,3508,552
75838,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75839,,2180,782,1166,1210,59100,8108
75839,"$1 under $25,000",860,0,0,52,1684,153
75839,"$25,000 under $50,000",580,157,205,221,9152,902
75839,"$50,000 under $75,000",340,175,220,203,12680,1421
75839,"$75,000 under $100,000",210,173,305,274,12432,1562
75839,"$100,000 under $200,000",170,277,436,460,17116,2810
75839,"$200,000 or more",20,0,0,0,6036,1260
,,,,,,,
75840,,3160,1660,2305,3057,116395,18906
75840,"$1 under $25,000",1160,52,0,82,2303,211
75840,"$25,000 under $50,000",790,210,314,418,13273,1342
75840,"$50,000 under $75,000",440,229,348,394,16466,1912
75840,"$75,000 under $100,000",300,295,512,488,17835,2233
75840,"$100,000 under $200,000",390,531,875,959,40099,6628
75840,"$200,000 or more",80,343,256,716,26419,6580
,,,,,,,
75844,,2090,774,992,2101,65093,10042
75844,"$1 under $25,000",840,59,0,95,1697,155
75844,"$25,000 under $50,000",520,93,215,196,8648,844
75844,"$50,000 under $75,000",310,118,158,282,11929,1391
75844,"$75,000 under $100,000",190,138,187,284,11249,1502
75844,"$100,000 under $200,000",180,187,432,581,17986,2896
75844,"$200,000 or more",50,179,0,663,13584,3254
,,,,,,,
75845,,1090,227,420,632,26970,3511
75845,"$1 under $25,000",470,0,0,0,970,90
75845,"$25,000 under $50,000",280,73,0,138,4678,469
75845,"$50,000 under $75,000",160,0,251,154,6044,704
75845,"$75,000 under $100,000",100,54,0,112,5797,721
75845,"$100,000 under $200,000",80,100,169,228,9481,1527
75845,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75846,,990,278,347,705,31203,4989
75846,"$1 under $25,000",400,40,0,88,757,73
75846,"$25,000 under $50,000",260,0,0,0,4024,393
75846,"$50,000 under $75,000",130,74,192,169,4972,588
75846,"$75,000 under $100,000",80,0,0,0,4797,647
75846,"$100,000 under $200,000",120,164,155,448,16653,3288
75846,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75847,,630,156,213,302,17083,2286
75847,"$1 under $25,000",250,0,0,0,511,50
75847,"$25,000 under $50,000",180,0,0,0,3091,299
75847,"$50,000 under $75,000",80,83,0,188,3141,394
75847,"$75,000 under $100,000",60,0,213,0,3490,453
75847,"$100,000 under $200,000",60,73,0,114,6850,1090
75847,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75850,,200,66,0,95,5823,854
75850,"$1 under $25,000",80,66,0,0,140,12
75850,"$25,000 under $50,000",50,0,0,0,902,95
75850,"$50,000 under $75,000",40,0,0,95,1739,196
75850,"$75,000 under $100,000",0,0,0,0,0,0
75850,"$100,000 under $200,000",30,0,0,0,3042,551
75850,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75851,,980,390,528,738,32424,5193
75851,"$1 under $25,000",370,0,0,60,787,70
75851,"$25,000 under $50,000",270,85,0,112,4419,436
75851,"$50,000 under $75,000",130,70,258,156,5165,608
75851,"$75,000 under $100,000",90,71,0,131,5657,723
75851,"$100,000 under $200,000",120,164,270,279,16396,3356
75851,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75852,,720,272,467,506,17851,2616
75852,"$1 under $25,000",320,69,0,181,634,56
75852,"$25,000 under $50,000",200,0,0,0,3310,338
75852,"$50,000 under $75,000",100,109,237,201,3667,417
75852,"$75,000 under $100,000",40,0,230,0,2563,320
75852,"$100,000 under $200,000",60,94,0,124,7677,1485
75852,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75853,,450,197,321,484,16135,2503
75853,"$1 under $25,000",160,0,0,0,393,34
75853,"$25,000 under $50,000",110,0,0,0,1954,204
75853,"$50,000 under $75,000",80,78,0,192,2806,318
75853,"$75,000 under $100,000",40,0,0,0,2149,281
75853,"$100,000 under $200,000",60,119,321,292,8833,1666
75853,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75855,,950,280,486,665,24848,3535
75855,"$1 under $25,000",410,0,115,0,788,71
75855,"$25,000 under $50,000",260,84,0,225,4285,456
75855,"$50,000 under $75,000",120,65,179,168,4379,523
75855,"$75,000 under $100,000",60,0,0,0,3921,505
75855,"$100,000 under $200,000",100,131,192,272,11475,1980
75855,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75856,,110,0,0,0,2460,325
75856,"$1 under $25,000",50,0,0,0,0,0
75856,"$25,000 under $50,000",30,0,0,0,560,63
75856,"$50,000 under $75,000",30,0,0,0,1900,262
75856,"$75,000 under $100,000",0,0,0,0,0,0
75856,"$100,000 under $200,000",0,0,0,0,0,0
75856,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75859,,850,1362,1340,1238,48387,9608
75859,"$1 under $25,000",300,0,0,0,660,62
75859,"$25,000 under $50,000",170,101,171,108,2681,271
75859,"$50,000 under $75,000",120,118,170,152,4458,571
75859,"$75,000 under $100,000",80,110,154,96,5258,721
75859,"$100,000 under $200,000",120,427,518,350,12395,2082
75859,"$200,000 or more",60,606,327,532,22935,5901
,,,,,,,
75860,,2290,899,1109,1107,66404,9795
75860,"$1 under $25,000",970,66,174,67,1927,179
75860,"$25,000 under $50,000",540,116,0,221,8410,829
75860,"$50,000 under $75,000",300,190,186,167,11408,1323
75860,"$75,000 under $100,000",210,93,190,130,13226,1783
75860,"$100,000 under $200,000",240,434,559,522,24319,4017
75860,"$200,000 or more",30,0,0,0,7114,1664
,,,,,,,
75861,,730,139,260,308,19114,2595
75861,"$1 under $25,000",280,0,0,0,730,66
75861,"$25,000 under $50,000",240,48,0,100,4341,447
75861,"$50,000 under $75,000",90,0,0,0,3695,453
75861,"$75,000 under $100,000",70,91,260,208,4349,563
75861,"$100,000 under $200,000",50,0,0,0,5999,1066
75861,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75862,,3960,1601,1904,1995,98977,15107
75862,"$1 under $25,000",1810,157,103,124,3173,293
75862,"$25,000 under $50,000",1060,256,267,412,17358,1771
75862,"$50,000 under $75,000",490,208,308,440,18519,2208
75862,"$75,000 under $100,000",290,323,364,397,17637,2391
75862,"$100,000 under $200,000",260,454,645,460,25640,4230
75862,"$200,000 or more",50,203,217,162,16650,4214
,,,,,,,
75901,,11530,6038,6321,10777,369814,66717
75901,"$1 under $25,000",5280,277,260,361,11404,999
75901,"$25,000 under $50,000",3050,558,791,915,49419,4818
75901,"$50,000 under $75,000",1400,786,1033,1356,53318,6346
75901,"$75,000 under $100,000",740,781,933,1411,45055,5995
75901,"$100,000 under $200,000",800,1699,1886,3102,81094,13288
75901,"$200,000 or more",260,1937,1418,3632,129524,35271
,,,,,,,
75904,,13810,7405,8782,14355,437771,72978
75904,"$1 under $25,000",6210,270,325,387,13778,1234
75904,"$25,000 under $50,000",3520,782,849,1421,57960,5668
75904,"$50,000 under $75,000",1600,932,1298,1392,61604,7265
75904,"$75,000 under $100,000",1030,1043,1426,1669,62061,7934
75904,"$100,000 under $200,000",1150,2553,3313,4378,115494,18595
75904,"$200,000 or more",300,1825,1571,5108,126874,32282
,,,,,,,
75925,,1450,385,641,1151,38052,6165
75925,"$1 under $25,000",650,0,0,0,1280,113
75925,"$25,000 under $50,000",410,64,103,155,5733,520
75925,"$50,000 under $75,000",180,79,132,229,6541,744
75925,"$75,000 under $100,000",90,55,113,182,5411,665
75925,"$100,000 under $200,000",120,187,293,585,19087,4123
75925,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75926,,430,54,131,157,11949,1604
75926,"$1 under $25,000",170,0,0,0,326,32
75926,"$25,000 under $50,000",100,0,0,0,1825,194
75926,"$50,000 under $75,000",80,0,131,157,2968,327
75926,"$75,000 under $100,000",30,54,0,0,1908,261
75926,"$100,000 under $200,000",50,0,0,0,4922,790
75926,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75928,,440,68,111,418,7549,956
75928,"$1 under $25,000",220,0,0,0,372,33
75928,"$25,000 under $50,000",90,39,0,146,1124,105
75928,"$50,000 under $75,000",60,0,111,0,1887,206
75928,"$75,000 under $100,000",40,29,0,272,1791,214
75928,"$100,000 under $200,000",30,0,0,0,2375,398
75928,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75929,,550,104,241,445,16887,2435
75929,"$1 under $25,000",230,30,0,0,387,35
75929,"$25,000 under $50,000",130,0,108,212,2096,225
75929,"$50,000 under $75,000",70,37,0,0,2607,311
75929,"$75,000 under $100,000",50,0,0,0,3126,406
75929,"$100,000 under $200,000",70,37,133,233,8671,1458
75929,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75930,,590,54,203,165,15934,2209
75930,"$1 under $25,000",240,0,0,0,473,46
75930,"$25,000 under $50,000",140,0,0,0,2332,241
75930,"$50,000 under $75,000",90,0,0,0,3571,424
75930,"$75,000 under $100,000",60,54,203,165,3570,494
75930,"$100,000 under $200,000",60,0,0,0,5988,1004
75930,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75931,,910,684,819,891,33986,5166
75931,"$1 under $25,000",330,0,0,0,604,58
75931,"$25,000 under $50,000",200,106,0,81,3105,321
75931,"$50,000 under $75,000",130,81,261,181,4844,596
75931,"$75,000 under $100,000",90,63,0,0,5518,731
75931,"$100,000 under $200,000",130,235,558,330,13111,2074
75931,"$200,000 or more",30,199,0,299,6804,1386
,,,,,,,
75932,,520,210,292,443,17047,2331
75932,"$1 under $25,000",190,40,0,87,274,28
75932,"$25,000 under $50,000",130,0,159,0,2082,214
75932,"$50,000 under $75,000",80,62,0,157,2974,341
75932,"$75,000 under $100,000",50,0,0,0,3242,443
75932,"$100,000 under $200,000",70,108,133,199,8475,1305
75932,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75933,,590,111,162,391,17124,2341
75933,"$1 under $25,000",220,0,0,0,432,43
75933,"$25,000 under $50,000",140,53,0,182,2194,212
75933,"$50,000 under $75,000",100,0,0,0,3678,427
75933,"$75,000 under $100,000",50,0,0,209,3180,436
75933,"$100,000 under $200,000",80,58,162,0,7640,1223
75933,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75935,,5370,1309,2223,4618,133571,20365
75935,"$1 under $25,000",2430,125,105,240,4754,415
75935,"$25,000 under $50,000",1610,159,330,659,24258,2217
75935,"$50,000 under $75,000",640,173,462,750,22839,2566
75935,"$75,000 under $100,000",320,195,393,580,18434,2301
75935,"$100,000 under $200,000",280,306,682,1290,29123,4808
75935,"$200,000 or more",90,351,251,1099,34163,8058
,,,,,,,
75936,,360,83,165,159,11393,1563
75936,"$1 under $25,000",130,0,0,0,311,28
75936,"$25,000 under $50,000",80,0,165,0,1348,134
75936,"$50,000 under $75,000",60,0,0,0,2351,284
75936,"$75,000 under $100,000",40,83,0,159,2331,290
75936,"$100,000 under $200,000",50,0,0,0,5052,827
75936,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75937,,500,78,134,137,12377,1609
75937,"$1 under $25,000",200,0,0,0,431,35
75937,"$25,000 under $50,000",140,0,0,0,2539,274
75937,"$50,000 under $75,000",70,0,134,137,2729,326
75937,"$75,000 under $100,000",50,78,0,0,2842,350
75937,"$100,000 under $200,000",40,0,0,0,3836,624
75937,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75938,,950,261,404,603,27949,4023
75938,"$1 under $25,000",400,0,0,0,606,55
75938,"$25,000 under $50,000",220,78,0,148,3813,386
75938,"$50,000 under $75,000",140,0,140,161,5591,674
75938,"$75,000 under $100,000",80,36,0,0,4914,623
75938,"$100,000 under $200,000",110,147,264,294,13025,2285
75938,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75939,,1550,233,340,537,37788,5340
75939,"$1 under $25,000",690,30,0,0,1323,119
75939,"$25,000 under $50,000",430,0,0,187,7085,681
75939,"$50,000 under $75,000",190,64,223,0,7210,842
75939,"$75,000 under $100,000",130,56,0,104,7859,999
75939,"$100,000 under $200,000",110,83,117,246,14311,2699
75939,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75941,,3240,884,1242,1942,79553,10707
75941,"$1 under $25,000",1470,0,0,73,3016,267
75941,"$25,000 under $50,000",810,122,163,218,13506,1317
75941,"$50,000 under $75,000",420,177,193,248,15909,1812
75941,"$75,000 under $100,000",250,139,262,368,14932,1871
75941,"$100,000 under $200,000",270,446,624,1035,25987,4097
75941,"$200,000 or more",20,0,0,0,6203,1343
,,,,,,,
75943,,600,219,319,493,18794,2529
75943,"$1 under $25,000",240,0,0,0,449,43
75943,"$25,000 under $50,000",150,0,0,0,2459,246
75943,"$50,000 under $75,000",80,75,148,161,3250,364
75943,"$75,000 under $100,000",50,0,0,0,2900,340
75943,"$100,000 under $200,000",80,144,171,332,9736,1536
75943,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75944,,530,93,192,268,15984,2410
75944,"$1 under $25,000",200,0,0,65,393,39
75944,"$25,000 under $50,000",130,0,0,0,2353,251
75944,"$50,000 under $75,000",90,49,0,0,3560,460
75944,"$75,000 under $100,000",50,0,192,203,2855,386
75944,"$100,000 under $200,000",60,44,0,0,6823,1274
75944,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75946,,1320,270,592,830,36074,5300
75946,"$1 under $25,000",570,0,0,0,892,78
75946,"$25,000 under $50,000",330,56,214,99,5404,516
75946,"$50,000 under $75,000",170,42,0,173,6621,768
75946,"$75,000 under $100,000",120,49,127,144,6850,806
75946,"$100,000 under $200,000",130,123,251,414,16307,3132
75946,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75948,,2330,935,1557,1481,86587,15214
75948,"$1 under $25,000",950,64,0,64,1591,157
75948,"$25,000 under $50,000",500,98,290,216,8356,900
75948,"$50,000 under $75,000",320,114,238,168,11825,1484
75948,"$75,000 under $100,000",240,144,224,234,14473,1966
75948,"$100,000 under $200,000",250,308,539,560,25163,4230
75948,"$200,000 or more",70,207,266,239,25179,6477
,,,,,,,
75949,,3130,1063,1628,1944,88831,12457
75949,"$1 under $25,000",1280,71,87,56,2549,247
75949,"$25,000 under $50,000",780,118,207,288,12563,1226
75949,"$50,000 under $75,000",470,141,209,215,17820,2039
75949,"$75,000 under $100,000",260,147,281,343,15473,1941
75949,"$100,000 under $200,000",300,431,844,1042,29360,4723
75949,"$200,000 or more",40,155,0,0,11066,2281
,,,,,,,
75951,,6120,2273,2989,5417,163293,25424
75951,"$1 under $25,000",2790,117,159,291,5335,485
75951,"$25,000 under $50,000",1580,275,448,818,25553,2508
75951,"$50,000 under $75,000",720,363,492,884,27218,3279
75951,"$75,000 under $100,000",440,320,456,748,26023,3468
75951,"$100,000 under $200,000",490,697,891,1460,47481,7799
75951,"$200,000 or more",100,501,543,1216,31683,7885
,,,,,,,
75954,,1250,297,672,1518,38223,5951
75954,"$1 under $25,000",520,0,0,156,972,93
75954,"$25,000 under $50,000",290,0,0,0,4613,449
75954,"$50,000 under $75,000",190,84,224,401,6955,794
75954,"$75,000 under $100,000",100,40,128,151,5773,699
75954,"$100,000 under $200,000",130,173,320,810,12539,2023
75954,"$200,000 or more",20,0,0,0,7371,1893
,,,,,,,
75956,,2790,943,1488,2191,83802,12584
75956,"$1 under $25,000",1070,0,0,0,1916,179
75956,"$25,000 under $50,000",690,139,191,428,10776,1048
75956,"$50,000 under $75,000",410,172,272,322,15220,1841
75956,"$75,000 under $100,000",270,132,230,397,15903,2076
75956,"$100,000 under $200,000",320,378,795,1044,31254,5112
75956,"$200,000 or more",30,122,0,0,8733,2328
,,,,,,,
75959,,340,131,202,230,11199,1746
75959,"$1 under $25,000",140,0,0,0,183,18
75959,"$25,000 under $50,000",70,43,0,121,1138,120
75959,"$50,000 under $75,000",40,0,0,0,1603,190
75959,"$75,000 under $100,000",40,0,202,0,2142,307
75959,"$100,000 under $200,000",50,88,0,109,6133,1111
75959,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75960,,350,71,112,63,8665,1172
75960,"$1 under $25,000",140,0,0,0,332,33
75960,"$25,000 under $50,000",100,0,0,0,1756,179
75960,"$50,000 under $75,000",60,71,112,63,2065,240
75960,"$75,000 under $100,000",20,0,0,0,1519,200
75960,"$100,000 under $200,000",30,0,0,0,2993,520
75960,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75961,,5620,1408,1898,4087,131378,22469
75961,"$1 under $25,000",2870,68,0,117,6206,540
75961,"$25,000 under $50,000",1380,188,350,466,22917,2279
75961,"$50,000 under $75,000",600,257,406,462,22972,2679
75961,"$75,000 under $100,000",360,183,256,481,21632,2776
75961,"$100,000 under $200,000",330,398,613,1157,32923,5320
75961,"$200,000 or more",80,314,273,1404,24728,8875
,,,,,,,
75964,,7270,1857,3117,4223,153421,21322
75964,"$1 under $25,000",3470,99,116,150,6927,605
75964,"$25,000 under $50,000",2070,223,410,464,31342,2946
75964,"$50,000 under $75,000",850,314,486,850,31388,3589
75964,"$75,000 under $100,000",410,270,461,530,25016,3168
75964,"$100,000 under $200,000",400,609,1212,1551,39116,6286
