Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75631,"$100,000 under $200,000",180,267,554,610,20576,3769
75631,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75633,,6240,2733,5424,8017,232751,37520
75633,"$1 under $25,000",2380,107,186,208,5417,487
75633,"$25,000 under $50,000",1420,270,632,768,25800,2569
75633,"$50,000 under $75,000",890,345,764,870,34869,4232
75633,"$75,000 under $100,000",640,442,984,1272,38766,5103
75633,"$100,000 under $200,000",760,992,2125,2785,78431,13240
75633,"$200,000 or more",150,577,733,2114,49468,11889
,,,,,,,
75638,,2330,564,923,1624,69029,12075
75638,"$1 under $25,000",1110,0,0,0,2660,226
75638,"$25,000 under $50,000",580,118,224,286,10092,981
75638,"$50,000 under $75,000",290,83,147,295,11732,1419
75638,"$75,000 under $100,000",200,98,223,236,12700,1717
75638,"$100,000 under $200,000",120,265,329,405,12224,2053
75638,"$200,000 or more",30,0,0,402,19621,5679
,,,,,,,
75639,,1160,315,829,1171,37074,5155
75639,"$1 under $25,000",440,0,0,0,1130,95
75639,"$25,000 under $50,000",310,62,158,202,5353,524
75639,"$50,000 under $75,000",180,41,134,191,7347,877
75639,"$75,000 under $100,000",110,77,199,142,7161,990
75639,"$100,000 under $200,000",120,135,338,636,16083,2669
75639,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75640,,1970,951,2435,1769,68166,10101
75640,"$1 under $25,000",730,42,0,74,1791,159
75640,"$25,000 under $50,000",430,129,331,207,8093,810
75640,"$50,000 under $75,000",310,169,387,300,12403,1486
75640,"$75,000 under $100,000",220,174,565,256,13826,1825
75640,"$100,000 under $200,000",250,437,1152,932,24487,4031
75640,"$200,000 or more",30,0,0,0,7566,1790
,,,,,,,
75643,,790,197,587,479,27965,3882
75643,"$1 under $25,000",290,0,0,0,495,39
75643,"$25,000 under $50,000",180,42,0,0,3250,340
75643,"$50,000 under $75,000",120,0,252,146,4717,539
75643,"$75,000 under $100,000",80,44,0,0,4683,617
75643,"$100,000 under $200,000",120,111,335,333,14820,2347
75643,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75644,,4820,1992,3761,3975,140551,21884
75644,"$1 under $25,000",2110,155,305,177,4720,446
75644,"$25,000 under $50,000",1170,275,546,546,20440,2048
75644,"$50,000 under $75,000",710,366,668,634,27928,3294
75644,"$75,000 under $100,000",380,304,725,477,23409,2972
75644,"$100,000 under $200,000",400,680,1310,1621,39793,6555
75644,"$200,000 or more",50,212,207,520,24261,6569
,,,,,,,
75645,,3770,1986,4068,3324,121335,17834
75645,"$1 under $25,000",1490,110,192,173,3020,277
75645,"$25,000 under $50,000",880,254,498,392,16086,1652
75645,"$50,000 under $75,000",560,342,705,610,22168,2654
75645,"$75,000 under $100,000",410,434,917,687,25316,3305
75645,"$100,000 under $200,000",380,686,1503,1145,37871,6276
75645,"$200,000 or more",50,160,253,317,16874,3670
,,,,,,,
75647,,5460,2459,4791,4725,180829,30474
75647,"$1 under $25,000",2270,132,202,206,4914,444
75647,"$25,000 under $50,000",1330,313,729,559,23722,2438
75647,"$50,000 under $75,000",770,365,802,736,30879,3738
75647,"$75,000 under $100,000",540,455,956,757,32923,4269
75647,"$100,000 under $200,000",460,785,1569,1199,46691,7870
75647,"$200,000 or more",90,409,533,1268,41700,11715
,,,,,,,
75650,,3900,2854,6051,5262,165535,27519
75650,"$1 under $25,000",1360,75,180,77,3467,310
75650,"$25,000 under $50,000",870,241,479,448,15951,1579
75650,"$50,000 under $75,000",600,366,922,668,23416,2711
75650,"$75,000 under $100,000",420,468,1043,775,24928,3117
75650,"$100,000 under $200,000",530,1120,2343,1988,54497,9202
75650,"$200,000 or more",120,584,1084,1306,43276,10600
,,,,,,,
75651,,910,342,838,678,28804,4046
75651,"$1 under $25,000",350,0,0,137,696,67
75651,"$25,000 under $50,000",200,47,0,0,3647,366
75651,"$50,000 under $75,000",150,54,193,111,6033,700
75651,"$75,000 under $100,000",110,72,245,154,6890,874
75651,"$100,000 under $200,000",100,169,400,276,11538,2039
75651,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75652,,5040,1846,3768,4567,163138,25767
75652,"$1 under $25,000",2070,68,0,173,4927,438
75652,"$25,000 under $50,000",1290,185,528,452,22216,2179
75652,"$50,000 under $75,000",720,290,586,615,28370,3371
75652,"$75,000 under $100,000",420,297,683,819,25966,3398
75652,"$100,000 under $200,000",440,631,1532,1400,45185,7573
75652,"$200,000 or more",100,375,439,1108,36474,8808
,,,,,,,
75654,,4730,1883,3394,4520,148059,23410
75654,"$1 under $25,000",1860,104,174,156,3734,316
75654,"$25,000 under $50,000",1300,284,548,599,21211,1950
75654,"$50,000 under $75,000",690,300,575,713,26083,2916
75654,"$75,000 under $100,000",410,329,732,815,25003,3294
75654,"$100,000 under $200,000",390,622,1105,1383,39715,6653
75654,"$200,000 or more",80,244,260,854,32313,8281
,,,,,,,
75656,,1950,411,1056,1095,50700,6988
75656,"$1 under $25,000",840,0,0,0,1853,178
75656,"$25,000 under $50,000",500,150,231,245,9143,861
75656,"$50,000 under $75,000",290,54,144,182,11720,1371
75656,"$75,000 under $100,000",180,78,257,245,10904,1377
75656,"$100,000 under $200,000",140,129,424,423,17080,3201
75656,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75657,,3390,1087,2094,2333,85268,12789
75657,"$1 under $25,000",1630,87,147,127,3277,313
75657,"$25,000 under $50,000",820,186,355,398,14446,1491
75657,"$50,000 under $75,000",430,176,428,430,16905,2102
75657,"$75,000 under $100,000",260,181,406,339,16103,2174
75657,"$100,000 under $200,000",210,259,504,470,21505,3765
75657,"$200,000 or more",40,198,254,569,13032,2944
,,,,,,,
75661,,1040,306,746,762,29271,4865
75661,"$1 under $25,000",490,0,0,0,1012,92
75661,"$25,000 under $50,000",270,50,182,137,4961,503
75661,"$50,000 under $75,000",130,84,250,275,4956,586
75661,"$75,000 under $100,000",60,0,0,0,3688,519
75661,"$100,000 under $200,000",70,172,314,350,7433,1312
75661,"$200,000 or more",20,0,0,0,7221,1853
,,,,,,,
75662,,10000,3803,8487,8258,328384,52182
75662,"$1 under $25,000",3920,214,459,313,8849,778
75662,"$25,000 under $50,000",2530,445,1042,893,44005,4278
75662,"$50,000 under $75,000",1570,633,1656,1181,60639,7201
75662,"$75,000 under $100,000",910,668,1464,1347,55926,7330
75662,"$100,000 under $200,000",900,1329,2969,2756,92366,15655
75662,"$200,000 or more",170,514,897,1768,66599,16940
,,,,,,,
75667,,470,74,142,260,12170,1725
75667,"$1 under $25,000",200,30,0,0,392,34
75667,"$25,000 under $50,000",130,0,0,0,2197,212
75667,"$50,000 under $75,000",60,0,142,0,2466,311
75667,"$75,000 under $100,000",40,44,0,260,2243,308
75667,"$100,000 under $200,000",40,0,0,0,4872,860
75667,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75668,,850,167,261,530,18659,2515
75668,"$1 under $25,000",430,36,0,0,765,63
75668,"$25,000 under $50,000",200,0,137,0,3400,327
75668,"$50,000 under $75,000",110,66,0,310,4518,569
75668,"$75,000 under $100,000",50,0,124,0,2961,408
75668,"$100,000 under $200,000",60,65,0,220,7015,1148
75668,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75669,,240,76,202,142,8083,1146
75669,"$1 under $25,000",90,0,0,0,267,26
75669,"$25,000 under $50,000",50,0,0,0,1076,124
75669,"$50,000 under $75,000",40,0,202,142,1717,217
75669,"$75,000 under $100,000",30,76,0,0,1797,242
75669,"$100,000 under $200,000",30,0,0,0,3226,537
75669,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75670,,6720,1096,2467,4056,122284,16948
75670,"$1 under $25,000",3740,79,168,230,7609,631
75670,"$25,000 under $50,000",1710,183,482,596,25990,2411
75670,"$50,000 under $75,000",640,188,470,816,24607,2899
75670,"$75,000 under $100,000",320,192,520,599,19042,2546
75670,"$100,000 under $200,000",260,272,619,942,25053,4233
75670,"$200,000 or more",50,182,208,873,19983,4228
,,,,,,,
75672,,6830,3188,6602,8340,250944,40711
75672,"$1 under $25,000",2600,169,281,275,6225,541
75672,"$25,000 under $50,000",1690,460,966,995,30152,2990
75672,"$50,000 under $75,000",1020,534,1180,1412,40196,4837
75672,"$75,000 under $100,000",670,507,1220,1168,41874,5555
75672,"$100,000 under $200,000",680,971,2124,2335,70421,11969
75672,"$200,000 or more",170,547,831,2155,62076,14819
,,,,,,,
75681,,1050,252,609,843,28691,3845
75681,"$1 under $25,000",450,0,0,0,816,73
75681,"$25,000 under $50,000",290,48,220,176,4921,478
75681,"$50,000 under $75,000",130,28,0,126,5061,618
75681,"$75,000 under $100,000",90,56,177,187,5734,739
75681,"$100,000 under $200,000",90,120,212,354,12159,1937
75681,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75683,,1500,420,730,873,39036,5417
75683,"$1 under $25,000",630,0,0,0,1334,122
75683,"$25,000 under $50,000",390,74,173,154,6811,663
75683,"$50,000 under $75,000",220,79,137,143,8520,1005
75683,"$75,000 under $100,000",150,86,200,187,9029,1182
75683,"$100,000 under $200,000",110,181,220,389,13342,2445
75683,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75684,,2360,645,1328,1630,70048,10596
75684,"$1 under $25,000",980,53,72,70,2088,186
75684,"$25,000 under $50,000",630,89,238,220,10423,988
75684,"$50,000 under $75,000",350,94,204,214,13343,1525
75684,"$75,000 under $100,000",190,109,309,345,11103,1369
75684,"$100,000 under $200,000",180,300,505,781,18886,3102
75684,"$200,000 or more",30,0,0,0,14205,3426
,,,,,,,
75686,,5250,2013,3837,4340,160834,22404
75686,"$1 under $25,000",2430,168,239,174,5404,485
75686,"$25,000 under $50,000",1370,277,575,490,22159,2120
75686,"$50,000 under $75,000",670,333,741,605,26260,3124
75686,"$75,000 under $100,000",380,328,715,585,23180,2970
75686,"$100,000 under $200,000",320,575,993,1014,32774,5552
75686,"$200,000 or more",80,332,574,1472,51057,8153
,,,,,,,
75691,,1850,626,1907,1812,59814,8715
75691,"$1 under $25,000",710,29,0,85,1662,137
75691,"$25,000 under $50,000",450,50,212,256,7971,741
75691,"$50,000 under $75,000",280,126,378,397,11088,1281
75691,"$75,000 under $100,000",190,103,327,286,11638,1498
75691,"$100,000 under $200,000",190,318,990,788,19383,3193
75691,"$200,000 or more",30,0,0,0,8072,1865
,,,,,,,
75692,,2220,710,1975,1987,66330,9639
75692,"$1 under $25,000",840,46,0,94,1768,164
75692,"$25,000 under $50,000",580,121,429,254,10276,1070
75692,"$50,000 under $75,000",340,105,315,243,13435,1675
75692,"$75,000 under $100,000",230,149,476,341,14060,1889
75692,"$100,000 under $200,000",200,215,755,1055,19869,3304
75692,"$200,000 or more",30,74,0,0,6922,1537
,,,,,,,
75693,,2880,1948,3547,3300,116984,19374
75693,"$1 under $25,000",1000,77,0,71,2306,210
75693,"$25,000 under $50,000",680,195,470,286,12801,1292
75693,"$50,000 under $75,000",440,274,606,555,17058,1977
75693,"$75,000 under $100,000",300,314,679,405,18044,2214
75693,"$100,000 under $200,000",380,747,1350,1206,37815,6178
75693,"$200,000 or more",80,341,442,777,28960,7503
,,,,,,,
75701,,14320,10134,13147,29763,558210,104677
75701,"$1 under $25,000",6590,523,772,621,16459,1394
75701,"$25,000 under $50,000",3650,1150,1793,1671,66613,6726
75701,"$50,000 under $75,000",1740,1171,2182,2091,69322,8587
75701,"$75,000 under $100,000",910,1074,1768,2437,55972,7511
75701,"$100,000 under $200,000",970,2385,3515,4529,101364,17343
75701,"$200,000 or more",460,3831,3117,18414,248480,63116
,,,,,,,
75702,,10400,1360,2750,4208,135005,19353
75702,"$1 under $25,000",6480,112,297,300,12536,993
75702,"$25,000 under $50,000",2840,341,942,929,42733,3858
75702,"$50,000 under $75,000",700,256,538,908,26108,3041
75702,"$75,000 under $100,000",210,139,327,552,12255,1642
75702,"$100,000 under $200,000",130,240,646,646,12940,2216
75702,"$200,000 or more",40,272,0,873,28433,7603
,,,,,,,
75703,,17850,26109,34972,43475,1125878,234923
75703,"$1 under $25,000",6470,1003,1076,760,19581,1668
75703,"$25,000 under $50,000",4040,1899,2679,2299,77834,8198
75703,"$50,000 under $75,000",2250,2549,3958,3326,90325,11518
75703,"$75,000 under $100,000",1540,2592,4205,4062,93809,12559
75703,"$100,000 under $200,000",2310,7362,11190,10971,242121,41419
75703,"$200,000 or more",1240,10704,11864,22057,602208,159561
,,,,,,,
75704,,3520,1380,2814,2971,75970,10564
75704,"$1 under $25,000",1640,101,170,182,3408,293
75704,"$25,000 under $50,000",1020,285,691,534,16695,1601
75704,"$50,000 under $75,000",430,319,667,562,16183,1914
75704,"$75,000 under $100,000",230,229,501,525,14026,1860
75704,"$100,000 under $200,000",160,295,556,610,15785,2625
75704,"$200,000 or more",40,151,229,558,9873,2271
,,,,,,,
75705,,930,296,725,787,17600,2293
75705,"$1 under $25,000",470,0,0,0,1136,97
75705,"$25,000 under $50,000",240,93,236,192,4123,397
75705,"$50,000 under $75,000",100,81,178,170,3717,441
75705,"$75,000 under $100,000",70,122,311,230,3812,495
75705,"$100,000 under $200,000",50,0,0,195,4812,863
75705,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75706,,3560,933,2138,1841,65468,8580
75706,"$1 under $25,000",1850,42,129,66,3812,313
75706,"$25,000 under $50,000",930,161,324,363,13957,1257
75706,"$50,000 under $75,000",410,186,456,328,15423,1781
75706,"$75,000 under $100,000",180,170,388,251,10801,1371
75706,"$100,000 under $200,000",190,374,841,833,21475,3858
75706,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75707,,6370,7081,10248,16222,337657,64665
75707,"$1 under $25,000",2330,311,284,257,6090,549
75707,"$25,000 under $50,000",1360,522,893,914,24868,2527
75707,"$50,000 under $75,000",950,862,1539,1431,37628,4631
75707,"$75,000 under $100,000",630,948,1608,1371,39019,5155
75707,"$100,000 under $200,000",790,2144,3397,3394,81189,13736
75707,"$200,000 or more",310,2294,2527,8855,148863,38067
,,,,,,,
75708,,2870,439,1138,869,44040,5390
75708,"$1 under $25,000",1530,0,127,0,2798,219
75708,"$25,000 under $50,000",830,121,228,193,12713,1141
75708,"$50,000 under $75,000",310,110,267,202,11602,1304
75708,"$75,000 under $100,000",120,78,208,231,7327,953
75708,"$100,000 under $200,000",80,130,308,243,9600,1773
75708,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75709,,2410,1928,3257,3984,93851,17690
75709,"$1 under $25,000",970,89,98,98,2473,221
75709,"$25,000 under $50,000",640,189,469,438,11805,1203
75709,"$50,000 under $75,000",320,281,645,496,12449,1592
75709,"$75,000 under $100,000",210,211,345,488,12779,1814
75709,"$100,000 under $200,000",190,411,705,692,20049,3578
75709,"$200,000 or more",80,747,995,1772,34296,9282
,,,,,,,
75750,,1580,894,1880,1959,56628,8669
75750,"$1 under $25,000",600,31,0,0,1173,105
75750,"$25,000 under $50,000",380,98,290,224,6815,681
75750,"$50,000 under $75,000",240,91,257,235,9051,1060
75750,"$75,000 under $100,000",160,139,347,333,9748,1247
75750,"$100,000 under $200,000",170,357,760,764,18140,3092
75750,"$200,000 or more",30,178,226,403,11701,2484
,,,,,,,
75751,,6940,4141,5687,7644,211946,36621
75751,"$1 under $25,000",3320,288,304,303,7178,633
75751,"$25,000 under $50,000",1770,457,695,798,29400,2890
75751,"$50,000 under $75,000",790,552,902,889,30919,3747
75751,"$75,000 under $100,000",430,478,806,891,25699,3450
75751,"$100,000 under $200,000",470,1181,1747,1706,47228,7982
75751,"$200,000 or more",160,1185,1233,3057,71522,17919
,,,,,,,
75752,,2570,2087,3028,3174,98228,16955
75752,"$1 under $25,000",1020,161,248,129,2248,208
75752,"$25,000 under $50,000",650,151,303,243,10624,1025
75752,"$50,000 under $75,000",340,266,415,351,13265,1603
75752,"$75,000 under $100,000",230,300,481,413,13828,1847
75752,"$100,000 under $200,000",270,667,1015,971,28114,4770
75752,"$200,000 or more",60,542,566,1067,30149,7502
,,,,,,,
75754,,2330,1021,2075,1718,79103,12795
75754,"$1 under $25,000",970,84,160,68,2142,189
75754,"$25,000 under $50,000",620,201,343,260,10541,1080
75754,"$50,000 under $75,000",320,142,343,196,12759,1527
75754,"$75,000 under $100,000",210,147,407,252,12665,1646
75754,"$100,000 under $200,000",170,298,822,500,17453,2872
75754,"$200,000 or more",40,149,0,442,23543,5481
,,,,,,,
75755,,2160,687,1425,1484,61050,9173
75755,"$1 under $25,000",910,83,172,83,2005,180
75755,"$25,000 under $50,000",570,119,186,239,10264,1042
75755,"$50,000 under $75,000",330,104,244,122,12908,1526
75755,"$75,000 under $100,000",160,98,243,251,9985,1319
75755,"$100,000 under $200,000",160,283,580,789,15811,2581
75755,"$200,000 or more",30,0,0,0,10077,2525
,,,,,,,
75756,,1630,862,1501,1900,46938,7165
75756,"$1 under $25,000",680,45,0,75,1267,111
75756,"$25,000 under $50,000",410,145,289,179,6573,604
75756,"$50,000 under $75,000",230,135,264,140,8696,992
75756,"$75,000 under $100,000",150,181,333,236,9118,1179
75756,"$100,000 under $200,000",130,356,615,514,12577,2066
75756,"$200,000 or more",30,0,0,756,8707,2213
,,,,,,,
75757,,4600,7156,10343,7904,258960,47876
75757,"$1 under $25,000",1620,358,402,206,3410,304
75757,"$25,000 under $50,000",940,555,896,454,16496,1673
75757,"$50,000 under $75,000",590,820,1194,752,22470,2700
75757,"$75,000 under $100,000",510,952,1649,906,30738,3880
75757,"$100,000 under $200,000",690,2687,3946,2589,70719,11748
75757,"$200,000 or more",250,1784,2256,2997,115127,27571
,,,,,,,
75758,,4140,2257,4335,3946,121492,18195
75758,"$1 under $25,000",1680,179,355,198,3853,346
75758,"$25,000 under $50,000",1080,366,708,418,19048,1923
75758,"$50,000 under $75,000",590,395,860,629,23541,2819
75758,"$75,000 under $100,000",370,418,826,795,22170,2905
75758,"$100,000 under $200,000",370,723,1412,1257,36800,6132
75758,"$200,000 or more",50,176,174,649,16080,4070
,,,,,,,
75760,,1030,145,332,554,25647,3429
75760,"$1 under $25,000",420,0,100,0,1035,104
75760,"$25,000 under $50,000",310,42,0,109,5939,623
75760,"$50,000 under $75,000",150,55,122,211,5838,669
75760,"$75,000 under $100,000",90,0,0,0,5468,684
75760,"$100,000 under $200,000",60,48,110,234,7367,1349
75760,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75762,,5720,6731,11843,10691,278385,49877
75762,"$1 under $25,000",1850,294,429,249,4684,421
75762,"$25,000 under $50,000",1290,872,1641,835,23715,2369
75762,"$50,000 under $75,000",800,854,1804,929,31635,3792
75762,"$75,000 under $100,000",710,1070,2183,1368,42725,5392
75762,"$100,000 under $200,000",840,2284,3922,3431,85600,14370
75762,"$200,000 or more",230,1357,1864,3879,90026,23533
,,,,,,,
75763,,2380,1497,2538,1868,80458,13229
75763,"$1 under $25,000",1030,92,109,65,2231,202
75763,"$25,000 under $50,000",530,150,254,185,9061,925
75763,"$50,000 under $75,000",340,305,453,315,13545,1660
75763,"$75,000 under $100,000",210,224,489,249,13007,1720
75763,"$100,000 under $200,000",220,436,864,602,22628,3818
75763,"$200,000 or more",50,290,369,452,19986,4904
,,,,,,,
75765,,3040,1792,3205,3934,102686,16221
75765,"$1 under $25,000",1130,136,362,214,2366,219
75765,"$25,000 under $50,000",780,264,509,514,13914,1423
75765,"$50,000 under $75,000",470,312,529,617,18587,2316
75765,"$75,000 under $100,000",310,338,570,604,18969,2464
75765,"$100,000 under $200,000",300,560,975,1385,30758,5202
75765,"$200,000 or more",50,182,260,600,18092,4597
,,,,,,,
75766,,10610,4037,5531,7264,251966,38465
75766,"$1 under $25,000",5290,250,359,252,11251,945
75766,"$25,000 under $50,000",2810,487,842,870,45146,4217
75766,"$50,000 under $75,000",1210,704,983,1152,45883,5263
75766,"$75,000 under $100,000",590,574,885,1216,35711,4629
75766,"$100,000 under $200,000",560,1189,1692,1891,56947,9727
75766,"$200,000 or more",150,833,770,1883,57028,13684
,,,,,,,
75770,,1040,732,1369,1052,38377,6987
75770,"$1 under $25,000",430,56,0,0,877,82
75770,"$25,000 under $50,000",260,67,211,176,4479,434
75770,"$50,000 under $75,000",130,103,215,205,5062,605
75770,"$75,000 under $100,000",90,118,308,163,5068,649
75770,"$100,000 under $200,000",100,231,635,240,10207,1702
75770,"$200,000 or more",30,157,0,268,12684,3515
,,,,,,,
75771,,8430,7812,12485,13233,341292,55367
75771,"$1 under $25,000",3160,484,705,521,6595,588
75771,"$25,000 under $50,000",1840,840,1518,1227,31605,3127
75771,"$50,000 under $75,000",1280,1154,1836,1617,49908,5764
75771,"$75,000 under $100,000",920,1507,2486,1847,55051,7035
75771,"$100,000 under $200,000",1020,2651,4444,4344,102426,16984
75771,"$200,000 or more",210,1176,1496,3677,95707,21869
,,,,,,,
75773,,4980,2110,4376,3677,135063,19562
75773,"$1 under $25,000",2150,173,368,237,4474,403
75773,"$25,000 under $50,000",1240,318,635,550,20644,2062
75773,"$50,000 under $75,000",720,325,641,623,28724,3442
75773,"$75,000 under $100,000",440,432,1019,723,26383,3397
75773,"$100,000 under $200,000",370,651,1353,1226,36447,5972
75773,"$200,000 or more",60,211,360,318,18391,4286
,,,,,,,
75778,,1260,415,950,812,30861,4457
75778,"$1 under $25,000",560,0,0,0,1226,114
75778,"$25,000 under $50,000",330,112,201,175,5283,534
75778,"$50,000 under $75,000",190,106,361,217,7316,866
75778,"$75,000 under $100,000",90,44,0,0,5926,775
75778,"$100,000 under $200,000",90,153,388,420,11110,2168
75778,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75783,,2990,1294,2715,2279,94468,13216
75783,"$1 under $25,000",1250,142,290,116,2678,249
75783,"$25,000 under $50,000",730,159,402,212,13089,1405
75783,"$50,000 under $75,000",460,233,521,405,18432,2200
75783,"$75,000 under $100,000",260,157,431,346,15682,2007
75783,"$100,000 under $200,000",240,427,859,881,24052,4095
75783,"$200,000 or more",50,176,212,319,20535,3260
,,,,,,,
75784,,290,50,186,162,7103,1011
75784,"$1 under $25,000",130,0,0,0,225,18
75784,"$25,000 under $50,000",80,0,186,0,1525,145
75784,"$50,000 under $75,000",60,50,0,162,2597,359
75784,"$75,000 under $100,000",0,0,0,0,0,0
75784,"$100,000 under $200,000",20,0,0,0,2756,489
75784,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75785,,3650,1043,2025,2409,96352,13858
75785,"$1 under $25,000",1580,59,97,143,3470,304
75785,"$25,000 under $50,000",980,166,346,447,17445,1763
75785,"$50,000 under $75,000",520,190,424,296,20787,2454
75785,"$75,000 under $100,000",280,164,399,398,16957,2220
75785,"$100,000 under $200,000",250,271,536,611,24758,4173
75785,"$200,000 or more",40,193,223,514,12935,2944
,,,,,,,
75789,,3110,1618,3337,3376,111227,18762
75789,"$1 under $25,000",1230,118,180,140,2519,225
75789,"$25,000 under $50,000",740,203,414,331,12798,1300
75789,"$50,000 under $75,000",460,219,476,402,17946,2085
75789,"$75,000 under $100,000",310,306,695,594,19006,2462
75789,"$100,000 under $200,000",320,527,1200,1151,32477,5423
75789,"$200,000 or more",50,245,372,758,26481,7267
,,,,,,,
75790,,1960,1146,2057,1931,62540,9356
75790,"$1 under $25,000",770,97,157,81,1564,147
75790,"$25,000 under $50,000",490,119,211,230,8419,833
75790,"$50,000 under $75,000",290,207,382,299,11048,1286
75790,"$75,000 under $100,000",190,244,427,359,11383,1423
75790,"$100,000 under $200,000",190,364,880,556,19167,3207
75790,"$200,000 or more",30,115,0,406,10959,2460
,,,,,,,
75791,,5700,5545,9347,10454,248911,42297
75791,"$1 under $25,000",2020,256,451,239,5008,450
75791,"$25,000 under $50,000",1210,578,1125,639,21352,2052
75791,"$50,000 under $75,000",920,893,1623,1000,36028,4124
75791,"$75,000 under $100,000",650,741,1616,1124,39547,4999
75791,"$100,000 under $200,000",730,1776,3247,2846,73286,12093
75791,"$200,000 or more",170,1301,1285,4606,73690,18579
,,,,,,,
75792,,1460,424,915,889,36099,4840
75792,"$1 under $25,000",640,0,0,84,1382,126
75792,"$25,000 under $50,000",370,93,243,103,6618,676
75792,"$50,000 under $75,000",230,78,197,195,9205,1127
75792,"$75,000 under $100,000",120,108,229,150,6975,947
75792,"$100,000 under $200,000",100,145,246,357,11919,1964
75792,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75801,,6810,2748,4703,5128,166544,24639
75801,"$1 under $25,000",3140,179,231,240,6680,578
75801,"$25,000 under $50,000",1860,377,707,709,31398,3042
75801,"$50,000 under $75,000",840,431,951,1033,31626,3707
75801,"$75,000 under $100,000",440,549,1068,794,26306,3446
75801,"$100,000 under $200,000",440,747,1354,1246,44732,7613
75801,"$200,000 or more",90,465,392,1106,25802,6253
,,,,,,,
75803,,5960,2147,4374,4299,164080,24296
75803,"$1 under $25,000",2430,136,224,231,5170,462
75803,"$25,000 under $50,000",1660,367,905,648,27347,2624
75803,"$50,000 under $75,000",860,361,919,713,33647,3889
75803,"$75,000 under $100,000",510,356,761,773,30730,4062
75803,"$100,000 under $200,000",430,674,1208,1189,42585,7173
75803,"$200,000 or more",70,253,357,745,24601,6086
,,,,,,,
75831,,2030,740,1372,1550,77474,11714
75831,"$1 under $25,000",760,0,0,83,1412,130
75831,"$25,000 under $50,000",530,117,302,206,8578,825
75831,"$50,000 under $75,000",310,110,298,304,12308,1488
75831,"$75,000 under $100,000",190,96,172,262,12095,1597
75831,"$100,000 under $200,000",210,192,600,695,20778,3342
75831,"$200,000 or more",30,225,0,0,22303,4332
,,,,,,,
75833,,1400,526,1369,2159,53312,9345
75833,"$1 under $25,000",580,45,163,0,1308,120
75833,"$25,000 under $50,000",300,69,107,144,5077,500
75833,"$50,000 under $75,000",180,78,269,206,6938,862
75833,"$75,000 under $100,000",130,67,204,243,7763,1011
75833,"$100,000 under $200,000",160,140,626,373,16644,2750
75833,"$200,000 or more",50,127,0,1193,15582,4102
,,,,,,,
75835,,4570,1429,2294,3332,130950,21654
75835,"$1 under $25,000",2360,115,172,183,4636,408
75835,"$25,000 under $50,000",1120,173,299,375,19116,1860
75835,"$50,000 under $75,000",470,201,441,415,18353,2261
75835,"$75,000 under $100,000",270,181,456,345,16746,2265
75835,"$100,000 under $200,000",250,337,539,792,26643,4555
75835,"$200,000 or more",100,422,387,1222,45456,10305
,,,,,,,
75838,,280,63,121,113,9546,1334
75838,"$1 under $25,000",90,0,0,0,221,22
75838,"$25,000 under $50,000",60,0,0,0,991,100
75838,"$50,000 under $75,000",60,0,121,113,2432,316
75838,"$75,000 under $100,000",30,63,0,0,1720,242
75838,"$100,000 under $200,000",40,0,0,0,4182,654
75838,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75839,,2100,688,1461,1282,63601,8537
75839,"$1 under $25,000",870,48,0,78,1774,158
75839,"$25,000 under $50,000",520,135,263,182,8830,850
75839,"$50,000 under $75,000",320,130,307,189,12468,1454
75839,"$75,000 under $100,000",200,101,328,274,12022,1516
75839,"$100,000 under $200,000",160,274,563,559,15943,2608
75839,"$200,000 or more",30,0,0,0,12564,1951
,,,,,,,
75840,,3300,1575,3048,4090,117058,18761
75840,"$1 under $25,000",1260,70,0,118,2840,264
75840,"$25,000 under $50,000",820,198,601,290,13694,1358
75840,"$50,000 under $75,000",450,181,377,513,17340,2029
75840,"$75,000 under $100,000",320,257,680,528,19479,2561
75840,"$100,000 under $200,000",380,565,1101,1108,38779,6524
75840,"$200,000 or more",70,304,289,1533,24926,6025
,,,,,,,
75844,,2120,702,1261,1718,66137,10726
75844,"$1 under $25,000",900,59,134,81,1645,145
75844,"$25,000 under $50,000",550,130,201,321,9614,977
75844,"$50,000 under $75,000",310,114,221,245,12215,1497
