Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75025,"$1 under $25,000",6250,1376,1839,531,16082,1426
75025,"$25,000 under $50,000",3560,2828,4402,1912,72225,7629
75025,"$50,000 under $75,000",2710,4338,6796,2616,111416,14494
75025,"$75,000 under $100,000",2510,6232,9645,3908,156039,21505
75025,"$100,000 under $200,000",6100,23095,32490,16790,675548,119411
75025,"$200,000 or more",2400,13727,16115,17228,716819,177681
,,,,,,,
75028,,19540,53499,80420,43159,1512079,295118
75028,"$1 under $25,000",5160,1076,1631,558,13261,1182
75028,"$25,000 under $50,000",2580,2797,4322,1651,50826,5422
75028,"$50,000 under $75,000",2180,4448,7281,2837,86354,10686
75028,"$75,000 under $100,000",2340,7049,11034,5052,141735,18872
75028,"$100,000 under $200,000",5420,24206,37060,18643,576757,99870
75028,"$200,000 or more",1860,13923,19092,14418,643146,159086
,,,,,,,
75032,,12740,35348,52460,32464,1040313,225143
75032,"$1 under $25,000",3880,938,1334,411,9064,827
75032,"$25,000 under $50,000",2190,2104,3397,1317,38866,3921
75032,"$50,000 under $75,000",1630,3497,5648,2474,62228,7499
75032,"$75,000 under $100,000",1280,3629,6039,2541,76433,10079
75032,"$100,000 under $200,000",2380,11433,17574,8711,248022,42577
75032,"$200,000 or more",1380,13747,18468,17010,605700,160240
,,,,,,,
75034,,22420,82734,114224,71331,2916263,652671
75034,"$1 under $25,000",5330,1698,2178,612,14020,1192
75034,"$25,000 under $50,000",3830,3420,4913,2067,75312,8086
75034,"$50,000 under $75,000",2730,5361,7803,3339,110054,14421
75034,"$75,000 under $100,000",2140,6403,9570,3779,129923,18473
75034,"$100,000 under $200,000",5030,26123,40707,16469,538909,95108
75034,"$200,000 or more",3360,39729,49053,45065,2048045,515391
,,,,,,,
75035,,23020,56053,98252,41036,1567570,283767
75035,"$1 under $25,000",5230,1549,2369,505,12939,1136
75035,"$25,000 under $50,000",3260,3668,6149,1956,64230,6683
75035,"$50,000 under $75,000",3040,6169,11167,3682,120745,15070
75035,"$75,000 under $100,000",3100,8683,15655,5497,188069,25097
75035,"$100,000 under $200,000",6740,26276,46997,18869,715620,124114
75035,"$200,000 or more",1650,9708,15915,10527,465967,111667
,,,,,,,
75038,,14450,12843,14336,14260,959203,223341
75038,"$1 under $25,000",5800,342,548,387,16798,1289
75038,"$25,000 under $50,000",4210,710,1286,1423,81889,8459
75038,"$50,000 under $75,000",1870,864,1394,1137,79940,10920
75038,"$75,000 under $100,000",1060,1017,1598,1128,67975,10149
75038,"$100,000 under $200,000",1000,2575,3361,1906,106602,19224
75038,"$200,000 or more",510,7335,6149,8279,605999,173300
,,,,,,,
75039,,7890,12071,17600,9429,716434,147173
75039,"$1 under $25,000",1410,145,167,113,5388,452
75039,"$25,000 under $50,000",1800,376,730,509,45144,5423
75039,"$50,000 under $75,000",1500,666,1151,861,69282,10619
75039,"$75,000 under $100,000",1040,908,1592,903,70413,11698
75039,"$100,000 under $200,000",1430,3868,6241,2496,161348,30776
75039,"$200,000 or more",710,6108,7719,4547,364859,88205
,,,,,,,
75040,,27200,13520,25582,16904,616196,84926
75040,"$1 under $25,000",12380,1106,2174,791,29063,2480
75040,"$25,000 under $50,000",7660,2824,6009,2561,126171,11902
75040,"$50,000 under $75,000",3410,2970,5856,3474,131462,15802
75040,"$75,000 under $100,000",1840,2498,4916,3080,113175,15178
75040,"$100,000 under $200,000",1760,3619,5978,6000,178587,30454
75040,"$200,000 or more",150,503,649,998,37738,9110
,,,,,,,
75041,,12750,4038,7325,6411,236501,32669
75041,"$1 under $25,000",6360,329,689,322,12918,1067
75041,"$25,000 under $50,000",3870,887,1838,1227,58750,5318
75041,"$50,000 under $75,000",1410,947,1774,1356,54137,6573
75041,"$75,000 under $100,000",570,682,1352,1036,34873,4754
75041,"$100,000 under $200,000",480,910,1404,1748,48466,8228
75041,"$200,000 or more",60,283,268,722,27357,6729
,,,,,,,
75042,,16200,4045,7631,5158,268100,35517
75042,"$1 under $25,000",8540,491,970,377,17861,1465
75042,"$25,000 under $50,000",4880,1271,2620,1310,74378,6705
75042,"$50,000 under $75,000",1600,907,1966,1185,61196,7312
75042,"$75,000 under $100,000",670,503,894,857,42174,5838
75042,"$100,000 under $200,000",450,630,1181,1197,45594,7845
75042,"$200,000 or more",60,243,0,232,26897,6352
,,,,,,,
75043,,27130,18119,31672,24933,753839,112652
75043,"$1 under $25,000",11120,1104,2207,943,27754,2327
75043,"$25,000 under $50,000",7840,3159,6315,3470,139795,13706
75043,"$50,000 under $75,000",3650,3751,7045,4619,142086,17529
75043,"$75,000 under $100,000",2080,3223,5453,4528,127168,17197
75043,"$100,000 under $200,000",2110,5310,8766,7935,213048,36289
75043,"$200,000 or more",330,1572,1886,3438,103988,25604
,,,,,,,
75044,,20000,24635,34144,26984,879500,160735
75044,"$1 under $25,000",7290,1155,1776,671,19326,1665
75044,"$25,000 under $50,000",5030,2656,4462,1985,96450,10001
75044,"$50,000 under $75,000",2770,3503,5538,2782,112937,14701
75044,"$75,000 under $100,000",1640,3032,4336,2805,103108,14620
75044,"$100,000 under $200,000",2460,8720,11637,8823,263885,46731
75044,"$200,000 or more",810,5569,6395,9918,283794,73017
,,,,,,,
75048,,9790,19963,32091,16325,501276,83692
75048,"$1 under $25,000",2700,631,925,202,7202,625
75048,"$25,000 under $50,000",1850,1838,3046,997,34817,3590
75048,"$50,000 under $75,000",1480,3043,5014,1840,57908,6902
75048,"$75,000 under $100,000",1280,3725,6095,2763,77320,10271
75048,"$100,000 under $200,000",2120,8498,13891,7270,218037,36971
75048,"$200,000 or more",360,2228,3120,3253,105992,25333
,,,,,,,
75050,,18200,7377,11525,12928,435503,67174
75050,"$1 under $25,000",8210,464,738,587,19345,1490
75050,"$25,000 under $50,000",5690,1172,2236,2334,98111,9511
75050,"$50,000 under $75,000",2200,1418,2454,2498,87711,11290
75050,"$75,000 under $100,000",1000,1203,1958,1998,63409,9221
75050,"$100,000 under $200,000",930,2217,3240,3159,97096,17192
75050,"$200,000 or more",170,903,899,2352,69831,18470
,,,,,,,
75051,,15740,4099,7904,6272,232210,28168
75051,"$1 under $25,000",8270,370,803,542,17650,1412
75051,"$25,000 under $50,000",4940,1145,2379,1830,77571,6853
75051,"$50,000 under $75,000",1610,1206,2570,1836,59354,6689
75051,"$75,000 under $100,000",580,558,1205,935,34830,4589
75051,"$100,000 under $200,000",310,820,947,1129,30317,5198
75051,"$200,000 or more",30,0,0,0,12488,3427
,,,,,,,
75052,,39880,39831,72187,46335,1225866,179945
75052,"$1 under $25,000",14720,2022,3845,1480,36448,2922
75052,"$25,000 under $50,000",10710,6953,13080,7340,187958,17639
75052,"$50,000 under $75,000",6020,8595,15784,8926,232710,27895
75052,"$75,000 under $100,000",3750,7528,13572,8409,225816,30210
75052,"$100,000 under $200,000",4270,12892,23279,17202,424587,71746
75052,"$200,000 or more",410,1841,2627,2978,118347,29533
,,,,,,,
75054,,4360,14008,22906,10903,274242,48058
75054,"$1 under $25,000",920,332,494,157,2377,207
75054,"$25,000 under $50,000",660,926,1653,789,12094,1192
75054,"$50,000 under $75,000",650,1793,3004,1233,24723,3075
75054,"$75,000 under $100,000",590,2352,3701,1581,34224,4510
75054,"$100,000 under $200,000",1290,6889,11304,5087,132383,22774
