Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,Amount,Amount,Amount,Amount,Amount
,,-1,-63,-67,-69,-71,-113
0,Total,11841170,13585202,15345358,15705695,584343290,117308035
0,"$1 under $25,000",4617350,385578,479554,263650,10806017,937338
0,"$25,000 under $50,000",2869540,998573,1397279,1011225,51054723,5107142
0,"$50,000 under $75,000",1521650,1414501,1939689,1344751,60302416,7497121
0,"$75,000 under $100,000",949530,1519459,2028615,1391155,58437898,7992868
0,"$100,000 under $200,000",1356690,4430836,5404707,3912686,143971640,24680246
0,"$200,000 or more",526410,4836255,4095514,7782228,259770596,71093320
,,,,,,,
75001,,9350,10134,10189,22403,734457,160314
75001,"$1 under $25,000",2310,351,335,241,8228,690
75001,"$25,000 under $50,000",2610,470,573,690,61018,7190
75001,"$50,000 under $75,000",1700,1317,1144,1001,78853,11988
75001,"$75,000 under $100,000",940,1047,1260,1142,64709,11075
75001,"$100,000 under $200,000",1210,2819,3505,2131,135856,26190
75001,"$200,000 or more",580,4130,3372,17198,385793,103181
,,,,,,,
75002,,29400,66600,79839,58829,1898932,369794
75002,"$1 under $25,000",8720,1754,1933,811,22746,1986
75002,"$25,000 under $50,000",5100,4070,5155,2518,93489,9510
75002,"$50,000 under $75,000",3630,6636,8360,4337,142534,17401
75002,"$75,000 under $100,000",3220,8356,10618,5793,195250,26105
75002,"$100,000 under $200,000",6450,27530,32586,21989,681770,115047
75002,"$200,000 or more",2280,18254,21187,23381,763143,199745
,,,,,,,
75006,,23830,15095,20730,18677,788431,130186
75006,"$1 under $25,000",9010,755,1200,618,23236,1979
75006,"$25,000 under $50,000",7130,1940,3214,2094,125452,12582
75006,"$50,000 under $75,000",3240,2520,3857,2873,130717,16998
75006,"$75,000 under $100,000",1720,2342,3523,2280,109403,15969
75006,"$100,000 under $200,000",2220,5396,6765,7005,239114,42025
75006,"$200,000 or more",510,2142,2171,3807,160509,40633
,,,,,,,
75007,,26070,31984,41171,37738,1250224,221659
75007,"$1 under $25,000",8390,1289,1850,788,21438,1848
75007,"$25,000 under $50,000",6090,2912,4590,2470,114526,11823
75007,"$50,000 under $75,000",3550,4521,6678,3785,143614,18430
75007,"$75,000 under $100,000",2670,4966,6705,4600,167059,23262
75007,"$100,000 under $200,000",4250,12376,15600,13631,456185,78844
75007,"$200,000 or more",1120,5920,5748,12464,347402,87452
,,,,,,,
75009,,4410,9470,13858,8662,299123,57911
75009,"$1 under $25,000",1280,249,327,110,2826,246
75009,"$25,000 under $50,000",820,568,803,429,13547,1294
75009,"$50,000 under $75,000",560,779,1172,473,21122,2403
75009,"$75,000 under $100,000",460,1153,1779,841,26735,3318
75009,"$100,000 under $200,000",910,3883,5935,3388,94394,15614
75009,"$200,000 or more",380,2838,3842,3421,140499,35036
,,,,,,,
75010,,12680,20961,26632,20654,736961,138195
75010,"$1 under $25,000",3320,506,676,237,9418,825
75010,"$25,000 under $50,000",2940,1395,1895,1230,60898,6467
75010,"$50,000 under $75,000",1980,2287,3176,1834,81988,10886
75010,"$75,000 under $100,000",1370,2695,3589,2555,85270,12248
75010,"$100,000 under $200,000",2270,8420,10558,7547,242456,42051
75010,"$200,000 or more",800,5658,6738,7251,256931,65718
,,,,,,,
75013,,16260,69775,72070,44473,1807277,405460
75013,"$1 under $25,000",3610,1023,946,360,8504,769
75013,"$25,000 under $50,000",1930,1969,2041,945,38320,4068
75013,"$50,000 under $75,000",1480,3339,3263,1723,59548,7571
75013,"$75,000 under $100,000",1450,5191,5453,2631,88418,12205
75013,"$100,000 under $200,000",4600,28459,30553,13682,509275,88319
75013,"$200,000 or more",3190,29794,29814,25132,1103212,292528
,,,,,,,
75019,,19740,70330,61957,61762,2332551,526157
75019,"$1 under $25,000",4820,1205,1155,386,12251,1122
75019,"$25,000 under $50,000",3040,2318,2340,1449,63753,6963
75019,"$50,000 under $75,000",2200,4178,3902,2317,90607,11983
75019,"$75,000 under $100,000",1740,4885,4808,2897,108758,15522
75019,"$100,000 under $200,000",4710,25505,23637,15522,519829,90494
75019,"$200,000 or more",3230,32239,26115,39191,1537353,400073
,,,,,,,
75020,,9700,5056,5456,7709,299950,51048
75020,"$1 under $25,000",4320,285,273,301,10285,933
75020,"$25,000 under $50,000",2560,589,635,614,45355,4608
75020,"$50,000 under $75,000",1230,679,790,885,48586,5932
75020,"$75,000 under $100,000",670,687,819,1104,40449,5238
75020,"$100,000 under $200,000",730,1757,1957,2299,73901,12156
75020,"$200,000 or more",190,1059,982,2506,81374,22181
,,,,,,,
75021,,3670,1712,2083,2170,104894,16303
75021,"$1 under $25,000",1540,143,130,145,3426,327
75021,"$25,000 under $50,000",980,183,238,276,17054,1760
75021,"$50,000 under $75,000",500,227,374,403,20486,2544
75021,"$75,000 under $100,000",330,294,403,383,20254,2716
75021,"$100,000 under $200,000",270,517,637,734,26501,4367
75021,"$200,000 or more",50,348,301,229,17173,4589
,,,,,,,
75022,,9890,48698,51351,42000,1446511,353865
75022,"$1 under $25,000",2530,716,618,152,5986,546
75022,"$25,000 under $50,000",860,1170,1045,466,16560,1842
75022,"$50,000 under $75,000",640,1848,1995,1102,24430,2986
75022,"$75,000 under $100,000",720,2954,3191,1777,42509,5749
75022,"$100,000 under $200,000",2820,17701,20242,10597,310903,53335
75022,"$200,000 or more",2320,24309,24260,27906,1046123,289407
,,,,,,,
75023,,22980,26915,34417,28297,1188586,210787
75023,"$1 under $25,000",7030,1173,1646,642,18687,1644
75023,"$25,000 under $50,000",4890,2435,3478,1971,94488,9935
75023,"$50,000 under $75,000",3330,3717,5138,2849,137752,17869
75023,"$75,000 under $100,000",2430,3853,5451,3382,153671,21772
75023,"$100,000 under $200,000",4210,10927,14056,11749,455177,78831
75023,"$200,000 or more",1090,4810,4648,7704,328811,80736
,,,,,,,
75024,,19440,46362,49535,45115,2588907,464044
75024,"$1 under $25,000",4050,824,921,311,11072,973
75024,"$25,000 under $50,000",3230,1637,1839,1166,72941,8249
75024,"$50,000 under $75,000",2930,2778,3356,1779,128416,18130
75024,"$75,000 under $100,000",2150,3519,3987,2239,137878,20503
75024,"$100,000 under $200,000",4460,16788,19304,10363,495635,87652
75024,"$200,000 or more",2620,20816,20128,29257,1742965,328537
,,,,,,,
75025,,23830,53187,57075,43887,1907473,383200
75025,"$1 under $25,000",6250,1175,1355,482,15192,1331
75025,"$25,000 under $50,000",3620,2645,2924,1614,72448,7672
75025,"$50,000 under $75,000",2600,3949,4714,2846,107594,13810
75025,"$75,000 under $100,000",2400,5470,6584,3574,150173,20720
75025,"$100,000 under $200,000",6150,23360,26203,16163,682828,118483
75025,"$200,000 or more",2810,16588,15295,19208,879238,221184
,,,,,,,
75028,,20150,54943,66923,44876,1709608,350368
75028,"$1 under $25,000",5250,991,1191,398,13221,1184
75028,"$25,000 under $50,000",2640,2446,3022,1679,52726,5621
75028,"$50,000 under $75,000",2200,4231,5312,3044,88242,11080
75028,"$75,000 under $100,000",2270,6078,7951,4146,139981,18978
75028,"$100,000 under $200,000",5570,24740,31006,17426,603767,103524
75028,"$200,000 or more",2220,16457,18441,18183,811671,209981
,,,,,,,
75032,,13330,36736,46015,37237,1174147,268382
75032,"$1 under $25,000",3960,849,1077,378,9118,824
75032,"$25,000 under $50,000",2250,1723,2350,1200,39871,4023
75032,"$50,000 under $75,000",1550,2897,3756,2000,59930,7236
75032,"$75,000 under $100,000",1310,3549,4800,2612,77294,10259
75032,"$100,000 under $200,000",2660,11944,15972,9506,279827,47530
75032,"$200,000 or more",1600,15774,18060,21541,708107,198510
,,,,,,,
75034,,25360,96606,109225,83085,3094045,754905
75034,"$1 under $25,000",5840,1799,1972,657,15076,1347
75034,"$25,000 under $50,000",4060,3110,3527,1991,80269,8607
75034,"$50,000 under $75,000",2970,5220,6653,3205,121656,16074
75034,"$75,000 under $100,000",2440,7278,9064,4118,149839,21338
75034,"$100,000 under $200,000",5850,31765,39697,18006,639086,111888
75034,"$200,000 or more",4200,47434,48312,55108,2088119,595651
,,,,,,,
75035,,25310,71905,99810,48325,1942972,369102
75035,"$1 under $25,000",5850,1543,2037,518,14394,1293
75035,"$25,000 under $50,000",3260,3389,4570,1921,62590,6469
75035,"$50,000 under $75,000",2870,5853,7838,3504,113865,14088
75035,"$75,000 under $100,000",2890,8338,12180,4927,174549,23434
75035,"$100,000 under $200,000",7740,34753,48628,20529,833019,142440
75035,"$200,000 or more",2700,18029,24557,16926,744555,181378
,,,,,,,
75038,,15080,13110,11992,18046,1149105,230696
75038,"$1 under $25,000",5590,271,329,440,15569,1220
75038,"$25,000 under $50,000",4410,443,741,1905,82565,8348
75038,"$50,000 under $75,000",2140,849,1197,1406,89856,12094
75038,"$75,000 under $100,000",1150,910,1171,1101,73887,10897
75038,"$100,000 under $200,000",1220,2883,3284,2300,129345,22738
75038,"$200,000 or more",570,7754,5270,10894,757883,175399
