Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,date
75020.0,"$100,000 under $200,000",596.0,1688.0,2404.0,2057.0,60462.0,10351.0,2011-04-01
75020.0,"$200,000 or more",131.0,789.0,870.0,1678.0,50089.0,13665.0,2011-04-01
75021.0,"$1 under $25,000",1682.0,157.0,199.0,121.0,4021.0,364.0,2011-04-01
75021.0,"$25,000 under $50,000",1049.0,305.0,697.0,271.0,19511.0,1975.0,2011-04-01
75021.0,"$50,000 under $75,000",520.0,411.0,812.0,462.0,21024.0,2616.0,2011-04-01
75021.0,"$75,000 under $100,000",288.0,289.0,571.0,340.0,17818.0,2393.0,2011-04-01
75021.0,"$100,000 under $200,000",245.0,458.0,1154.0,738.0,24399.0,4124.0,2011-04-01
75021.0,"$200,000 or more",40.0,321.0,0.0,220.0,10710.0,2688.0,2011-04-01
75022.0,"$1 under $25,000",2385.0,724.0,870.0,250.0,5613.0,501.0,2011-04-01
75022.0,"$25,000 under $50,000",864.0,1524.0,1873.0,613.0,16292.0,1705.0,2011-04-01
75022.0,"$50,000 under $75,000",716.0,2141.0,3316.0,1079.0,27156.0,3327.0,2011-04-01
75022.0,"$75,000 under $100,000",772.0,3441.0,5225.0,1701.0,44037.0,5520.0,2011-04-01
75022.0,"$100,000 under $200,000",2946.0,18503.0,28444.0,11213.0,317477.0,55448.0,2011-04-01
75022.0,"$200,000 or more",1759.0,19147.0,25783.0,20084.0,760681.0,190852.0,2011-04-01
75023.0,"$1 under $25,000",7154.0,1419.0,2554.0,656.0,20287.0,1693.0,2011-04-01
75023.0,"$25,000 under $50,000",5116.0,3273.0,5992.0,2181.0,102704.0,10760.0,2011-04-01
75023.0,"$50,000 under $75,000",3463.0,4890.0,9670.0,3190.0,143119.0,18669.0,2011-04-01
75023.0,"$75,000 under $100,000",2467.0,4585.0,8675.0,4015.0,156230.0,22336.0,2011-04-01
75023.0,"$100,000 under $200,000",3756.0,10625.0,18140.0,10927.0,402763.0,71817.0,2011-04-01
75023.0,"$200,000 or more",858.0,3933.0,4888.0,8230.0,245509.0,58837.0,2011-04-01
75024.0,"$1 under $25,000",4181.0,925.0,1363.0,369.0,14150.0,1201.0,2011-04-01
75024.0,"$25,000 under $50,000",3554.0,2085.0,3277.0,1159.0,82312.0,9421.0,2011-04-01
75024.0,"$50,000 under $75,000",2833.0,3376.0,6317.0,1910.0,123712.0,17437.0,2011-04-01
75024.0,"$75,000 under $100,000",1849.0,4050.0,6545.0,2630.0,116805.0,17165.0,2011-04-01
75024.0,"$100,000 under $200,000",3926.0,15862.0,25732.0,9722.0,432278.0,78422.0,2011-04-01
75024.0,"$200,000 or more",2069.0,16320.0,22378.0,16614.0,782299.0,201243.0,2011-04-01
75025.0,"$1 under $25,000",6210.0,1719.0,2321.0,543.0,16860.0,1434.0,2011-04-01
75025.0,"$25,000 under $50,000",3761.0,3584.0,5159.0,1844.0,76996.0,7881.0,2011-04-01
75025.0,"$50,000 under $75,000",2812.0,5054.0,8366.0,3109.0,115914.0,15022.0,2011-04-01
75025.0,"$75,000 under $100,000",2426.0,6581.0,10608.0,3824.0,150505.0,20659.0,2011-04-01
75025.0,"$100,000 under $200,000",5984.0,23859.0,36298.0,16352.0,654382.0,115715.0,2011-04-01
75025.0,"$200,000 or more",2243.0,13352.0,17351.0,17105.0,681229.0,173216.0,2011-04-01
