Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,date
0.0,Total,11950790,15629793,15754300,15911633,559295988,109036146,2016-02-01
0.0,"$1 under $25,000",4537140,469111,487339,315260,10523271,932108,2016-02-01
0.0,"$25,000 under $50,000",2961450,1140123,1364758,1172782,51845814,5239713,2016-02-01
0.0,"$50,000 under $75,000",1556490,1627943,1942044,1487756,60821740,7573425,2016-02-01
0.0,"$75,000 under $100,000",957440,1736895,2024128,1480204,58315584,8007566,2016-02-01
0.0,"$100,000 under $200,000",1408330,5254097,5701852,4215710,148286212,25247647,2016-02-01
0.0,"$200,000 or more",529940,5401624,4234179,7239921,229503367,62035687,2016-02-01
75001.0,"$1 under $25,000",2230,395,286,278,7393,645,2016-02-01
75001.0,"$25,000 under $50,000",2390,630,483,821,54499,6404,2016-02-01
75001.0,"$50,000 under $75,000",1650,928,981,1219,75828,11464,2016-02-01
75001.0,"$75,000 under $100,000",980,1147,1205,1071,67043,11445,2016-02-01
75001.0,"$100,000 under $200,000",1220,3150,3518,2547,137605,26558,2016-02-01
75001.0,"$200,000 or more",560,5013,3478,13552,327591,86363,2016-02-01
75002.0,"$1 under $25,000",8690,1912,1761,939,21891,1974,2016-02-01
75002.0,"$25,000 under $50,000",5230,4405,4476,2442,97186,10197,2016-02-01
75002.0,"$50,000 under $75,000",3720,7515,8028,4070,145027,17759,2016-02-01
75002.0,"$75,000 under $100,000",3130,9246,9770,6189,187454,25095,2016-02-01
75002.0,"$100,000 under $200,000",6500,31219,31972,23342,686881,115894,2016-02-01
75002.0,"$200,000 or more",2720,25987,25279,28018,904615,231846,2016-02-01
75006.0,"$1 under $25,000",8470,790,985,649,21876,1946,2016-02-01
75006.0,"$25,000 under $50,000",7280,2130,2813,2679,130621,13656,2016-02-01
75006.0,"$50,000 under $75,000",3460,2838,3515,2783,140560,18628,2016-02-01
75006.0,"$75,000 under $100,000",1870,2840,3343,2677,119152,17783,2016-02-01
75006.0,"$100,000 under $200,000",2330,6468,7282,6882,250912,44269,2016-02-01
75006.0,"$200,000 or more",530,2821,2458,5011,165791,41869,2016-02-01
75007.0,"$1 under $25,000",8060,1375,1596,714,21347,1899,2016-02-01
75007.0,"$25,000 under $50,000",5920,3294,3923,2923,109633,11406,2016-02-01
75007.0,"$50,000 under $75,000",3750,5046,6234,3908,151598,19756,2016-02-01
75007.0,"$75,000 under $100,000",2660,5270,6399,4836,166063,23658,2016-02-01
75007.0,"$100,000 under $200,000",4500,13975,15704,13897,481381,83125,2016-02-01
75007.0,"$200,000 or more",1160,6547,5791,10991,359239,90992,2016-02-01
75009.0,"$1 under $25,000",1510,339,297,220,3596,352,2016-02-01
75009.0,"$25,000 under $50,000",870,841,1053,488,14881,1502,2016-02-01
75009.0,"$50,000 under $75,000",650,1407,1721,765,23405,2647,2016-02-01
75009.0,"$75,000 under $100,000",590,1955,2456,1077,33558,4140,2016-02-01
75009.0,"$100,000 under $200,000",1610,8658,11351,5224,166983,27654,2016-02-01
75009.0,"$200,000 or more",710,6311,7989,5952,250759,61649,2016-02-01
75010.0,"$1 under $25,000",3610,649,624,353,9927,886,2016-02-01
75010.0,"$25,000 under $50,000",3220,1401,1534,1435,66171,7144,2016-02-01
75010.0,"$50,000 under $75,000",2080,2687,3211,2125,85810,11521,2016-02-01
75010.0,"$75,000 under $100,000",1450,3152,4217,2337,91231,13343,2016-02-01
