Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,Year
,,,,,,,,2012
,,-1,-40,-44,-46,-48,-66,2012
0,Total,11410340,12702053,17492017,14897158,530033803,100860926,2012
0,"$1 under $25,000",4684540,452351,673949,290389,11189032,957216,2012
0,"$25,000 under $50,000",2792480,1126908,1903669,1012846,50012307,4969239,2012
0,"$50,000 under $75,000",1427490,1493416,2475731,1313808,56776393,7062732,2012
0,"$75,000 under $100,000",887610,1563941,2524651,1378115,54695609,7473275,2012
0,"$100,000 under $200,000",1185070,4014208,5888312,3562394,125006020,21766069,2012
0,"$200,000 or more",433150,4051229,4025705,7339606,232354442,58632395,2012
,,,,,,,,2012
75001,,8800,10107,12752,19812,608021,148675,2012
75001,"$1 under $25,000",2570,408,434,210,8686,755,2012
75001,"$25,000 under $50,000",2470,633,954,610,56471,6622,2012
75001,"$50,000 under $75,000",1470,1016,1745,891,67328,10325,2012
75001,"$75,000 under $100,000",780,1251,1733,1034,53913,9318,2012
75001,"$100,000 under $200,000",1060,2941,4228,2088,117777,23275,2012
75001,"$200,000 or more",450,3858,3658,14979,303846,98380,2012
,,,,,,,,2012
75002,,28650,63843,96119,54500,1674856,308117,2012
75002,"$1 under $25,000",8530,1845,3508,895,22559,1982,2012
75002,"$25,000 under $50,000",5110,4641,7263,2794,94343,9529,2012
75002,"$50,000 under $75,000",3720,7297,11826,4639,145623,17740,2012
75002,"$75,000 under $100,000",3390,9485,14999,6480,204810,26916,2012
75002,"$100,000 under $200,000",6080,26070,38620,21662,632434,107956,2012
75002,"$200,000 or more",1820,14505,19903,18030,575087,143994,2012
,,,,,,,,2012
75006,,23280,16548,25770,16948,697044,113443,2012
75006,"$1 under $25,000",9580,1056,1940,685,23525,1951,2012
75006,"$25,000 under $50,000",6780,2440,4330,2123,119685,12023,2012
75006,"$50,000 under $75,000",3030,3005,5427,2732,122450,16030,2012
75006,"$75,000 under $100,000",1580,2792,4295,2597,100898,14959,2012
75006,"$100,000 under $200,000",1880,5152,7415,6071,200135,35791,2012
75006,"$200,000 or more",430,2103,2363,2740,130351,32689,2012
,,,,,,,,2012
75007,,25630,32969,52766,37188,1192988,206533,2012
75007,"$1 under $25,000",8580,1280,2141,781,22897,1988,2012
75007,"$25,000 under $50,000",5910,3575,6607,2733,110366,11132,2012
75007,"$50,000 under $75,000",3610,4984,8995,4162,145138,18459,2012
75007,"$75,000 under $100,000",2600,5205,8763,4660,162404,22866,2012
75007,"$100,000 under $200,000",3960,12392,19515,13213,419220,73419,2012
75007,"$200,000 or more",970,5533,6745,11639,332963,78669,2012
,,,,,,,,2012
75009,,3830,8049,13503,7027,219827,40494,2012
75009,"$1 under $25,000",1250,288,417,158,2801,261,2012
75009,"$25,000 under $50,000",730,527,859,429,12345,1213,2012
75009,"$50,000 under $75,000",480,832,1477,563,17855,1979,2012
75009,"$75,000 under $100,000",420,1104,2161,819,24394,3107,2012
75009,"$100,000 under $200,000",700,3194,5414,2442,71218,12016,2012
75009,"$200,000 or more",250,2104,3175,2616,91214,21918,2012
,,,,,,,,2012
75010,,11730,19196,29389,18147,634833,118158,2012
75010,"$1 under $25,000",3270,542,761,359,9402,800,2012
75010,"$25,000 under $50,000",2760,1490,2298,1261,57825,6178,2012
75010,"$50,000 under $75,000",1860,2416,3995,1843,77587,10346,2012
75010,"$75,000 under $100,000",1240,2707,4531,2267,77849,11238,2012
75010,"$100,000 under $200,000",1980,7340,11234,6776,209441,36728,2012
75010,"$200,000 or more",620,4701,6570,5641,202729,52868,2012
,,,,,,,,2012
75013,,15030,60415,77994,38311,1513496,318648,2012
75013,"$1 under $25,000",3290,975,1170,330,8050,715,2012
75013,"$25,000 under $50,000",1840,1932,2475,976,37021,4011,2012
75013,"$50,000 under $75,000",1510,3495,4847,1526,59999,7758,2012
75013,"$75,000 under $100,000",1390,5314,7411,2650,82879,11304,2012
75013,"$100,000 under $200,000",4440,25443,33835,13669,483246,84722,2012
75013,"$200,000 or more",2560,23256,28256,19160,842301,210138,2012
,,,,,,,,2012
75019,,18860,68094,73506,66252,1918830,428089,2012
75019,"$1 under $25,000",4820,1248,1352,443,11693,1024,2012
