"ZIP
code [1]",Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-60,-64,-66,-68,-100
75850,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75851,,980,322,546,680,30786,4470
75851,"$1 under $25,000",380,0,0,0,868,78
75851,"$25,000 under $50,000",240,72,155,185,4454,449
75851,"$50,000 under $75,000",150,42,195,250,5741,639
75851,"$75,000 under $100,000",110,59,0,0,7089,893
75851,"$100,000 under $200,000",100,149,196,245,12634,2411
75851,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75852,,730,335,417,645,21545,3423
75852,"$1 under $25,000",330,0,0,0,662,60
75852,"$25,000 under $50,000",200,128,178,154,3216,311
75852,"$50,000 under $75,000",80,65,0,162,3121,344
75852,"$75,000 under $100,000",40,0,0,0,2515,332
75852,"$100,000 under $200,000",80,142,239,329,12031,2376
75852,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75853,,420,170,334,403,13599,1979
75853,"$1 under $25,000",140,0,0,0,346,31
75853,"$25,000 under $50,000",120,0,0,146,2190,225
75853,"$50,000 under $75,000",70,98,0,0,2807,345
75853,"$75,000 under $100,000",40,0,334,0,2432,333
75853,"$100,000 under $200,000",50,72,0,257,5824,1045
75853,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75855,,980,211,492,591,23635,3259
75855,"$1 under $25,000",420,0,0,0,819,83
75855,"$25,000 under $50,000",280,73,213,171,4505,447
75855,"$50,000 under $75,000",140,79,0,159,5177,622
75855,"$75,000 under $100,000",70,0,122,0,4266,527
75855,"$100,000 under $200,000",70,59,157,261,8868,1580
75855,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75856,,110,0,0,0,2346,313
75856,"$1 under $25,000",70,0,0,0,341,30
75856,"$25,000 under $50,000",0,0,0,0,0,0
75856,"$50,000 under $75,000",40,0,0,0,2005,283
75856,"$75,000 under $100,000",0,0,0,0,0,0
75856,"$100,000 under $200,000",0,0,0,0,0,0
75856,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75859,,770,1083,1346,924,39827,7799
75859,"$1 under $25,000",280,0,225,0,563,51
75859,"$25,000 under $50,000",160,126,0,129,2671,264
75859,"$50,000 under $75,000",100,122,182,95,3729,448
75859,"$75,000 under $100,000",80,132,174,69,5110,709
75859,"$100,000 under $200,000",110,417,495,342,11794,2017
75859,"$200,000 or more",40,286,270,289,15960,4310
,,,,,,,
75860,,2330,778,1221,1129,75665,11426
75860,"$1 under $25,000",890,49,138,91,1819,165
75860,"$25,000 under $50,000",570,80,0,143,9457,895
75860,"$50,000 under $75,000",360,121,165,206,14150,1682
75860,"$75,000 under $100,000",220,131,252,140,13601,1837
75860,"$100,000 under $200,000",250,397,666,549,26516,4476
75860,"$200,000 or more",40,0,0,0,10122,2371
,,,,,,,
75861,,770,148,333,350,21213,3096
75861,"$1 under $25,000",270,0,0,0,597,54
75861,"$25,000 under $50,000",260,57,148,129,4678,468
75861,"$50,000 under $75,000",100,0,0,0,3917,454
75861,"$75,000 under $100,000",80,91,185,221,4524,607
75861,"$100,000 under $200,000",60,0,0,0,7497,1513
75861,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75862,,3870,1350,1854,2340,95882,14715
75862,"$1 under $25,000",1810,149,206,128,3492,312
75862,"$25,000 under $50,000",1030,174,282,417,17078,1718
75862,"$50,000 under $75,000",470,211,276,462,17962,2150
75862,"$75,000 under $100,000",280,187,299,326,17248,2324
75862,"$100,000 under $200,000",240,456,791,707,23607,3984
75862,"$200,000 or more",40,173,0,300,16495,4227
,,,,,,,
75901,,11860,5884,6921,12517,444276,88917
75901,"$1 under $25,000",5700,251,294,325,12315,1076
75901,"$25,000 under $50,000",3010,659,969,991,51258,4933
75901,"$50,000 under $75,000",1390,664,1044,1355,54103,6450
75901,"$75,000 under $100,000",730,736,1063,1341,44489,5907
75901,"$100,000 under $200,000",760,1729,2170,2704,76301,12571
75901,"$200,000 or more",270,1845,1381,5801,205810,57980
,,,,,,,
75904,,14080,7010,8863,13287,476805,83125
75904,"$1 under $25,000",6520,306,380,327,14531,1243
75904,"$25,000 under $50,000",3500,793,1013,1263,59819,5756
75904,"$50,000 under $75,000",1700,950,1443,1660,66343,7775
75904,"$75,000 under $100,000",990,998,1420,1780,60466,7727
75904,"$100,000 under $200,000",1040,2107,2964,3553,105430,17301
75904,"$200,000 or more",330,1856,1643,4704,170216,43323
,,,,,,,
75925,,1440,356,636,978,32007,4558
75925,"$1 under $25,000",710,36,0,144,1531,128
75925,"$25,000 under $50,000",360,0,0,0,5449,532
75925,"$50,000 under $75,000",180,113,343,243,6869,798
75925,"$75,000 under $100,000",90,38,0,153,5219,665
75925,"$100,000 under $200,000",100,169,293,438,12939,2435
75925,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75926,,430,45,110,141,11830,1521
75926,"$1 under $25,000",160,0,0,0,465,41
75926,"$25,000 under $50,000",130,0,0,0,2263,236
75926,"$50,000 under $75,000",60,45,110,141,2354,289
75926,"$75,000 under $100,000",50,0,0,0,2843,359
75926,"$100,000 under $200,000",30,0,0,0,3905,596
75926,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75928,,480,44,104,395,8853,1158
75928,"$1 under $25,000",250,0,0,0,311,24
75928,"$25,000 under $50,000",120,0,0,113,1842,176
75928,"$50,000 under $75,000",50,44,104,0,1767,187
75928,"$75,000 under $100,000",30,0,0,282,1778,234
75928,"$100,000 under $200,000",30,0,0,0,3155,537
75928,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75929,,560,98,215,377,16165,2295
75929,"$1 under $25,000",250,21,87,133,377,34
75929,"$25,000 under $50,000",120,0,0,0,2030,203
75929,"$50,000 under $75,000",70,38,0,131,2795,338
75929,"$75,000 under $100,000",60,0,128,0,3507,477
75929,"$100,000 under $200,000",60,39,0,113,7456,1243
75929,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75930,,640,88,180,276,15663,2232
75930,"$1 under $25,000",270,0,0,0,604,52
75930,"$25,000 under $50,000",170,0,0,54,2848,301
75930,"$50,000 under $75,000",100,45,0,0,3532,405
75930,"$75,000 under $100,000",50,0,180,222,2830,380
75930,"$100,000 under $200,000",50,43,0,0,5849,1094
75930,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75931,,940,543,863,706,38858,6144
75931,"$1 under $25,000",370,52,0,71,684,58
75931,"$25,000 under $50,000",190,0,165,0,3130,335
75931,"$50,000 under $75,000",140,48,0,76,5208,612
75931,"$75,000 under $100,000",100,103,222,116,5823,729
75931,"$100,000 under $200,000",110,340,476,443,11474,1984
75931,"$200,000 or more",30,0,0,0,12539,2426
,,,,,,,
75932,,540,172,234,434,16373,2447
75932,"$1 under $25,000",190,0,0,0,303,29
75932,"$25,000 under $50,000",150,51,93,245,2475,241
75932,"$50,000 under $75,000",80,70,0,0,3052,378
75932,"$75,000 under $100,000",60,0,141,189,3337,426
75932,"$100,000 under $200,000",60,51,0,0,7206,1373
75932,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75933,,590,84,150,292,16484,2306
75933,"$1 under $25,000",240,0,0,0,464,47
75933,"$25,000 under $50,000",140,41,0,180,2179,196
75933,"$50,000 under $75,000",100,0,0,0,3751,441
75933,"$75,000 under $100,000",50,43,150,112,3062,400
75933,"$100,000 under $200,000",60,0,0,0,7028,1222
75933,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75935,,5550,1359,2338,5689,159939,28431
75935,"$1 under $25,000",2580,138,215,299,5530,466
75935,"$25,000 under $50,000",1590,195,398,704,23600,2171
75935,"$50,000 under $75,000",610,175,376,639,22966,2678
75935,"$75,000 under $100,000",350,181,404,647,20464,2629
75935,"$100,000 under $200,000",310,354,653,1010,31425,5263
75935,"$200,000 or more",110,316,292,2390,55954,15224
,,,,,,,
75936,,350,56,0,241,11339,1674
75936,"$1 under $25,000",120,0,0,0,278,26
75936,"$25,000 under $50,000",100,0,0,0,1564,141
75936,"$50,000 under $75,000",50,56,0,241,2002,244
75936,"$75,000 under $100,000",40,0,0,0,2123,262
75936,"$100,000 under $200,000",40,0,0,0,5372,1001
75936,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75937,,460,60,102,163,15244,2110
75937,"$1 under $25,000",170,0,0,0,367,29
75937,"$25,000 under $50,000",120,0,102,0,2084,216
75937,"$50,000 under $75,000",90,60,0,163,3592,430
75937,"$75,000 under $100,000",40,0,0,0,2520,314
75937,"$100,000 under $200,000",40,0,0,0,6681,1121
75937,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75938,,990,247,493,628,27714,3808
75938,"$1 under $25,000",430,0,0,0,696,62
75938,"$25,000 under $50,000",230,73,217,166,4012,417
75938,"$50,000 under $75,000",150,45,0,76,5948,680
75938,"$75,000 under $100,000",80,30,98,99,4996,639
75938,"$100,000 under $200,000",100,99,178,287,12062,2010
75938,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75939,,1590,253,429,479,36280,5079
75939,"$1 under $25,000",730,52,0,104,1358,117
75939,"$25,000 under $50,000",460,0,0,0,7391,679
75939,"$50,000 under $75,000",190,82,243,117,7328,848
75939,"$75,000 under $100,000",100,0,0,0,6379,830
75939,"$100,000 under $200,000",110,119,186,258,13824,2605
75939,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75941,,3210,800,1254,1732,82355,12428
75941,"$1 under $25,000",1480,0,0,0,3050,260
75941,"$25,000 under $50,000",810,118,188,218,13419,1233
75941,"$50,000 under $75,000",430,146,236,301,16665,1903
75941,"$75,000 under $100,000",250,179,325,367,15209,1933
75941,"$100,000 under $200,000",210,252,505,846,20758,3372
75941,"$200,000 or more",30,105,0,0,13254,3727
,,,,,,,
75943,,550,134,355,476,15836,2247
75943,"$1 under $25,000",220,0,0,0,443,43
75943,"$25,000 under $50,000",140,0,0,0,2502,251
75943,"$50,000 under $75,000",90,55,191,225,3390,372
75943,"$75,000 under $100,000",50,0,0,0,2872,354
75943,"$100,000 under $200,000",50,79,164,251,6629,1227
75943,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75944,,520,97,173,182,16264,2351
75944,"$1 under $25,000",210,0,0,0,326,32
75944,"$25,000 under $50,000",120,25,0,0,2291,230
75944,"$50,000 under $75,000",90,0,0,0,3439,431
75944,"$75,000 under $100,000",50,0,0,182,3090,399
75944,"$100,000 under $200,000",50,72,173,0,7118,1259
75944,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75946,,1370,262,594,928,32653,4360
75946,"$1 under $25,000",620,0,0,0,1143,100
75946,"$25,000 under $50,000",350,40,110,181,6003,588
75946,"$50,000 under $75,000",180,124,138,225,6956,777
75946,"$75,000 under $100,000",110,0,122,118,6847,867
75946,"$100,000 under $200,000",110,98,224,404,11704,2028
75946,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75948,,2340,855,1549,1350,78781,12336
75948,"$1 under $25,000",970,77,111,60,1872,173
75948,"$25,000 under $50,000",520,109,172,252,8776,880
75948,"$50,000 under $75,000",350,151,261,252,13681,1667
75948,"$75,000 under $100,000",220,144,289,209,14010,1926
75948,"$100,000 under $200,000",230,228,480,390,23516,4015
75948,"$200,000 or more",50,146,236,187,16926,3675
,,,,,,,
75949,,3200,928,1650,1887,90062,13094
75949,"$1 under $25,000",1320,41,0,99,2618,243
75949,"$25,000 under $50,000",820,121,277,286,14034,1357
75949,"$50,000 under $75,000",450,135,211,316,17032,1971
75949,"$75,000 under $100,000",310,207,420,340,18290,2343
75949,"$100,000 under $200,000",260,286,499,418,25428,4126
75949,"$200,000 or more",40,138,243,428,12660,3054
,,,,,,,
75951,,6380,2305,3684,5710,186581,32040
75951,"$1 under $25,000",2950,141,164,217,5229,455
75951,"$25,000 under $50,000",1660,312,600,711,26856,2518
75951,"$50,000 under $75,000",720,342,506,758,28039,3363
75951,"$75,000 under $100,000",460,382,600,765,28224,3724
75951,"$100,000 under $200,000",460,613,1050,1441,46731,7968
75951,"$200,000 or more",130,515,764,1818,51502,14012
,,,,,,,
75954,,1290,350,813,1282,43856,7182
75954,"$1 under $25,000",510,49,76,0,881,78
75954,"$25,000 under $50,000",290,0,0,101,5232,514
75954,"$50,000 under $75,000",210,44,121,234,8084,950
75954,"$75,000 under $100,000",110,27,138,169,6799,894
75954,"$100,000 under $200,000",140,230,478,778,14398,2426
75954,"$200,000 or more",30,0,0,0,8462,2320
,,,,,,,
75956,,2860,823,1384,2558,85118,11880
75956,"$1 under $25,000",1200,45,0,96,2401,217
75956,"$25,000 under $50,000",650,88,218,272,10402,990
75956,"$50,000 under $75,000",410,113,204,378,15793,1895
75956,"$75,000 under $100,000",250,157,270,425,14920,1926
75956,"$100,000 under $200,000",320,420,692,1387,30680,5059
75956,"$200,000 or more",30,0,0,0,10922,1793
,,,,,,,
75959,,350,104,108,184,10986,1679
75959,"$1 under $25,000",150,0,0,0,279,28
75959,"$25,000 under $50,000",70,0,108,0,1262,131
75959,"$50,000 under $75,000",40,0,0,0,1780,223
75959,"$75,000 under $100,000",40,104,0,184,2208,309
75959,"$100,000 under $200,000",50,0,0,0,5457,988
75959,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75960,,370,39,0,0,8763,1126
75960,"$1 under $25,000",150,0,0,0,398,37
75960,"$25,000 under $50,000",110,0,0,0,1874,181
75960,"$50,000 under $75,000",60,39,0,0,2385,291
75960,"$75,000 under $100,000",20,0,0,0,1385,168
75960,"$100,000 under $200,000",30,0,0,0,2721,449
75960,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75961,,5530,1371,2362,3835,136551,21587
75961,"$1 under $25,000",2820,59,121,111,5900,499
75961,"$25,000 under $50,000",1360,151,308,398,23610,2359
75961,"$50,000 under $75,000",580,215,469,431,22690,2753
75961,"$75,000 under $100,000",380,199,388,586,23550,3100
75961,"$100,000 under $200,000",290,372,674,1072,30338,5083
75961,"$200,000 or more",100,375,402,1237,30463,7793
,,,,,,,
75964,,7400,1568,3228,3793,153558,22428
75964,"$1 under $25,000",3820,53,110,170,7299,628
75964,"$25,000 under $50,000",1980,265,573,457,30574,2771
75964,"$50,000 under $75,000",760,282,585,773,28893,3320
75964,"$75,000 under $100,000",380,255,640,678,23084,2925
75964,"$100,000 under $200,000",390,468,903,1285,38517,6274
75964,"$200,000 or more",70,245,417,430,25191,6510
,,,,,,,
75965,,6880,4873,7257,10458,288744,51914
75965,"$1 under $25,000",2840,157,209,230,7233,598
75965,"$25,000 under $50,000",1450,403,647,756,27205,2802
75965,"$50,000 under $75,000",830,567,935,1146,33519,4097
75965,"$75,000 under $100,000",670,750,1187,1214,42077,5659
75965,"$100,000 under $200,000",850,1759,2777,3370,89516,14951
75965,"$200,000 or more",240,1237,1502,3742,89194,23807
,,,,,,,
75966,,1690,363,663,1126,40128,5643
75966,"$1 under $25,000",810,31,106,0,1309,109
75966,"$25,000 under $50,000",370,44,0,256,5987,567
75966,"$50,000 under $75,000",240,84,158,261,9003,1060
75966,"$75,000 under $100,000",130,73,109,220,7903,1024
75966,"$100,000 under $200,000",140,131,290,389,15926,2883
75966,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75968,,690,91,192,321,21614,3141
75968,"$1 under $25,000",300,0,0,0,538,43
75968,"$25,000 under $50,000",140,0,0,0,2278,225
75968,"$50,000 under $75,000",90,41,76,136,3336,405
75968,"$75,000 under $100,000",80,0,0,0,4863,629
75968,"$100,000 under $200,000",80,50,116,185,10599,1839
75968,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75969,,1500,386,698,698,43102,5858
75969,"$1 under $25,000",640,0,0,0,1765,167
75969,"$25,000 under $50,000",370,63,183,148,6660,684
75969,"$50,000 under $75,000",240,58,0,124,9476,1113
75969,"$75,000 under $100,000",130,56,130,118,7915,995
75969,"$100,000 under $200,000",100,209,385,308,9780,1576
75969,"$200,000 or more",20,0,0,0,7506,1323
,,,,,,,
75972,,2570,564,918,1987,57713,8890
75972,"$1 under $25,000",1270,44,0,125,2534,228
75972,"$25,000 under $50,000",670,89,333,203,10936,1099
75972,"$50,000 under $75,000",300,112,191,282,11242,1382
75972,"$75,000 under $100,000",160,68,97,225,9803,1374
75972,"$100,000 under $200,000",130,153,297,436,12592,2176
75972,"$200,000 or more",40,98,0,716,10606,2631
,,,,,,,
75973,,1010,256,496,880,30839,4293
75973,"$1 under $25,000",410,0,90,0,832,75
75973,"$25,000 under $50,000",260,46,0,216,4161,401
75973,"$50,000 under $75,000",150,102,164,300,5371,631
75973,"$75,000 under $100,000",80,0,0,0,4489,568
75973,"$100,000 under $200,000",110,108,242,364,15986,2618
75973,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75974,,1210,279,490,832,32296,4713
75974,"$1 under $25,000",500,0,0,0,876,63
75974,"$25,000 under $50,000",350,33,0,105,5768,521
75974,"$50,000 under $75,000",160,54,281,111,5987,676
75974,"$75,000 under $100,000",90,64,0,188,5256,689
75974,"$100,000 under $200,000",110,128,209,428,14409,2764
75974,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75975,,1400,262,712,904,34672,4880
75975,"$1 under $25,000",600,0,0,0,1190,104
75975,"$25,000 under $50,000",380,42,139,225,5891,551
75975,"$50,000 under $75,000",200,58,178,239,7732,920
75975,"$75,000 under $100,000",110,36,94,125,6482,826
75975,"$100,000 under $200,000",110,126,301,315,13377,2479
75975,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75977,,250,0,0,104,4696,596
75977,"$1 under $25,000",120,0,0,0,210,19
75977,"$25,000 under $50,000",70,0,0,104,1057,102
75977,"$50,000 under $75,000",30,0,0,0,1041,117
75977,"$75,000 under $100,000",30,0,0,0,2388,358
75977,"$100,000 under $200,000",0,0,0,0,0,0
75977,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75979,,3220,1021,1548,2244,95774,15521
75979,"$1 under $25,000",1430,104,134,118,2680,242
75979,"$25,000 under $50,000",790,129,296,269,13442,1355
75979,"$50,000 under $75,000",420,140,233,358,16594,2009
75979,"$75,000 under $100,000",270,160,214,375,16697,2172
75979,"$100,000 under $200,000",250,318,671,657,25429,4282
75979,"$200,000 or more",60,170,0,467,20932,5461
,,,,,,,
75980,,950,257,317,417,25238,3513
75980,"$1 under $25,000",400,0,0,0,702,71
75980,"$25,000 under $50,000",240,65,0,91,4130,402
75980,"$50,000 under $75,000",140,81,201,162,5604,651
75980,"$75,000 under $100,000",90,0,0,0,5233,662
75980,"$100,000 under $200,000",80,111,116,164,9569,1727
75980,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
76001,,14360,19132,26394,22122,610795,103886
76001,"$1 under $25,000",4940,755,1036,527,11178,916
76001,"$25,000 under $50,000",3170,2223,3702,2148,56062,5402
76001,"$50,000 under $75,000",2100,3054,4579,3000,82091,9983
76001,"$75,000 under $100,000",1520,3095,4633,3069,92583,12182
76001,"$100,000 under $200,000",2190,7309,9762,8710,227225,38345
76001,"$200,000 or more",440,2696,2682,4668,141656,37058
,,,,,,,
76002,,14680,16317,30101,19441,472096,65783
76002,"$1 under $25,000",4970,825,1545,628,11638,918
76002,"$25,000 under $50,000",3520,2991,5675,3046,60134,5426
76002,"$50,000 under $75,000",2510,4177,7790,4502,94138,10883
76002,"$75,000 under $100,000",1800,3641,6694,3979,107056,13915
76002,"$100,000 under $200,000",1760,4319,7859,6209,169749,27669
76002,"$200,000 or more",120,364,538,1077,29381,6972
,,,,,,,
76006,,13410,10319,11133,13481,494441,91437
76006,"$1 under $25,000",5570,346,405,382,17219,1332
76006,"$25,000 under $50,000",4140,842,1065,1831,83012,8836
76006,"$50,000 under $75,000",1560,1037,1296,1596,66557,9300
76006,"$75,000 under $100,000",700,1056,1426,1223,45538,6989
76006,"$100,000 under $200,000",1000,3591,4071,3194,109291,19605
76006,"$200,000 or more",440,3447,2870,5255,172824,45375
,,,,,,,
76008,,6750,20543,27252,22218,756898,171914
76008,"$1 under $25,000",1770,478,524,199,3826,346
76008,"$25,000 under $50,000",840,749,954,549,15200,1580
76008,"$50,000 under $75,000",720,1384,1848,949,27839,3306
76008,"$75,000 under $100,000",720,2118,3129,1637,42433,5448
76008,"$100,000 under $200,000",1760,8203,11756,6542,188826,32176
76008,"$200,000 or more",940,7611,9041,12342,478774,129058
,,,,,,,
76009,,8480,3569,6439,5610,245923,38017
76009,"$1 under $25,000",3370,227,450,208,7212,636
76009,"$25,000 under $50,000",2300,493,1019,549,39013,3820
76009,"$50,000 under $75,000",1320,745,1496,1031,50937,5975
76009,"$75,000 under $100,000",740,686,1272,870,44599,5839
76009,"$100,000 under $200,000",660,1158,1928,1973,65914,10981
76009,"$200,000 or more",90,260,274,979,38248,10766
,,,,,,,
76010,,21770,2273,4361,5613,233612,26183
76010,"$1 under $25,000",12970,232,508,494,23249,1683
76010,"$25,000 under $50,000",6390,790,1785,2084,85966,7122
76010,"$50,000 under $75,000",1610,556,1031,1196,58472,6573
76010,"$75,000 under $100,000",490,273,595,546,29561,3910
76010,"$100,000 under $200,000",280,422,442,1293,28216,4858
76010,"$200,000 or more",30,0,0,0,8148,2037
,,,,,,,
76011,,10950,3535,4264,6231,285719,53030
76011,"$1 under $25,000",5880,167,237,343,13813,1062
76011,"$25,000 under $50,000",3270,401,668,1114,57720,5861
76011,"$50,000 under $75,000",900,530,771,943,36687,4935
76011,"$75,000 under $100,000",360,390,542,599,23324,3555
76011,"$100,000 under $200,000",420,1032,1243,1311,44622,8080
76011,"$200,000 or more",120,1015,803,1921,109553,29537
,,,,,,,
76012,,12650,15064,16898,19935,604194,114679
76012,"$1 under $25,000",4730,620,698,537,10772,901
76012,"$25,000 under $50,000",2800,1279,1606,1526,52153,5432
76012,"$50,000 under $75,000",1530,1929,2450,1809,62891,8231
76012,"$75,000 under $100,000",1140,2105,2689,2252,71860,10062
76012,"$100,000 under $200,000",1860,5351,6266,6686,201043,35068
76012,"$200,000 or more",590,3780,3189,7125,205475,54985
,,,,,,,
76013,,14680,12467,14833,18577,582028,105007
76013,"$1 under $25,000",5910,674,1051,599,15428,1281
76013,"$25,000 under $50,000",3420,1369,1912,1567,65347,6815
76013,"$50,000 under $75,000",1970,1796,2527,2230,80842,10465
76013,"$75,000 under $100,000",1260,1754,2339,2164,78802,10918
76013,"$100,000 under $200,000",1710,4168,4978,6246,181130,30929
76013,"$200,000 or more",410,2706,2026,5771,160479,44599
,,,,,,,
76014,,15820,2378,5174,5970,250083,30069
76014,"$1 under $25,000",8040,229,750,470,17357,1311
76014,"$25,000 under $50,000",4930,802,1836,2209,78434,7024
76014,"$50,000 under $75,000",1750,646,1359,1564,67087,7972
76014,"$75,000 under $100,000",670,339,635,816,41314,5671
76014,"$100,000 under $200,000",410,362,594,911,40355,6797
76014,"$200,000 or more",20,0,0,0,5536,1294
,,,,,,,
76015,,8420,4009,5511,6933,255099,41487
76015,"$1 under $25,000",3420,239,423,316,8858,742
76015,"$25,000 under $50,000",2380,652,1052,1163,45082,4617
76015,"$50,000 under $75,000",1250,837,1236,1265,51082,6653
76015,"$75,000 under $100,000",640,648,964,1261,40148,5710
76015,"$100,000 under $200,000",620,1054,1414,1724,64895,11295
76015,"$200,000 or more",110,579,422,1204,45034,12470
,,,,,,,
76016,,15280,23713,28208,30614,891338,168524
76016,"$1 under $25,000",4580,919,1317,595,11172,973
76016,"$25,000 under $50,000",2990,1959,2793,1671,58616,6179
76016,"$50,000 under $75,000",2320,3097,4309,2545,93527,11768
76016,"$75,000 under $100,000",1730,2995,3907,3359,107290,14374
76016,"$100,000 under $200,000",2770,8309,10109,10216,291906,50136
76016,"$200,000 or more",890,6434,5773,12228,328827,85094
,,,,,,,
76017,,22030,23465,30486,31957,910403,157182
76017,"$1 under $25,000",7640,1072,1440,930,19811,1671
76017,"$25,000 under $50,000",5390,2689,4279,3367,102575,10332
76017,"$50,000 under $75,000",3340,3844,5601,4331,134014,16687
76017,"$75,000 under $100,000",2210,3767,5484,4916,137029,18845
76017,"$100,000 under $200,000",2820,7942,9888,10237,292839,49978
76017,"$200,000 or more",630,4151,3794,8176,224135,59669
,,,,,,,
76018,,12930,6773,12738,11455,331379,44578
76018,"$1 under $25,000",5180,441,929,433,12423,989
76018,"$25,000 under $50,000",3590,1531,3019,2407,63121,5903
76018,"$50,000 under $75,000",2070,1927,3701,2834,80659,9723
76018,"$75,000 under $100,000",1120,1313,2429,2182,68422,8995
76018,"$100,000 under $200,000",910,1352,2447,2777,92166,15504
76018,"$200,000 or more",60,209,213,822,14588,3464
,,,,,,,
76020,,11870,11568,17447,13886,486693,84146
76020,"$1 under $25,000",4320,519,876,338,9929,905
76020,"$25,000 under $50,000",2650,1035,1768,956,48902,5096
76020,"$50,000 under $75,000",1770,1504,2689,1457,69911,8631
76020,"$75,000 under $100,000",1280,1758,2844,1725,78652,10603
76020,"$100,000 under $200,000",1500,4316,6340,4484,152962,25759
76020,"$200,000 or more",350,2436,2930,4926,126337,33152
,,,,,,,
76021,,17850,23153,28123,24882,804036,134508
76021,"$1 under $25,000",5390,881,1104,549,16349,1408
76021,"$25,000 under $50,000",4370,2281,3394,1877,90088,9810
76021,"$50,000 under $75,000",2680,3645,4605,3324,112049,15058
76021,"$75,000 under $100,000",1880,3827,4718,3542,118815,16898
76021,"$100,000 under $200,000",2980,9578,11537,10469,317550,55392
76021,"$200,000 or more",550,2941,2765,5121,149185,35942
,,,,,,,
76022,,7150,4209,6025,5612,219591,32726
76022,"$1 under $25,000",2620,266,368,260,7822,673
76022,"$25,000 under $50,000",2140,715,1127,938,43109,4592
76022,"$50,000 under $75,000",1100,869,1392,926,45887,6096
76022,"$75,000 under $100,000",650,882,1271,1119,41190,5782
76022,"$100,000 under $200,000",560,1168,1622,1763,58796,10153
76022,"$200,000 or more",80,309,245,606,22787,5430
,,,,,,,
76023,,2630,1386,2741,1837,82876,12449
76023,"$1 under $25,000",1030,72,181,77,2333,225
76023,"$25,000 under $50,000",610,170,351,178,10894,1112
76023,"$50,000 under $75,000",410,248,466,239,16148,1954
76023,"$75,000 under $100,000",270,231,533,352,16710,2167
76023,"$100,000 under $200,000",280,495,1210,743,27154,4529
76023,"$200,000 or more",30,170,0,248,9637,2462
,,,,,,,
76028,,28530,35062,50705,38612,1266274,211933
76028,"$1 under $25,000",8910,1275,1625,962,22144,1983
76028,"$25,000 under $50,000",6150,3352,5180,3045,115738,11758
76028,"$50,000 under $75,000",4550,5769,8053,5082,179043,21211
76028,"$75,000 under $100,000",3530,5794,8982,5997,214750,27804
76028,"$100,000 under $200,000",4580,13789,20697,15304,464309,77360
76028,"$200,000 or more",810,5083,6168,8222,270290,71817
,,,,,,,
76031,,6670,3287,5273,6015,177748,26883
76031,"$1 under $25,000",2960,173,260,214,5761,497
76031,"$25,000 under $50,000",1710,412,756,657,27222,2582
76031,"$50,000 under $75,000",910,549,981,993,33911,3816
76031,"$75,000 under $100,000",480,578,923,913,28734,3682
76031,"$100,000 under $200,000",530,1098,1837,2601,52944,8679
76031,"$200,000 or more",80,477,516,637,29176,7627
,,,,,,,
76033,,11100,7065,9879,12698,377617,62998
76033,"$1 under $25,000",4340,410,442,398,9057,813
76033,"$25,000 under $50,000",2870,859,1304,1295,50412,5097
76033,"$50,000 under $75,000",1580,1053,1569,1614,61454,7297
76033,"$75,000 under $100,000",960,1084,1799,1807,58285,7458
76033,"$100,000 under $200,000",1110,2471,3573,4083,112677,18821
76033,"$200,000 or more",240,1188,1192,3501,85732,23512
,,,,,,,
76034,,11730,68893,65432,69521,2042187,542045
76034,"$1 under $25,000",2840,1144,948,348,6927,658
76034,"$25,000 under $50,000",1130,1807,1625,861,22287,2435
76034,"$50,000 under $75,000",860,2854,2767,1459,33303,4366
