"ZIP
code [1]",Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-60,-64,-66,-68,-100
75025,"$1 under $25,000",6130,1215,1569,545,14939,1334
75025,"$25,000 under $50,000",3660,2737,3694,1815,72912,7614
75025,"$50,000 under $75,000",2660,4082,5558,2558,109852,14181
75025,"$75,000 under $100,000",2420,5951,7845,3653,150439,20506
75025,"$100,000 under $200,000",6100,23232,28093,16617,672665,117112
75025,"$200,000 or more",2610,14931,15215,17436,796566,201000
,,,,,,,
75028,,19820,54075,70686,44823,1515405,302759
75028,"$1 under $25,000",5190,1056,1326,513,13302,1204
75028,"$25,000 under $50,000",2620,2532,3472,1612,51455,5435
75028,"$50,000 under $75,000",2200,4180,6079,2683,87340,10851
75028,"$75,000 under $100,000",2170,6165,8656,4383,131765,17541
75028,"$100,000 under $200,000",5600,25160,33237,18595,601696,103511
75028,"$200,000 or more",2040,14982,17916,17037,629847,164217
,,,,,,,
75032,,13010,34851,47375,37082,1061634,236368
75032,"$1 under $25,000",3930,1023,1261,548,8946,789
75032,"$25,000 under $50,000",2160,1859,2650,1369,38200,3853
75032,"$50,000 under $75,000",1560,2895,4099,2221,60309,7334
75032,"$75,000 under $100,000",1370,3675,5339,2604,82554,10943
75032,"$100,000 under $200,000",2510,11434,16490,8855,264166,44941
75032,"$200,000 or more",1480,13965,17536,21485,607459,168508
,,,,,,,
75034,,24330,87250,106908,80286,2646938,633095
75034,"$1 under $25,000",5690,1753,2188,735,14889,1302
75034,"$25,000 under $50,000",4080,3142,4022,2100,80375,8593
75034,"$50,000 under $75,000",2890,5550,7030,3261,118243,15610
75034,"$75,000 under $100,000",2410,7022,9550,4623,147025,20827
75034,"$100,000 under $200,000",5540,28662,38735,17571,601034,105727
75034,"$200,000 or more",3720,41121,45383,51996,1685372,481036
,,,,,,,
75035,,24240,61351,93818,46665,1734129,320702
75035,"$1 under $25,000",5520,1532,2257,582,13243,1152
75035,"$25,000 under $50,000",3300,3550,5317,1876,64127,6607
75035,"$50,000 under $75,000",2920,5920,9483,3565,115589,14228
75035,"$75,000 under $100,000",3030,8387,13364,5503,184151,24811
75035,"$100,000 under $200,000",7360,29570,45276,20550,788544,135485
75035,"$200,000 or more",2110,12392,18121,14589,568475,138419
,,,,,,,
75038,,14830,12580,12542,18294,956010,248447
75038,"$1 under $25,000",5790,292,420,377,15872,1204
75038,"$25,000 under $50,000",4320,658,983,1556,81383,8255
75038,"$50,000 under $75,000",2010,867,1311,1264,85150,11573
75038,"$75,000 under $100,000",1080,948,1310,1081,70067,10335
75038,"$100,000 under $200,000",1080,2403,2925,2105,115914,20813
75038,"$200,000 or more",550,7412,5593,11911,587624,196267
,,,,,,,
75039,,8530,13735,17565,12882,701339,151289
75039,"$1 under $25,000",1420,99,156,101,5184,424
75039,"$25,000 under $50,000",1880,400,602,582,46144,5478
75039,"$50,000 under $75,000",1630,778,1070,1026,75003,11336
75039,"$75,000 under $100,000",1100,1055,1690,1089,73965,12124
75039,"$100,000 under $200,000",1660,4890,6619,3063,184975,34804
75039,"$200,000 or more",840,6513,7428,7021,316068,87123
,,,,,,,
75040,,27790,12935,21794,17015,636702,87310
75040,"$1 under $25,000",12410,952,1725,758,28256,2382
75040,"$25,000 under $50,000",7950,2578,4864,2688,130729,12196
75040,"$50,000 under $75,000",3550,2792,5144,3228,135895,16269
75040,"$75,000 under $100,000",1880,2333,3889,2917,115789,15691
75040,"$100,000 under $200,000",1820,3631,5387,6163,185501,31374
75040,"$200,000 or more",180,649,785,1261,40532,9398
,,,,,,,
75041,,13140,3519,6148,6089,233786,31171
75041,"$1 under $25,000",6610,317,530,358,13757,1120
75041,"$25,000 under $50,000",3940,744,1516,1041,58415,5296
75041,"$50,000 under $75,000",1410,803,1542,1237,53474,6339
75041,"$75,000 under $100,000",620,625,1107,1170,37828,5050
75041,"$100,000 under $200,000",490,790,1180,1467,50171,8445
75041,"$200,000 or more",70,240,273,816,20141,4921
,,,,,,,
75042,,16560,3504,6295,5276,270750,35612
75042,"$1 under $25,000",8630,395,771,333,18056,1492
75042,"$25,000 under $50,000",4960,1013,2007,1130,73736,6670
75042,"$50,000 under $75,000",1710,809,1620,1250,64888,7635
75042,"$75,000 under $100,000",710,428,888,758,43816,6010
75042,"$100,000 under $200,000",500,633,1009,1331,50197,8424
75042,"$200,000 or more",50,226,0,474,20057,5381
,,,,,,,
75043,,27460,16992,28015,25623,770509,115548
75043,"$1 under $25,000",11150,956,1731,920,26585,2202
75043,"$25,000 under $50,000",7880,2672,5018,3648,137726,13404
75043,"$50,000 under $75,000",3670,3351,6016,4588,142810,17446
75043,"$75,000 under $100,000",2140,2931,5202,4278,131273,17786
75043,"$100,000 under $200,000",2280,5588,8216,8982,230355,38875
75043,"$200,000 or more",340,1494,1832,3207,101760,25835
,,,,,,,
75044,,20350,23583,29533,27035,884329,160647
75044,"$1 under $25,000",7420,1014,1484,556,18962,1628
75044,"$25,000 under $50,000",5060,2436,3784,1952,96087,9862
75044,"$50,000 under $75,000",2810,2961,4320,2489,114606,14749
75044,"$75,000 under $100,000",1710,3027,4099,2761,107394,15243
75044,"$100,000 under $200,000",2500,8572,10151,8708,269088,46829
75044,"$200,000 or more",850,5573,5695,10569,278192,72336
,,,,,,,
75048,,10110,19811,28594,16657,526457,88656
75048,"$1 under $25,000",2830,623,875,279,7068,619
75048,"$25,000 under $50,000",1910,1572,2359,993,36113,3669
75048,"$50,000 under $75,000",1460,2723,4085,1920,57195,6887
75048,"$75,000 under $100,000",1250,3324,4996,2289,76047,9891
75048,"$100,000 under $200,000",2210,8888,12895,7497,227800,38278
75048,"$200,000 or more",450,2681,3384,3679,122234,29312
,,,,,,,
75050,,18540,6605,9657,12160,432498,64623
75050,"$1 under $25,000",8190,368,598,514,19228,1479
75050,"$25,000 under $50,000",5900,994,1649,2373,100324,9625
75050,"$50,000 under $75,000",2210,1306,2150,2171,87692,11246
75050,"$75,000 under $100,000",1050,1173,1718,1997,64988,9305
75050,"$100,000 under $200,000",1010,2128,2868,3300,104433,18286
75050,"$200,000 or more",180,636,674,1805,55833,14682
,,,,,,,
75051,,16170,3728,6807,6863,238454,29112
75051,"$1 under $25,000",8410,292,612,552,17344,1356
75051,"$25,000 under $50,000",5120,1115,2255,2472,77270,6720
75051,"$50,000 under $75,000",1650,962,1939,1649,60615,6945
75051,"$75,000 under $100,000",610,552,1101,862,36597,4767
75051,"$100,000 under $200,000",350,807,900,1328,33858,5685
75051,"$200,000 or more",30,0,0,0,12770,3639
,,,,,,,
75052,,41030,38259,61255,47847,1267193,186143
75052,"$1 under $25,000",15120,1893,3110,1560,36584,2919
75052,"$25,000 under $50,000",10930,6730,11033,7308,190094,17696
75052,"$50,000 under $75,000",6290,8248,13880,9438,241316,28782
75052,"$75,000 under $100,000",3880,7356,12036,8461,233356,31149
75052,"$100,000 under $200,000",4320,11929,18384,16906,433068,72606
75052,"$200,000 or more",490,2103,2812,4174,132775,32991
,,,,,,,
75054,,4580,15010,21432,11878,288805,50604
75054,"$1 under $25,000",970,315,379,147,2268,197
75054,"$25,000 under $50,000",690,938,1339,745,12530,1249
75054,"$50,000 under $75,000",600,1742,2413,1141,22606,2723
75054,"$75,000 under $100,000",630,2532,3661,1765,35913,4714
75054,"$100,000 under $200,000",1400,7473,10993,5934,144467,24574
75054,"$200,000 or more",290,2010,2647,2146,71021,17147
,,,,,,,
75056,,26180,50799,64937,38288,1484023,289546
75056,"$1 under $25,000",7760,1224,1804,605,21958,1892
75056,"$25,000 under $50,000",6160,3138,5288,2563,124048,13252
75056,"$50,000 under $75,000",3710,4591,6803,3331,152251,19950
75056,"$75,000 under $100,000",2620,6192,8422,4085,161652,22591
75056,"$100,000 under $200,000",4220,19186,24382,12826,447954,77962
75056,"$200,000 or more",1710,16468,18238,14878,576160,153899
,,,,,,,
75057,,6410,1764,3069,2910,147244,22131
75057,"$1 under $25,000",2840,112,234,160,6886,576
75057,"$25,000 under $50,000",2050,282,556,504,37149,3858
75057,"$50,000 under $75,000",800,359,614,533,33034,4396
75057,"$75,000 under $100,000",350,291,492,500,22086,3211
75057,"$100,000 under $200,000",320,491,830,743,33246,5961
75057,"$200,000 or more",50,229,343,470,14843,4129
,,,,,,,
75058,,1310,2314,3223,1784,59868,10488
75058,"$1 under $25,000",470,0,0,17,1091,97
75058,"$25,000 under $50,000",260,201,328,123,4126,393
75058,"$50,000 under $75,000",150,247,382,216,5722,666
75058,"$75,000 under $100,000",120,256,335,187,6810,807
75058,"$100,000 under $200,000",250,1092,1634,751,24272,3900
75058,"$200,000 or more",60,518,544,490,17847,4625
,,,,,,,
75060,,20850,7503,12519,10081,416074,54544
75060,"$1 under $25,000",9640,565,1097,580,21242,1706
75060,"$25,000 under $50,000",6380,1746,3305,2005,100894,9096
75060,"$50,000 under $75,000",2510,1581,2845,2059,93852,10908
75060,"$75,000 under $100,000",1220,1383,2210,1614,74758,10039
75060,"$100,000 under $200,000",1010,1930,2741,3094,99607,16614
75060,"$200,000 or more",90,298,321,729,25721,6181
,,,,,,,
75061,,23780,6791,10485,12537,439013,61580
75061,"$1 under $25,000",11960,503,801,653,26085,2023
75061,"$25,000 under $50,000",7400,1353,2425,2235,113922,10257
75061,"$50,000 under $75,000",2370,1433,2498,2067,90584,10841
75061,"$75,000 under $100,000",920,1022,1626,1818,56463,7793
75061,"$100,000 under $200,000",970,1867,2606,3813,98974,16935
75061,"$200,000 or more",160,613,529,1951,52985,13731
,,,,,,,
75062,,22190,11219,15029,16151,642900,115383
75062,"$1 under $25,000",10090,589,923,658,24659,1905
75062,"$25,000 under $50,000",6620,1463,2720,2111,113990,10969
75062,"$50,000 under $75,000",2540,1621,2564,2260,100107,12454
75062,"$75,000 under $100,000",1200,1384,2140,1910,74414,10364
75062,"$100,000 under $200,000",1320,3385,4091,4213,136451,23622
75062,"$200,000 or more",420,2777,2591,4999,193279,56069
,,,,,,,
75063,,17900,33208,36487,26957,1276279,259661
75063,"$1 under $25,000",3990,658,851,335,11126,933
75063,"$25,000 under $50,000",3850,1321,1740,1342,85180,9534
75063,"$50,000 under $75,000",2820,2412,3101,2207,122653,17162
75063,"$75,000 under $100,000",2150,3925,4838,2749,136627,20081
75063,"$100,000 under $200,000",3630,13913,15974,7747,398285,71455
75063,"$200,000 or more",1460,10979,9983,12577,522408,140496
,,,,,,,
75065,,5280,6686,10220,5256,215204,35141
75065,"$1 under $25,000",1780,339,423,155,4954,440
75065,"$25,000 under $50,000",1220,681,1033,417,23410,2438
75065,"$50,000 under $75,000",800,1161,1801,742,31847,3946
75065,"$75,000 under $100,000",540,1074,1744,824,32987,4474
75065,"$100,000 under $200,000",790,2601,4009,2018,80677,13702
75065,"$200,000 or more",150,830,1210,1100,41329,10141
,,,,,,,
75067,,31470,18670,30685,21673,932961,140179
